Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Sudán,2,2,4
2012-02,Sudán,0,2,2
2012-03,Sudán,0,1,1
2012-04,Sudán,2,6,8
2012-05,Sudán,1,2,3
2012-06,Sudán,0,2,2
2012-07,Sudán,0,1,1
2012-08,Sudán,2,0,2
2012-10,Sudán,0,1,1
2012-11,Sudán,3,1,4
2013-02,Sudán,1,4,5
2013-08,Sudán,0,1,1
2013-09,Sudán,1,2,3
2013-10,Sudán,0,16,16
2013-11,Sudán,0,1,1
2013-12,Sudán,0,2,2
2014-02,Sudán,0,1,1
2014-04,Sudán,5,11,16
2014-06,Sudán,1,0,1
2014-08,Sudán,0,1,1
2014-10,Sudán,0,1,1
2014-11,Sudán,1,2,3
2014-12,Sudán,1,1,2
2015-02,Sudán,0,1,1
2015-03,Sudán,0,1,1
2015-04,Sudán,0,1,1
2015-05,Sudán,0,2,2
2015-06,Sudán,0,2,2
2015-07,Sudán,2,10,12
2015-09,Sudán,0,4,4
2015-11,Sudán,0,1,1
2015-12,Sudán,0,2,2
2016-02,Sudán,0,2,2
2016-03,Sudán,1,3,4
2016-05,Sudán,1,1,2
2016-08,Sudán,0,2,2
2016-09,Sudán,0,3,3
2016-10,Sudán,0,1,1
2016-11,Sudán,0,2,2
2016-12,Sudán,0,1,1
2017-02,Sudán,0,1,1
2017-03,Sudán,0,1,1
2017-04,Sudán,0,2,2
2017-05,Sudán,0,2,2
2017-06,Sudán,0,1,1
2017-07,Sudán,1,1,2
2017-08,Sudán,0,2,2
2017-10,Sudán,1,2,3
2018-03,Sudán,2,1,3
2018-04,Sudán,0,2,2
2018-05,Sudán,1,2,3
2018-06,Sudán,2,3,5
2018-08,Sudán,0,1,1
2018-09,Sudán,0,1,1
2018-10,Sudán,1,0,1
2018-12,Sudán,2,3,5
2019-02,Sudán,1,1,2
2019-03,Sudán,0,2,2
2019-04,Sudán,2,0,2
2019-05,Sudán,1,1,2
2019-06,Sudán,1,1,2
2019-08,Sudán,2,0,2
2019-10,Sudán,2,3,5
2019-11,Sudán,1,0,1
2019-12,Sudán,0,3,3
2020-01,Sudán,0,2,2
2021-01,Sudán,0,1,1
2021-12,Sudán,0,3,3
2022-01,Sudán,0,1,1
2022-02,Sudán,0,1,1
2022-03,Sudán,0,2,2
2022-04,Sudán,0,1,1
2022-06,Sudán,0,2,2
2022-07,Sudán,0,2,2
2022-08,Sudán,0,1,1
2022-09,Sudán,2,0,2
2022-10,Sudán,0,0,1
2022-11,Sudán,0,2,2
2022-12,Sudán,0,1,1
2023-01,Sudán,0,1,1
2023-02,Sudán,0,3,3
2023-03,Sudán,1,1,2
2023-04,Sudán,1,1,2
2023-05,Sudán,1,2,3
2023-06,Sudán,2,1,3
2023-07,Sudán,1,1,2
2023-08,Sudán,0,2,2
2023-09,Sudán,1,1,2
2023-10,Sudán,0,1,1
2023-11,Sudán,0,4,4
2023-12,Sudán,0,2,2
2024-01,Sudán,1,2,3
2024-02,Sudán,1,1,2
2024-03,Sudán,1,0,1
2024-04,Sudán,1,0,1
2024-05,Sudán,0,1,1
2024-06,Sudán,1,5,6
2024-07,Sudán,1,0,1
2024-08,Sudán,0,2,2
2024-09,Sudán,3,1,4
2024-10,Sudán,4,4,8
2024-11,Sudán,3,0,3
2025-01,Sudán,0,2,2
2025-02,Sudán,0,2,2
2025-03,Sudán,0,1,1
2025-05,Sudán,1,0,1
2025-06,Sudán,0,1,1
2025-07,Sudán,0,1,1
2025-08,Sudán,1,2,3
2025-09,Sudán,1,0,1
2025-10,Sudán,0,3,3
2025-11,Sudán,0,3,3
2025-12,Sudán,0,3,3
