Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Suecia,245,389,634
2012-02,Suecia,238,308,546
2012-03,Suecia,177,327,504
2012-04,Suecia,172,257,429
2012-05,Suecia,147,229,376
2012-06,Suecia,224,283,507
2012-07,Suecia,146,214,360
2012-08,Suecia,97,203,300
2012-09,Suecia,116,213,329
2012-10,Suecia,140,286,426
2012-11,Suecia,195,309,504
2012-12,Suecia,364,583,947
2013-01,Suecia,229,410,639
2013-02,Suecia,249,371,620
2013-03,Suecia,165,283,448
2013-04,Suecia,147,241,388
2013-05,Suecia,117,206,323
2013-06,Suecia,198,298,496
2013-07,Suecia,167,323,490
2013-08,Suecia,117,188,305
2013-09,Suecia,114,212,326
2013-10,Suecia,140,270,410
2013-11,Suecia,201,335,536
2013-12,Suecia,389,610,999
2014-01,Suecia,279,446,725
2014-02,Suecia,256,373,629
2014-03,Suecia,197,307,504
2014-04,Suecia,209,314,523
2014-05,Suecia,137,221,358
2014-06,Suecia,192,292,484
2014-07,Suecia,159,270,429
2014-08,Suecia,135,207,342
2014-09,Suecia,116,228,344
2014-10,Suecia,117,274,391
2014-11,Suecia,226,324,550
2014-12,Suecia,439,590,1029
2015-01,Suecia,333,485,818
2015-02,Suecia,243,342,585
2015-03,Suecia,222,356,578
2015-04,Suecia,190,287,477
2015-05,Suecia,162,258,420
2015-06,Suecia,223,344,567
2015-07,Suecia,244,360,604
2015-08,Suecia,138,229,367
2015-09,Suecia,143,275,418
2015-10,Suecia,216,361,577
2015-11,Suecia,244,442,686
2015-12,Suecia,543,771,301
2016-01,Suecia,341,522,863
2016-02,Suecia,297,432,729
2016-03,Suecia,313,461,774
2016-04,Suecia,243,353,596
2016-05,Suecia,174,288,462
2016-06,Suecia,295,424,719
2016-07,Suecia,216,290,506
2016-08,Suecia,158,250,408
2016-09,Suecia,161,267,428
2016-10,Suecia,209,339,548
2016-11,Suecia,231,345,576
2016-12,Suecia,489,699,1188
2017-01,Suecia,478,609,1087
2017-02,Suecia,359,523,882
2017-03,Suecia,344,467,811
2017-04,Suecia,260,356,616
2017-05,Suecia,176,292,468
2017-06,Suecia,300,453,753
2017-07,Suecia,224,380,604
2017-08,Suecia,151,240,391
2017-09,Suecia,148,295,443
2017-10,Suecia,274,385,659
2017-11,Suecia,296,434,730
2017-12,Suecia,535,738,1273
2018-01,Suecia,496,643,1139
2018-02,Suecia,421,546,967
2018-03,Suecia,391,479,870
2018-04,Suecia,261,369,630
2018-05,Suecia,181,285,466
2018-06,Suecia,292,433,725
2018-07,Suecia,257,374,631
2018-08,Suecia,173,266,440
2018-09,Suecia,162,290,452
2018-10,Suecia,207,432,639
2018-11,Suecia,271,460,731
2018-12,Suecia,598,822,1420
2019-01,Suecia,444,604,1048
2019-02,Suecia,475,636,1111
2019-03,Suecia,288,445,733
2019-04,Suecia,224,357,581
2019-05,Suecia,144,250,394
2019-06,Suecia,288,380,668
2019-07,Suecia,253,383,636
2019-08,Suecia,139,240,379
2019-09,Suecia,143,260,403
2019-10,Suecia,246,367,613
2019-11,Suecia,314,439,753
2019-12,Suecia,524,761,1285
2020-01,Suecia,379,573,952
2020-02,Suecia,309,549,858
2020-03,Suecia,132,211,343
2020-05,Suecia,0,4,4
2020-07,Suecia,1,1,2
2020-08,Suecia,2,1,3
2020-09,Suecia,9,8,17
2020-10,Suecia,7,29,36
2020-11,Suecia,15,77,92
2020-12,Suecia,57,116,173
2021-01,Suecia,52,83,135
2021-02,Suecia,19,54,73
2021-03,Suecia,27,72,99
2021-04,Suecia,46,70,116
2021-05,Suecia,25,55,80
2021-06,Suecia,41,90,131
2021-07,Suecia,57,132,189
2021-08,Suecia,71,142,213
2021-09,Suecia,52,147,199
2021-10,Suecia,97,214,311
2021-11,Suecia,105,237,342
2021-12,Suecia,259,472,731
2022-01,Suecia,165,294,459
2022-02,Suecia,156,289,445
2022-03,Suecia,180,311,491
2022-04,Suecia,190,258,448
2022-05,Suecia,119,215,334
2022-06,Suecia,247,327,574
2022-07,Suecia,181,301,482
2022-08,Suecia,128,244,372
2022-09,Suecia,119,204,323
2022-10,Suecia,187,346,533
2022-11,Suecia,230,428,658
2022-12,Suecia,453,672,1125
2023-01,Suecia,349,587,939
2023-02,Suecia,349,488,837
2023-03,Suecia,227,387,614
2023-04,Suecia,220,323,543
2023-05,Suecia,156,236,392
2023-06,Suecia,307,398,705
2023-07,Suecia,212,353,565
2023-08,Suecia,129,319,448
2023-09,Suecia,133,254,387
2023-10,Suecia,224,399,623
2023-11,Suecia,213,447,660
2023-12,Suecia,440,725,1165
2024-01,Suecia,379,552,931
2024-02,Suecia,277,488,765
2024-03,Suecia,246,397,643
2024-04,Suecia,192,318,510
2024-05,Suecia,133,244,377
2024-06,Suecia,217,333,550
2024-07,Suecia,152,314,466
2024-08,Suecia,142,208,350
2024-09,Suecia,121,254,375
2024-10,Suecia,298,439,737
2024-11,Suecia,277,442,719
2024-12,Suecia,476,822,1298
2025-01,Suecia,351,549,900
2025-02,Suecia,320,481,801
2025-03,Suecia,187,399,586
2025-04,Suecia,200,334,534
2025-05,Suecia,131,277,408
2025-06,Suecia,242,354,596
2025-07,Suecia,267,445,712
2025-08,Suecia,165,265,430
2025-09,Suecia,178,273,451
2025-10,Suecia,251,399,650
2025-11,Suecia,348,499,847
2025-12,Suecia,541,829,1370
