Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Surinam,16,20,36
2012-02,Surinam,13,14,27
2012-03,Surinam,6,19,25
2012-04,Surinam,34,39,73
2012-05,Surinam,7,27,34
2012-06,Surinam,5,21,26
2012-07,Surinam,18,11,29
2012-08,Surinam,7,12,19
2012-09,Surinam,16,17,33
2012-10,Surinam,15,24,39
2012-11,Surinam,25,33,58
2012-12,Surinam,3,2,5
2013-01,Surinam,12,19,31
2013-02,Surinam,11,22,33
2013-03,Surinam,6,25,31
2013-04,Surinam,17,34,51
2013-05,Surinam,12,25,37
2013-06,Surinam,14,17,31
2013-07,Surinam,8,33,41
2013-08,Surinam,46,27,73
2013-09,Surinam,26,35,61
2013-10,Surinam,10,29,39
2013-11,Surinam,22,33,55
2013-12,Surinam,43,43,86
2014-01,Surinam,29,29,58
2014-02,Surinam,13,22,35
2014-03,Surinam,22,55,77
2014-04,Surinam,16,22,38
2014-05,Surinam,22,44,66
2014-06,Surinam,12,15,27
2014-07,Surinam,24,38,62
2014-08,Surinam,12,32,44
2014-09,Surinam,54,43,97
2014-10,Surinam,20,24,44
2014-11,Surinam,13,31,44
2014-12,Surinam,1,26,27
2015-01,Surinam,10,28,38
2015-02,Surinam,14,25,39
2015-03,Surinam,18,30,48
2015-04,Surinam,10,20,30
2015-05,Surinam,22,30,52
2015-06,Surinam,23,19,42
2015-07,Surinam,21,26,47
2015-08,Surinam,23,25,48
2015-09,Surinam,25,28,53
2015-10,Surinam,20,48,68
2015-11,Surinam,38,46,84
2015-12,Surinam,6,12,18
2016-01,Surinam,14,25,39
2016-02,Surinam,22,37,59
2016-03,Surinam,18,23,41
2016-04,Surinam,24,26,50
2016-05,Surinam,20,46,66
2016-06,Surinam,12,35,47
2016-07,Surinam,10,19,29
2016-08,Surinam,41,42,83
2016-09,Surinam,35,26,61
2016-10,Surinam,26,36,62
2016-11,Surinam,23,27,50
2016-12,Surinam,93,122,215
2017-01,Surinam,10,25,35
2017-02,Surinam,19,24,43
2017-03,Surinam,17,30,47
2017-04,Surinam,37,33,70
2017-05,Surinam,10,44,54
2017-06,Surinam,7,21,28
2017-07,Surinam,23,29,52
2017-08,Surinam,12,18,30
2017-09,Surinam,17,20,37
2017-10,Surinam,15,22,37
2017-11,Surinam,14,23,37
2017-12,Surinam,3,16,19
2018-01,Surinam,8,31,39
2018-02,Surinam,8,16,24
2018-03,Surinam,17,27,44
2018-04,Surinam,26,28,54
2018-05,Surinam,23,46,69
2018-06,Surinam,6,36,42
2018-07,Surinam,28,42,70
2018-08,Surinam,27,41,68
2018-09,Surinam,16,25,41
2018-10,Surinam,27,56,83
2018-11,Surinam,18,23,41
2018-12,Surinam,16,8,24
2019-01,Surinam,21,27,48
2019-02,Surinam,10,19,29
2019-03,Surinam,16,27,43
2019-04,Surinam,17,21,38
2019-05,Surinam,21,43,64
2019-06,Surinam,21,26,47
2019-07,Surinam,18,32,50
2019-08,Surinam,48,38,86
2019-09,Surinam,44,46,90
2019-10,Surinam,35,35,70
2019-11,Surinam,22,44,66
2019-12,Surinam,19,20,39
2020-01,Surinam,16,34,50
2020-02,Surinam,13,26,39
2020-03,Surinam,3,13,16
2020-07,Surinam,0,1,1
2020-08,Surinam,2,0,2
2020-09,Surinam,9,8,17
2020-10,Surinam,6,1,7
2020-11,Surinam,3,2,5
2020-12,Surinam,1,3,4
2021-01,Surinam,4,5,9
2021-02,Surinam,2,3,5
2021-03,Surinam,3,7,10
2021-04,Surinam,13,10,23
2021-05,Surinam,2,4,6
2021-06,Surinam,5,4,9
2021-07,Surinam,7,9,16
2021-08,Surinam,7,13,20
2021-09,Surinam,13,9,22
2021-10,Surinam,17,13,30
2021-11,Surinam,25,17,42
2021-12,Surinam,6,15,21
2022-01,Surinam,8,14,22
2022-02,Surinam,5,18,23
2022-03,Surinam,17,33,50
2022-04,Surinam,13,21,34
2022-05,Surinam,17,25,42
2022-06,Surinam,13,33,46
2022-07,Surinam,29,21,50
2022-08,Surinam,34,41,75
2022-09,Surinam,37,29,66
2022-10,Surinam,24,34,58
2022-11,Surinam,30,49,79
2022-12,Surinam,24,29,53
2023-01,Surinam,15,23,38
2023-02,Surinam,20,31,51
2023-03,Surinam,20,35,55
2023-04,Surinam,26,46,72
2023-05,Surinam,35,44,79
2023-06,Surinam,20,37,57
2023-07,Surinam,39,49,89
2023-08,Surinam,25,27,52
2023-09,Surinam,36,51,87
2023-10,Surinam,38,64,102
2023-11,Surinam,30,49,80
2023-12,Surinam,10,25,35
2024-01,Surinam,17,32,49
2024-02,Surinam,53,64,117
2024-03,Surinam,30,34,64
2024-04,Surinam,32,42,74
2024-05,Surinam,31,37,68
2024-06,Surinam,29,52,81
2024-07,Surinam,53,36,89
2024-08,Surinam,59,85,145
2024-09,Surinam,101,92,193
2024-10,Surinam,47,64,111
2024-11,Surinam,69,105,174
2024-12,Surinam,46,47,93
2025-01,Surinam,56,80,136
2025-02,Surinam,36,66,102
2025-03,Surinam,39,43,82
2025-04,Surinam,60,59,119
2025-05,Surinam,73,74,147
2025-06,Surinam,57,58,115
2025-07,Surinam,95,86,181
2025-08,Surinam,97,105,202
2025-09,Surinam,163,166,329
2025-10,Surinam,76,126,202
2025-11,Surinam,91,87,178
2025-12,Surinam,33,56,89
