Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Tailandia,5,3,8
2012-02,Tailandia,4,2,6
2012-03,Tailandia,5,2,7
2012-04,Tailandia,3,6,9
2012-05,Tailandia,8,20,28
2012-06,Tailandia,4,5,9
2012-07,Tailandia,9,3,12
2012-08,Tailandia,9,10,19
2012-09,Tailandia,8,9,17
2012-10,Tailandia,6,8,14
2012-11,Tailandia,8,5,13
2012-12,Tailandia,1,8,9
2013-01,Tailandia,1,5,6
2013-02,Tailandia,16,14,30
2013-03,Tailandia,4,4,8
2013-04,Tailandia,4,10,14
2013-05,Tailandia,8,8,16
2013-06,Tailandia,2,4,6
2013-07,Tailandia,18,30,48
2013-08,Tailandia,6,11,17
2013-09,Tailandia,4,8,12
2013-10,Tailandia,8,8,16
2013-11,Tailandia,11,7,18
2013-12,Tailandia,7,5,12
2014-01,Tailandia,1,3,4
2014-02,Tailandia,15,8,23
2014-03,Tailandia,6,4,10
2014-04,Tailandia,9,14,23
2014-05,Tailandia,26,33,59
2014-06,Tailandia,6,5,11
2014-07,Tailandia,8,8,16
2014-08,Tailandia,10,11,21
2014-09,Tailandia,5,11,16
2014-10,Tailandia,12,17,29
2014-11,Tailandia,10,5,15
2014-12,Tailandia,3,10,13
2015-01,Tailandia,4,7,11
2015-02,Tailandia,9,4,13
2015-03,Tailandia,30,14,44
2015-04,Tailandia,10,9,19
2015-05,Tailandia,7,6,13
2015-06,Tailandia,32,24,56
2015-07,Tailandia,8,8,16
2015-08,Tailandia,11,7,18
2015-09,Tailandia,12,17,29
2015-10,Tailandia,45,43,88
2015-11,Tailandia,39,20,59
2015-12,Tailandia,41,17,58
2016-01,Tailandia,9,6,15
2016-02,Tailandia,18,6,24
2016-03,Tailandia,19,12,31
2016-04,Tailandia,20,15,35
2016-05,Tailandia,11,16,27
2016-06,Tailandia,17,9,26
2016-07,Tailandia,27,10,37
2016-08,Tailandia,14,13,27
2016-09,Tailandia,29,56,85
2016-10,Tailandia,15,14,29
2016-11,Tailandia,31,16,47
2016-12,Tailandia,21,11,32
2017-01,Tailandia,15,7,22
2017-02,Tailandia,12,8,20
2017-03,Tailandia,16,12,28
2017-04,Tailandia,20,9,29
2017-05,Tailandia,16,14,30
2017-06,Tailandia,44,30,74
2017-07,Tailandia,33,8,41
2017-08,Tailandia,17,12,29
2017-09,Tailandia,6,14,20
2017-10,Tailandia,43,39,82
2017-11,Tailandia,35,25,60
2017-12,Tailandia,26,14,40
2018-01,Tailandia,22,20,42
2018-02,Tailandia,6,9,15
2018-03,Tailandia,25,28,53
2018-04,Tailandia,41,33,74
2018-05,Tailandia,16,25,41
2018-06,Tailandia,17,15,32
2018-07,Tailandia,37,18,55
2018-08,Tailandia,23,22,45
2018-09,Tailandia,9,16,25
2018-10,Tailandia,17,10,27
2018-11,Tailandia,28,17,45
2018-12,Tailandia,19,10,29
2019-01,Tailandia,14,14,28
2019-02,Tailandia,21,21,42
2019-03,Tailandia,28,28,56
2019-04,Tailandia,30,21,51
2019-05,Tailandia,21,15,36
2019-06,Tailandia,20,14,34
2019-07,Tailandia,34,29,63
2019-08,Tailandia,20,15,35
2019-09,Tailandia,37,35,72
2019-10,Tailandia,50,59,109
2019-11,Tailandia,27,30,59
2019-12,Tailandia,40,25,65
2020-01,Tailandia,19,21,40
2020-02,Tailandia,17,16,33
2020-03,Tailandia,15,11,26
2020-04,Tailandia,0,1,1
2020-06,Tailandia,0,1,1
2020-10,Tailandia,0,2,2
2020-11,Tailandia,6,0,6
2020-12,Tailandia,4,1,5
2021-01,Tailandia,3,2,5
2021-02,Tailandia,6,1,7
2021-03,Tailandia,5,0,5
2021-04,Tailandia,6,1,7
2021-05,Tailandia,6,4,10
2021-06,Tailandia,4,3,7
2021-07,Tailandia,12,1,13
2021-08,Tailandia,11,2,13
2021-09,Tailandia,7,7,14
2021-10,Tailandia,25,8,33
2021-11,Tailandia,11,4,15
2021-12,Tailandia,10,5,15
2022-01,Tailandia,8,12,20
2022-02,Tailandia,7,5,12
2022-03,Tailandia,9,6,15
2022-04,Tailandia,26,18,44
2022-05,Tailandia,11,6,17
2022-06,Tailandia,13,3,16
2022-07,Tailandia,18,22,40
2022-08,Tailandia,16,7,23
2022-09,Tailandia,20,10,30
2022-10,Tailandia,24,19,43
2022-11,Tailandia,29,19,48
2022-12,Tailandia,18,27,45
2023-01,Tailandia,28,10,38
2023-02,Tailandia,23,8,31
2023-03,Tailandia,22,33,55
2023-04,Tailandia,20,8,28
2023-05,Tailandia,10,6,16
2023-06,Tailandia,34,42,76
2023-07,Tailandia,40,48,88
2023-08,Tailandia,17,60,77
2023-09,Tailandia,21,11,32
2023-10,Tailandia,27,22,49
2023-11,Tailandia,32,34,66
2023-12,Tailandia,28,33,61
2024-01,Tailandia,28,44,72
2024-02,Tailandia,14,11,25
2024-03,Tailandia,35,36,71
2024-04,Tailandia,17,16,33
2024-05,Tailandia,26,22,48
2024-06,Tailandia,31,52,83
2024-07,Tailandia,22,11,33
2024-08,Tailandia,20,23,43
2024-09,Tailandia,16,24,40
2024-10,Tailandia,50,81,131
2024-11,Tailandia,38,24,62
2024-12,Tailandia,19,18,37
2025-01,Tailandia,23,10,33
2025-02,Tailandia,23,51,74
2025-03,Tailandia,28,28,56
2025-04,Tailandia,30,24,54
2025-05,Tailandia,24,37,61
2025-06,Tailandia,22,25,47
2025-07,Tailandia,38,26,64
2025-08,Tailandia,10,30,40
2025-09,Tailandia,23,12,35
2025-10,Tailandia,32,21,53
2025-11,Tailandia,36,29,65
2025-12,Tailandia,22,7,29
