Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Taiwán (Provincia De China),47,46,93
2012-02,Taiwán (Provincia De China),46,76,122
2012-03,Taiwán (Provincia De China),23,61,84
2012-04,Taiwán (Provincia De China),52,98,150
2012-05,Taiwán (Provincia De China),60,81,141
2012-06,Taiwán (Provincia De China),34,75,109
2012-07,Taiwán (Provincia De China),35,65,100
2012-08,Taiwán (Provincia De China),41,82,123
2012-09,Taiwán (Provincia De China),71,114,185
2012-10,Taiwán (Provincia De China),36,76,112
2012-11,Taiwán (Provincia De China),37,75,112
2012-12,Taiwán (Provincia De China),54,76,130
2013-01,Taiwán (Provincia De China),38,73,111
2013-02,Taiwán (Provincia De China),39,51,90
2013-03,Taiwán (Provincia De China),91,136,227
2013-04,Taiwán (Provincia De China),45,81,126
2013-05,Taiwán (Provincia De China),40,86,126
2013-06,Taiwán (Provincia De China),58,87,145
2013-07,Taiwán (Provincia De China),100,146,246
2013-08,Taiwán (Provincia De China),71,93,164
2013-09,Taiwán (Provincia De China),38,71,109
2013-10,Taiwán (Provincia De China),47,84,131
2013-11,Taiwán (Provincia De China),51,103,154
2013-12,Taiwán (Provincia De China),51,62,113
2014-01,Taiwán (Provincia De China),38,58,96
2014-02,Taiwán (Provincia De China),80,102,182
2014-03,Taiwán (Provincia De China),73,121,194
2014-04,Taiwán (Provincia De China),34,91,125
2014-05,Taiwán (Provincia De China),53,87,140
2014-06,Taiwán (Provincia De China),50,76,126
2014-07,Taiwán (Provincia De China),59,85,144
2014-08,Taiwán (Provincia De China),64,89,153
2014-09,Taiwán (Provincia De China),61,104,165
2014-10,Taiwán (Provincia De China),48,84,132
2014-11,Taiwán (Provincia De China),51,81,132
2014-12,Taiwán (Provincia De China),63,54,117
2015-01,Taiwán (Provincia De China),67,99,166
2015-02,Taiwán (Provincia De China),73,67,140
2015-03,Taiwán (Provincia De China),106,146,252
2015-04,Taiwán (Provincia De China),55,84,139
2015-05,Taiwán (Provincia De China),67,98,165
2015-06,Taiwán (Provincia De China),67,95,162
2015-07,Taiwán (Provincia De China),78,84,162
2015-08,Taiwán (Provincia De China),63,83,146
2015-09,Taiwán (Provincia De China),73,112,185
2015-10,Taiwán (Provincia De China),123,144,267
2015-11,Taiwán (Provincia De China),66,111,177
2015-12,Taiwán (Provincia De China),64,59,123
2016-01,Taiwán (Provincia De China),65,96,161
2016-02,Taiwán (Provincia De China),73,80,153
2016-03,Taiwán (Provincia De China),85,114,199
2016-04,Taiwán (Provincia De China),40,88,128
2016-05,Taiwán (Provincia De China),56,111,167
2016-06,Taiwán (Provincia De China),87,89,176
2016-07,Taiwán (Provincia De China),81,109,190
2016-08,Taiwán (Provincia De China),50,83,133
2016-09,Taiwán (Provincia De China),67,118,185
2016-10,Taiwán (Provincia De China),95,122,217
2016-11,Taiwán (Provincia De China),66,101,167
2016-12,Taiwán (Provincia De China),64,77,141
2017-01,Taiwán (Provincia De China),75,98,173
2017-02,Taiwán (Provincia De China),97,97,194
2017-03,Taiwán (Provincia De China),99,151,250
2017-04,Taiwán (Provincia De China),82,102,184
2017-05,Taiwán (Provincia De China),65,92,157
2017-06,Taiwán (Provincia De China),64,98,162
2017-07,Taiwán (Provincia De China),90,116,206
2017-08,Taiwán (Provincia De China),77,84,161
2017-09,Taiwán (Provincia De China),46,83,129
2017-10,Taiwán (Provincia De China),49,98,147
2017-11,Taiwán (Provincia De China),130,117,247
2017-12,Taiwán (Provincia De China),91,81,172
2018-01,Taiwán (Provincia De China),66,96,162
2018-02,Taiwán (Provincia De China),109,105,214
2018-03,Taiwán (Provincia De China),152,161,313
2018-04,Taiwán (Provincia De China),83,122,205
2018-05,Taiwán (Provincia De China),84,109,193
2018-06,Taiwán (Provincia De China),81,84,165
2018-07,Taiwán (Provincia De China),105,90,195
2018-08,Taiwán (Provincia De China),72,81,153
2018-09,Taiwán (Provincia De China),102,138,240
2018-10,Taiwán (Provincia De China),65,126,191
2018-11,Taiwán (Provincia De China),81,95,176
2018-12,Taiwán (Provincia De China),77,65,142
2019-01,Taiwán (Provincia De China),104,114,218
2019-02,Taiwán (Provincia De China),79,89,168
2019-03,Taiwán (Provincia De China),124,142,266
2019-04,Taiwán (Provincia De China),69,87,156
2019-05,Taiwán (Provincia De China),87,116,203
2019-06,Taiwán (Provincia De China),82,102,184
2019-07,Taiwán (Provincia De China),102,100,202
2019-08,Taiwán (Provincia De China),73,96,169
2019-09,Taiwán (Provincia De China),101,108,209
2019-10,Taiwán (Provincia De China),80,87,167
2019-11,Taiwán (Provincia De China),101,120,221
2019-12,Taiwán (Provincia De China),74,68,142
2020-01,Taiwán (Provincia De China),90,84,174
2020-02,Taiwán (Provincia De China),82,113,195
2020-03,Taiwán (Provincia De China),20,24,44
2020-08,Taiwán (Provincia De China),1,0,1
2020-09,Taiwán (Provincia De China),0,1,1
2020-10,Taiwán (Provincia De China),4,6,10
2020-11,Taiwán (Provincia De China),5,11,16
2020-12,Taiwán (Provincia De China),7,7,14
2021-01,Taiwán (Provincia De China),12,9,21
2021-02,Taiwán (Provincia De China),2,5,7
2021-03,Taiwán (Provincia De China),7,5,12
2021-04,Taiwán (Provincia De China),3,10,13
2021-05,Taiwán (Provincia De China),9,10,19
2021-06,Taiwán (Provincia De China),6,13,19
2021-07,Taiwán (Provincia De China),10,18,28
2021-08,Taiwán (Provincia De China),20,15,35
2021-09,Taiwán (Provincia De China),7,20,27
2021-10,Taiwán (Provincia De China),20,31,51
2021-11,Taiwán (Provincia De China),20,35,55
2021-12,Taiwán (Provincia De China),29,43,72
2022-01,Taiwán (Provincia De China),31,24,55
2022-02,Taiwán (Provincia De China),23,25,48
2022-03,Taiwán (Provincia De China),33,38,71
2022-04,Taiwán (Provincia De China),34,37,71
2022-05,Taiwán (Provincia De China),31,35,66
2022-06,Taiwán (Provincia De China),26,43,69
2022-07,Taiwán (Provincia De China),59,68,127
2022-08,Taiwán (Provincia De China),43,43,86
2022-09,Taiwán (Provincia De China),41,53,94
2022-10,Taiwán (Provincia De China),61,64,125
2022-11,Taiwán (Provincia De China),61,69,131
2022-12,Taiwán (Provincia De China),54,80,134
2023-01,Taiwán (Provincia De China),59,68,127
2023-02,Taiwán (Provincia De China),62,74,136
2023-03,Taiwán (Provincia De China),95,118,213
2023-04,Taiwán (Provincia De China),75,80,155
2023-05,Taiwán (Provincia De China),145,317,462
2023-06,Taiwán (Provincia De China),32,98,130
2023-07,Taiwán (Provincia De China),52,43,95
2023-08,Taiwán (Provincia De China),45,77,122
2023-09,Taiwán (Provincia De China),56,92,148
2023-10,Taiwán (Provincia De China),36,59,95
2023-11,Taiwán (Provincia De China),45,89,134
2023-12,Taiwán (Provincia De China),41,76,117
2024-01,Taiwán (Provincia De China),44,86,130
2024-02,Taiwán (Provincia De China),51,111,162
2024-03,Taiwán (Provincia De China),71,79,150
