Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Territorio De Las Tierras Australes Francesas,1,7,8
2012-02,Territorio De Las Tierras Australes Francesas,1,6,7
2012-03,Territorio De Las Tierras Australes Francesas,1,4,5
2012-04,Territorio De Las Tierras Australes Francesas,0,4,4
2012-05,Territorio De Las Tierras Australes Francesas,1,6,7
2012-06,Territorio De Las Tierras Australes Francesas,2,4,6
2012-07,Territorio De Las Tierras Australes Francesas,2,7,9
2012-08,Territorio De Las Tierras Australes Francesas,0,8,8
2012-09,Territorio De Las Tierras Australes Francesas,1,8,9
2012-10,Territorio De Las Tierras Australes Francesas,0,1,1
2012-11,Territorio De Las Tierras Australes Francesas,0,6,6
2012-12,Territorio De Las Tierras Australes Francesas,2,4,6
2013-01,Territorio De Las Tierras Australes Francesas,4,2,6
2013-02,Territorio De Las Tierras Australes Francesas,5,4,9
2013-03,Territorio De Las Tierras Australes Francesas,5,3,8
2013-04,Territorio De Las Tierras Australes Francesas,0,9,9
2013-05,Territorio De Las Tierras Australes Francesas,1,1,2
2013-06,Territorio De Las Tierras Australes Francesas,2,2,4
2013-07,Territorio De Las Tierras Australes Francesas,4,5,9
2013-08,Territorio De Las Tierras Australes Francesas,1,4,5
2013-09,Territorio De Las Tierras Australes Francesas,1,2,3
2013-10,Territorio De Las Tierras Australes Francesas,0,2,2
2021-11,Territorio De Las Tierras Australes Francesas,1,1,2
2024-11,Territorio De Las Tierras Australes Francesas,1,0,1
