Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Timor-Leste,0,1,1
2013-07,Timor-Leste,0,1,1
2015-02,Timor-Leste,0,1,1
2015-09,Timor-Leste,0,1,1
2017-01,Timor-Leste,0,1,1
2017-03,Timor-Leste,0,2,2
2017-10,Timor-Leste,0,1,1
2018-11,Timor-Leste,0,2,2
2019-09,Timor-Leste,0,1,1
2020-03,Timor-Leste,1,0,1
2022-05,Timor-Leste,1,0,1
2022-12,Timor-Leste,6,4,10
2023-07,Timor-Leste,0,2,2
2023-10,Timor-Leste,1,0,1
2023-11,Timor-Leste,0,1,1
2024-05,Timor-Leste,0,4,4
2024-10,Timor-Leste,2,2,4
2024-11,Timor-Leste,2,1,3
2025-06,Timor-Leste,0,3,3
2025-07,Timor-Leste,1,0,1
