Fecha,Nacionalidad,Femenino,Masculino,Total
2012-02,Tíbet/Región Autónoma De China,0,1,1
2012-05,Tíbet/Región Autónoma De China,0,1,1
2012-06,Tíbet/Región Autónoma De China,0,2,2
2012-07,Tíbet/Región Autónoma De China,1,1,2
2012-11,Tíbet/Región Autónoma De China,0,1,1
2012-12,Tíbet/Región Autónoma De China,0,2,2
2013-01,Tíbet/Región Autónoma De China,0,1,1
2013-02,Tíbet/Región Autónoma De China,1,4,5
2013-03,Tíbet/Región Autónoma De China,0,2,2
2013-04,Tíbet/Región Autónoma De China,1,4,5
2013-05,Tíbet/Región Autónoma De China,2,1,3
2013-07,Tíbet/Región Autónoma De China,2,1,3
2013-10,Tíbet/Región Autónoma De China,1,0,1
