Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Túnez,0,2,2
2012-02,Túnez,0,1,1
2012-03,Túnez,1,6,7
2012-04,Túnez,0,5,5
2012-05,Túnez,3,4,7
2012-06,Túnez,2,4,6
2012-07,Túnez,1,2,3
2012-08,Túnez,2,6,8
2012-09,Túnez,0,2,2
2012-10,Túnez,1,1,2
2012-11,Túnez,1,2,3
2012-12,Túnez,1,3,4
2013-01,Túnez,3,1,4
2013-02,Túnez,0,4,4
2013-03,Túnez,1,2,3
2013-04,Túnez,1,3,4
2013-05,Túnez,0,3,3
2013-06,Túnez,2,2,4
2013-07,Túnez,7,13,20
2013-08,Túnez,2,5,7
2013-09,Túnez,1,2,3
2013-10,Túnez,0,2,2
2013-11,Túnez,1,3,4
2013-12,Túnez,0,2,2
2014-01,Túnez,1,1,2
2014-02,Túnez,2,6,8
2014-03,Túnez,0,2,2
2014-04,Túnez,5,4,9
2014-05,Túnez,3,2,5
2014-06,Túnez,1,0,1
2014-07,Túnez,2,6,8
2014-08,Túnez,1,7,8
2014-09,Túnez,1,2,3
2014-10,Túnez,1,3,4
2014-11,Túnez,1,1,2
2014-12,Túnez,0,8,8
2015-01,Túnez,2,0,2
2015-02,Túnez,1,8,9
2015-03,Túnez,1,4,5
2015-04,Túnez,3,5,8
2015-05,Túnez,0,5,5
2015-06,Túnez,1,6,7
2015-07,Túnez,2,17,19
2015-08,Túnez,2,5,7
2015-09,Túnez,7,11,18
2015-10,Túnez,1,4,5
2015-11,Túnez,2,9,11
2015-12,Túnez,2,8,10
2016-01,Túnez,1,11,12
2016-02,Túnez,2,5,7
2016-03,Túnez,0,4,4
2016-04,Túnez,7,9,16
2016-05,Túnez,2,9,11
2016-06,Túnez,3,4,7
2016-07,Túnez,1,4,5
2016-08,Túnez,3,3,6
2016-09,Túnez,3,2,5
2016-10,Túnez,3,13,16
2016-11,Túnez,1,11,12
2016-12,Túnez,0,6,6
2017-01,Túnez,1,7,8
2017-02,Túnez,10,9,19
2017-03,Túnez,1,3,4
2017-04,Túnez,7,6,13
2017-05,Túnez,5,9,14
2017-06,Túnez,3,10,13
2017-07,Túnez,4,10,14
2017-08,Túnez,0,8,8
2017-09,Túnez,1,11,12
2017-10,Túnez,6,7,13
2017-11,Túnez,4,5,9
2017-12,Túnez,4,17,21
2018-01,Túnez,22,22,44
2018-02,Túnez,0,12,12
2018-03,Túnez,4,8,12
2018-04,Túnez,4,9,13
2018-05,Túnez,1,8,9
2018-06,Túnez,3,3,6
2018-07,Túnez,5,13,18
2018-08,Túnez,5,8,13
2018-09,Túnez,2,7,9
2018-10,Túnez,4,9,13
2018-11,Túnez,1,9,10
2018-12,Túnez,9,8,17
2019-01,Túnez,9,10,19
2019-02,Túnez,3,8,11
2019-03,Túnez,11,13,24
2019-04,Túnez,6,8,14
2019-05,Túnez,2,4,6
2019-06,Túnez,5,5,10
2019-07,Túnez,4,10,14
2019-08,Túnez,3,5,8
2019-09,Túnez,3,9,12
2019-10,Túnez,4,8,12
2019-11,Túnez,2,13,15
2019-12,Túnez,4,13,17
2020-01,Túnez,2,5,7
2020-02,Túnez,6,12,18
2020-03,Túnez,2,4,6
2020-04,Túnez,2,1,3
2020-06,Túnez,0,1,1
2020-10,Túnez,0,1,1
2020-11,Túnez,0,1,1
2020-12,Túnez,2,3,5
2021-01,Túnez,1,2,3
2021-03,Túnez,0,1,1
2021-04,Túnez,0,2,2
2021-05,Túnez,2,2,4
2021-07,Túnez,0,2,2
2021-08,Túnez,2,0,2
2021-09,Túnez,2,4,6
2021-10,Túnez,0,6,6
2021-11,Túnez,3,1,4
2021-12,Túnez,6,14,20
2022-01,Túnez,6,2,8
2022-02,Túnez,9,17,26
2022-03,Túnez,7,11,18
2022-04,Túnez,3,4,7
2022-05,Túnez,6,8,14
2022-06,Túnez,2,3,5
2022-07,Túnez,11,14,25
2022-08,Túnez,3,11,14
2022-09,Túnez,3,5,8
2022-10,Túnez,2,11,13
2022-11,Túnez,5,6,11
2022-12,Túnez,5,13,18
2023-01,Túnez,6,11,17
2023-02,Túnez,3,14,17
2023-03,Túnez,19,22,41
2023-04,Túnez,5,10,15
2023-05,Túnez,7,9,16
2023-06,Túnez,4,11,15
2023-07,Túnez,3,4,7
2023-08,Túnez,7,15,22
2023-09,Túnez,5,5,10
2023-10,Túnez,3,17,20
2023-11,Túnez,6,11,17
2023-12,Túnez,14,17,31
2024-01,Túnez,23,10,33
2024-02,Túnez,10,24,34
2024-03,Túnez,3,7,10
2024-04,Túnez,10,14,24
2024-05,Túnez,5,14,19
2024-06,Túnez,10,18,28
2024-07,Túnez,2,9,11
2024-08,Túnez,5,6,11
2024-09,Túnez,4,12,16
2024-10,Túnez,15,18,33
2024-11,Túnez,13,11,24
2024-12,Túnez,6,3,9
2025-01,Túnez,10,10,20
2025-02,Túnez,8,19,27
2025-03,Túnez,5,12,17
2025-04,Túnez,9,8,17
2025-05,Túnez,7,13,20
2025-06,Túnez,5,9,14
2025-07,Túnez,4,10,14
2025-08,Túnez,12,10,22
2025-09,Túnez,17,21,38
2025-10,Túnez,18,11,29
2025-11,Túnez,11,15,26
2025-12,Túnez,2,16,18
