Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Ucrania,31,30,61
2012-02,Ucrania,21,30,51
2012-03,Ucrania,29,30,59
2012-04,Ucrania,25,26,51
2012-05,Ucrania,12,20,32
2012-06,Ucrania,17,11,28
2012-07,Ucrania,20,25,45
2012-08,Ucrania,19,21,40
2012-09,Ucrania,17,16,33
2012-10,Ucrania,24,32,56
2012-11,Ucrania,17,38,55
2012-12,Ucrania,24,35,59
2013-01,Ucrania,38,45,83
2013-02,Ucrania,20,20,40
2013-03,Ucrania,19,23,42
2013-04,Ucrania,20,29,49
2013-05,Ucrania,14,24,38
2013-06,Ucrania,20,19,39
2013-07,Ucrania,88,131,219
2013-08,Ucrania,18,40,58
2013-09,Ucrania,21,73,94
2013-10,Ucrania,25,28,53
2013-11,Ucrania,19,57,76
2013-12,Ucrania,21,46,67
2014-01,Ucrania,33,40,73
2014-02,Ucrania,13,45,58
2014-03,Ucrania,16,48,64
2014-04,Ucrania,20,35,55
2014-05,Ucrania,16,40,56
2014-06,Ucrania,18,41,59
2014-07,Ucrania,26,27,53
2014-08,Ucrania,16,33,49
2014-09,Ucrania,11,58,69
2014-10,Ucrania,34,49,83
2014-11,Ucrania,26,30,56
2014-12,Ucrania,19,28,47
2015-01,Ucrania,42,76,118
2015-02,Ucrania,30,37,67
2015-03,Ucrania,46,75,121
2015-04,Ucrania,32,42,74
2015-05,Ucrania,20,46,66
2015-06,Ucrania,20,34,54
2015-07,Ucrania,41,57,98
2015-08,Ucrania,22,39,61
2015-09,Ucrania,24,33,57
2015-10,Ucrania,38,52,90
2015-11,Ucrania,21,52,73
2015-12,Ucrania,38,35,73
2016-01,Ucrania,37,59,96
2016-02,Ucrania,26,72,98
2016-03,Ucrania,17,48,65
2016-04,Ucrania,18,55,73
2016-05,Ucrania,24,33,57
2016-06,Ucrania,24,61,85
2016-07,Ucrania,28,35,63
2016-08,Ucrania,25,41,66
2016-09,Ucrania,23,58,81
2016-10,Ucrania,36,46,82
2016-11,Ucrania,27,47,74
2016-12,Ucrania,36,36,72
2017-01,Ucrania,39,43,82
2017-02,Ucrania,19,47,66
2017-03,Ucrania,34,44,78
2017-04,Ucrania,24,76,100
2017-05,Ucrania,27,48,75
2017-06,Ucrania,22,42,64
2017-07,Ucrania,34,39,73
2017-08,Ucrania,20,73,93
2017-09,Ucrania,36,40,76
2017-10,Ucrania,38,48,86
2017-11,Ucrania,37,71,108
2017-12,Ucrania,54,87,141
2018-01,Ucrania,50,56,106
2018-02,Ucrania,42,54,96
2018-03,Ucrania,38,55,93
2018-04,Ucrania,29,48,77
2018-05,Ucrania,22,58,80
2018-06,Ucrania,42,47,89
2018-07,Ucrania,37,58,95
2018-08,Ucrania,39,65,104
2018-09,Ucrania,24,78,102
2018-10,Ucrania,34,69,103
2018-11,Ucrania,52,100,155
2018-12,Ucrania,73,63,136
2019-01,Ucrania,45,97,142
2019-02,Ucrania,37,77,114
2019-03,Ucrania,43,59,102
2019-04,Ucrania,35,59,94
2019-05,Ucrania,39,92,131
2019-06,Ucrania,39,62,101
2019-07,Ucrania,36,68,105
2019-08,Ucrania,33,52,85
2019-09,Ucrania,27,57,84
2019-10,Ucrania,53,82,135
2019-11,Ucrania,39,88,128
2019-12,Ucrania,44,82,127
2020-01,Ucrania,55,87,143
2020-02,Ucrania,49,84,133
2020-03,Ucrania,24,25,51
2020-04,Ucrania,1,0,1
2020-06,Ucrania,0,1,1
2020-07,Ucrania,1,0,1
2020-08,Ucrania,0,5,5
2020-09,Ucrania,0,1,1
2020-10,Ucrania,6,6,12
2020-11,Ucrania,26,35,61
2020-12,Ucrania,85,70,155
2021-01,Ucrania,75,129,204
2021-02,Ucrania,52,71,123
2021-03,Ucrania,50,122,172
2021-04,Ucrania,34,155,189
2021-05,Ucrania,28,58,86
2021-06,Ucrania,31,100,131
2021-07,Ucrania,58,90,148
2021-08,Ucrania,54,144,198
2021-09,Ucrania,69,105,174
2021-10,Ucrania,64,115,179
2021-11,Ucrania,89,154,243
2021-12,Ucrania,139,177,316
2022-01,Ucrania,132,183,315
2022-02,Ucrania,122,153,275
2022-03,Ucrania,99,88,187
2022-04,Ucrania,353,286,639
2022-05,Ucrania,84,128,212
2022-06,Ucrania,55,129,184
2022-07,Ucrania,87,156,243
2022-08,Ucrania,86,145,231
2022-09,Ucrania,74,175,249
2022-10,Ucrania,101,236,337
2022-11,Ucrania,118,160,278
2022-12,Ucrania,119,283,402
2023-01,Ucrania,125,303,428
2023-02,Ucrania,106,255,361
2023-03,Ucrania,86,259,345
2023-04,Ucrania,97,262,359
2023-05,Ucrania,93,373,466
2023-06,Ucrania,95,273,369
2023-07,Ucrania,108,278,386
2023-08,Ucrania,94,240,334
2023-09,Ucrania,88,211,299
2023-10,Ucrania,94,245,339
2023-11,Ucrania,95,270,365
