Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Uganda,2,7,9
2012-02,Uganda,0,4,4
2012-03,Uganda,1,4,5
2012-04,Uganda,1,2,3
2012-05,Uganda,3,1,4
2012-06,Uganda,1,3,4
2012-07,Uganda,0,3,3
2012-08,Uganda,5,1,6
2012-09,Uganda,0,3,3
2012-10,Uganda,2,1,3
2012-11,Uganda,3,1,4
2013-01,Uganda,0,2,2
2013-02,Uganda,2,2,4
2013-03,Uganda,0,3,3
2013-04,Uganda,0,3,3
2013-05,Uganda,1,2,3
2013-06,Uganda,0,3,3
2013-07,Uganda,4,10,14
2013-08,Uganda,6,4,10
2013-09,Uganda,7,9,16
2013-10,Uganda,3,9,12
2013-11,Uganda,0,2,2
2013-12,Uganda,4,8,12
2014-01,Uganda,1,0,1
2014-02,Uganda,0,3,3
2014-03,Uganda,1,3,4
2014-04,Uganda,12,24,36
2014-05,Uganda,1,1,2
2014-06,Uganda,0,1,1
2014-07,Uganda,0,3,3
2014-08,Uganda,2,4,6
2014-09,Uganda,1,7,8
2014-10,Uganda,3,2,5
2014-11,Uganda,1,2,3
2014-12,Uganda,0,3,3
2015-01,Uganda,1,1,2
2015-02,Uganda,3,1,4
2015-03,Uganda,1,1,2
2015-04,Uganda,3,2,5
2015-05,Uganda,1,5,6
2015-06,Uganda,6,4,10
2015-07,Uganda,2,5,7
2015-08,Uganda,7,8,15
2015-09,Uganda,2,8,10
2015-10,Uganda,2,1,3
2015-11,Uganda,3,2,5
2015-12,Uganda,1,2,3
2016-01,Uganda,1,2,3
2016-02,Uganda,2,3,5
2016-03,Uganda,1,4,5
2016-04,Uganda,5,4,9
2016-05,Uganda,1,1,2
2016-07,Uganda,1,0,1
2016-08,Uganda,0,1,1
2016-10,Uganda,3,2,5
2016-11,Uganda,4,2,6
2016-12,Uganda,0,1,1
2017-01,Uganda,2,1,3
2017-02,Uganda,0,2,2
2017-03,Uganda,3,5,8
2017-04,Uganda,3,2,5
2017-05,Uganda,7,11,18
2017-06,Uganda,2,0,2
2017-07,Uganda,1,5,6
2017-08,Uganda,2,2,4
2017-09,Uganda,5,5,10
2017-10,Uganda,3,9,12
2017-11,Uganda,3,4,7
2017-12,Uganda,4,2,6
2018-01,Uganda,1,2,3
2018-02,Uganda,3,1,4
2018-03,Uganda,2,2,4
2018-04,Uganda,2,1,3
2018-05,Uganda,1,1,2
2018-06,Uganda,3,5,8
2018-07,Uganda,1,4,5
2018-08,Uganda,6,1,7
2018-09,Uganda,1,1,2
2018-10,Uganda,3,7,10
2018-11,Uganda,1,3,4
2018-12,Uganda,1,2,3
2019-01,Uganda,1,1,2
2019-02,Uganda,2,3,5
2019-03,Uganda,3,5,8
2019-04,Uganda,2,3,5
2019-05,Uganda,1,2,3
2019-06,Uganda,2,5,7
2019-07,Uganda,4,8,12
2019-08,Uganda,1,0,1
2019-09,Uganda,10,16,26
2019-10,Uganda,3,3,6
2019-11,Uganda,1,6,7
2019-12,Uganda,3,7,10
2020-01,Uganda,1,5,6
2020-02,Uganda,3,7,10
2020-03,Uganda,1,1,2
2020-06,Uganda,0,1,1
2020-11,Uganda,0,1,1
2021-02,Uganda,1,1,2
2021-03,Uganda,1,0,1
2021-04,Uganda,0,1,1
2021-05,Uganda,0,1,1
2021-06,Uganda,0,1,1
2021-07,Uganda,1,1,2
2021-08,Uganda,1,2,3
2021-09,Uganda,1,0,1
2021-11,Uganda,0,6,6
2021-12,Uganda,0,1,1
2022-01,Uganda,0,4,4
2022-02,Uganda,1,2,3
2022-03,Uganda,3,0,3
2022-04,Uganda,1,7,8
2022-05,Uganda,0,5,5
2022-06,Uganda,3,0,3
2022-07,Uganda,7,13,20
2022-08,Uganda,1,6,7
2022-09,Uganda,1,1,2
2022-10,Uganda,5,17,22
2022-11,Uganda,1,3,4
2022-12,Uganda,7,9,16
2023-01,Uganda,3,3,6
2023-02,Uganda,4,4,8
2023-03,Uganda,1,2,3
2023-04,Uganda,4,2,6
2023-05,Uganda,2,4,6
2023-06,Uganda,6,2,8
2023-07,Uganda,7,8,15
2023-08,Uganda,1,2,3
2023-09,Uganda,1,5,6
2023-10,Uganda,0,5,5
2023-11,Uganda,8,3,11
2023-12,Uganda,4,8,12
2024-01,Uganda,0,4,4
2024-02,Uganda,1,2,3
2024-03,Uganda,3,4,7
2024-04,Uganda,3,8,11
2024-05,Uganda,3,2,5
2024-06,Uganda,5,2,7
2024-07,Uganda,2,1,3
2024-08,Uganda,1,1,2
2024-09,Uganda,2,10,12
2024-10,Uganda,17,30,47
2024-11,Uganda,16,14,30
2024-12,Uganda,3,3,6
2025-01,Uganda,0,3,3
2025-02,Uganda,2,4,6
2025-03,Uganda,3,7,10
2025-04,Uganda,5,8,13
2025-05,Uganda,5,2,7
2025-06,Uganda,9,8,17
2025-07,Uganda,1,3,4
2025-08,Uganda,4,5,9
2025-09,Uganda,5,5,10
2025-10,Uganda,41,27,68
2025-11,Uganda,37,35,72
