Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Uruguay,301,403,704
2012-02,Uruguay,358,485,843
2012-03,Uruguay,335,492,827
2012-04,Uruguay,337,536,873
2012-05,Uruguay,309,402,711
2012-06,Uruguay,324,510,834
2012-07,Uruguay,346,491,837
2012-08,Uruguay,367,595,962
2012-09,Uruguay,319,697,1016
2012-10,Uruguay,276,489,765
2012-11,Uruguay,273,452,725
2012-12,Uruguay,208,421,629
2013-01,Uruguay,313,418,731
2013-02,Uruguay,379,515,894
2013-03,Uruguay,300,489,789
2013-04,Uruguay,313,482,795
2013-05,Uruguay,393,556,949
2013-06,Uruguay,397,614,1011
2013-07,Uruguay,316,546,862
2013-08,Uruguay,326,533,859
2013-09,Uruguay,327,543,870
2013-10,Uruguay,291,481,772
2013-11,Uruguay,357,514,871
2013-12,Uruguay,222,383,605
2014-01,Uruguay,262,413,675
2014-02,Uruguay,323,504,827
2014-03,Uruguay,385,539,924
2014-04,Uruguay,357,504,861
2014-05,Uruguay,335,561,896
2014-06,Uruguay,289,459,748
2014-07,Uruguay,415,553,968
2014-08,Uruguay,423,626,1049
2014-09,Uruguay,385,601,986
2014-10,Uruguay,400,645,1045
2014-11,Uruguay,346,554,900
2014-12,Uruguay,234,392,626
2015-01,Uruguay,421,521,942
2015-02,Uruguay,360,542,902
2015-03,Uruguay,433,633,1066
2015-04,Uruguay,329,525,854
2015-05,Uruguay,385,633,1018
2015-06,Uruguay,412,578,990
2015-07,Uruguay,330,580,910
2015-08,Uruguay,387,635,1022
2015-09,Uruguay,392,614,1006
2015-10,Uruguay,378,570,948
2015-11,Uruguay,349,671,1020
2015-12,Uruguay,247,443,690
2016-01,Uruguay,393,535,928
2016-02,Uruguay,295,497,792
2016-03,Uruguay,427,695,1122
2016-04,Uruguay,324,503,827
2016-05,Uruguay,364,565,929
2016-06,Uruguay,408,613,1021
2016-07,Uruguay,412,565,977
2016-08,Uruguay,433,718,1151
2016-09,Uruguay,465,639,1104
2016-10,Uruguay,505,844,1349
2016-11,Uruguay,438,606,1044
2016-12,Uruguay,423,592,1015
2017-01,Uruguay,534,636,1170
2017-02,Uruguay,466,542,1008
2017-03,Uruguay,416,649,1065
2017-04,Uruguay,563,709,1272
2017-05,Uruguay,536,744,1280
2017-06,Uruguay,673,883,298
2017-07,Uruguay,654,753,391
2017-08,Uruguay,865,1040,542
2017-09,Uruguay,622,823,383
2017-10,Uruguay,651,988,602
2017-11,Uruguay,558,794,1352
2017-12,Uruguay,465,637,1102
2018-01,Uruguay,653,733,355
2018-02,Uruguay,596,785,1381
2018-03,Uruguay,766,913,465
2018-04,Uruguay,837,1003,583
2018-05,Uruguay,750,945,458
2018-06,Uruguay,742,835,379
2018-07,Uruguay,729,816,462
2018-08,Uruguay,877,1025,529
2018-09,Uruguay,729,891,552
2018-10,Uruguay,688,844,463
2018-11,Uruguay,655,798,1453
2018-12,Uruguay,494,778,1272
2019-01,Uruguay,814,827,468
2019-02,Uruguay,762,847,584
2019-03,Uruguay,485,688,1173
2019-04,Uruguay,632,779,1411
2019-05,Uruguay,768,873,1642
2019-06,Uruguay,734,872,1606
2019-07,Uruguay,610,852,1462
2019-08,Uruguay,619,921,1540
2019-09,Uruguay,573,803,1376
2019-10,Uruguay,551,753,1304
2019-11,Uruguay,469,674,1143
2019-12,Uruguay,511,758,1269
2020-01,Uruguay,865,918,530
2020-02,Uruguay,612,859,450
2020-03,Uruguay,280,408,688
2020-06,Uruguay,4,8,12
2020-07,Uruguay,0,2,2
2020-08,Uruguay,2,1,3
2020-09,Uruguay,0,8,8
2020-10,Uruguay,9,87,96
2020-11,Uruguay,28,163,191
2020-12,Uruguay,41,109,150
2021-01,Uruguay,60,112,172
2021-02,Uruguay,35,117,152
2021-03,Uruguay,69,117,186
2021-04,Uruguay,29,88,117
2021-05,Uruguay,29,137,166
2021-06,Uruguay,52,117,169
2021-07,Uruguay,83,188,271
2021-08,Uruguay,88,193,281
2021-09,Uruguay,109,218,327
2021-10,Uruguay,156,281,437
2021-11,Uruguay,240,407,647
2021-12,Uruguay,278,415,693
2022-01,Uruguay,306,392,698
2022-02,Uruguay,275,380,655
2022-03,Uruguay,310,496,806
2022-04,Uruguay,534,678,1212
2022-05,Uruguay,493,731,1224
2022-06,Uruguay,585,745,1330
2022-07,Uruguay,729,868,534
2022-08,Uruguay,867,936,715
2022-09,Uruguay,568,636,1204
2022-10,Uruguay,730,843,557
2022-11,Uruguay,601,748,1349
2022-12,Uruguay,481,635,1116
2023-01,Uruguay,674,808,1482
2023-02,Uruguay,493,625,1118
2023-03,Uruguay,553,741,1294
2023-04,Uruguay,568,707,1275
2023-05,Uruguay,769,1126,641
2023-06,Uruguay,727,812,532
2023-07,Uruguay,748,888,1636
2023-08,Uruguay,788,882,1670
2023-09,Uruguay,574,710,1284
2023-10,Uruguay,643,965,1608
2023-11,Uruguay,632,770,1402
2023-12,Uruguay,493,659,1152
2024-01,Uruguay,724,810,1534
2024-02,Uruguay,633,746,1379
2024-03,Uruguay,799,890,1689
2024-04,Uruguay,817,915,708
2024-05,Uruguay,853,1061,756
2024-06,Uruguay,917,988,622
2024-07,Uruguay,1047,1196,599
2024-08,Uruguay,1179,1156,828
2024-09,Uruguay,1029,1142,735
2024-10,Uruguay,745,895,1640
2024-11,Uruguay,759,898,1657
2024-12,Uruguay,702,936,1638
2025-01,Uruguay,891,1009,874
2025-02,Uruguay,708,843,1551
2025-03,Uruguay,654,1011,1665
2025-04,Uruguay,781,872,1653
2025-05,Uruguay,750,943,627
2025-06,Uruguay,833,953,785
2025-07,Uruguay,731,911,1642
2025-08,Uruguay,900,1001,710
2025-09,Uruguay,875,929,642
2025-10,Uruguay,699,877,1576
2025-11,Uruguay,775,998,1773
2025-12,Uruguay,660,897,1557
