Fecha,Nacionalidad,Femenino,Masculino,Total
2012-04,Yemen,0,1,1
2012-05,Yemen,0,1,1
2012-10,Yemen,0,1,1
2012-11,Yemen,0,3,3
2013-02,Yemen,0,1,1
2013-04,Yemen,1,1,2
2013-06,Yemen,0,1,1
2013-08,Yemen,1,0,1
2013-10,Yemen,0,1,1
2013-11,Yemen,0,1,1
2013-12,Yemen,0,1,1
2014-02,Yemen,0,1,1
2014-03,Yemen,0,1,1
2014-04,Yemen,3,5,8
2014-06,Yemen,0,1,1
2014-08,Yemen,0,1,1
2014-11,Yemen,0,2,2
2014-12,Yemen,0,1,1
2015-02,Yemen,0,1,1
2015-03,Yemen,1,3,4
2015-04,Yemen,2,1,3
2015-06,Yemen,0,1,1
2015-07,Yemen,0,1,1
2015-09,Yemen,0,1,1
2015-10,Yemen,0,2,2
2015-12,Yemen,0,1,1
2016-01,Yemen,0,1,1
2016-02,Yemen,0,1,1
2016-05,Yemen,0,2,2
2016-06,Yemen,0,1,1
2016-09,Yemen,0,2,2
2016-10,Yemen,0,1,1
2016-11,Yemen,0,1,1
2016-12,Yemen,0,4,4
2017-01,Yemen,0,1,1
2017-03,Yemen,0,1,1
2017-04,Yemen,0,1,1
2017-06,Yemen,0,1,1
2017-08,Yemen,0,3,3
2017-09,Yemen,0,1,1
2017-10,Yemen,1,1,2
2017-11,Yemen,0,3,3
2017-12,Yemen,0,3,3
2018-01,Yemen,0,1,1
2018-02,Yemen,0,2,2
2018-03,Yemen,1,4,5
2018-04,Yemen,0,4,4
2018-05,Yemen,0,1,1
2018-06,Yemen,0,4,4
2018-07,Yemen,0,2,2
2018-09,Yemen,0,2,2
2018-10,Yemen,0,2,2
2018-11,Yemen,0,2,2
2018-12,Yemen,0,2,2
2019-01,Yemen,1,2,3
2019-02,Yemen,0,1,1
2019-03,Yemen,0,2,2
2019-04,Yemen,0,3,3
2019-05,Yemen,0,2,2
2019-06,Yemen,2,3,5
2019-07,Yemen,1,2,3
2019-08,Yemen,0,2,2
2019-09,Yemen,0,1,1
2019-10,Yemen,1,0,1
2019-11,Yemen,0,2,2
2019-12,Yemen,1,1,2
2020-01,Yemen,0,2,2
2020-03,Yemen,0,2,2
2021-01,Yemen,0,1,1
2021-06,Yemen,0,1,1
2021-07,Yemen,0,1,1
2021-08,Yemen,0,8,8
2021-09,Yemen,1,1,2
2021-10,Yemen,1,2,3
2021-12,Yemen,0,1,1
2022-01,Yemen,0,1,1
2022-02,Yemen,0,2,2
2022-04,Yemen,0,3,3
2022-05,Yemen,0,1,1
2022-06,Yemen,0,2,2
2022-08,Yemen,0,1,1
2022-09,Yemen,1,1,2
2022-10,Yemen,1,2,3
2022-11,Yemen,2,2,4
2022-12,Yemen,0,4,4
2023-01,Yemen,0,7,7
2023-02,Yemen,3,4,7
2023-03,Yemen,2,1,3
2023-05,Yemen,1,3,4
2023-06,Yemen,0,2,2
2023-07,Yemen,3,3,6
2023-08,Yemen,0,3,3
2023-09,Yemen,0,2,2
2023-10,Yemen,0,3,3
2023-11,Yemen,0,2,2
2024-01,Yemen,1,2,3
2024-02,Yemen,0,1,1
2024-03,Yemen,1,1,2
2024-04,Yemen,0,2,2
2024-05,Yemen,1,1,2
2024-06,Yemen,1,3,4
2024-08,Yemen,0,1,1
2024-09,Yemen,1,4,5
2024-10,Yemen,1,5,6
2024-11,Yemen,0,1,1
2024-12,Yemen,0,4,4
2025-01,Yemen,1,1,2
2025-03,Yemen,2,1,3
2025-05,Yemen,0,4,4
2025-06,Yemen,0,4,4
2025-07,Yemen,0,2,2
2025-08,Yemen,1,1,2
2025-11,Yemen,2,2,4
2025-12,Yemen,0,2,2
