Fecha,Nacionalidad,Femenino,Masculino,Total
2012-02,Zambia,1,3,4
2012-03,Zambia,0,1,1
2012-05,Zambia,2,1,3
2012-06,Zambia,0,6,6
2012-08,Zambia,1,0,1
2012-10,Zambia,0,1,1
2012-11,Zambia,0,1,1
2012-12,Zambia,0,1,1
2013-01,Zambia,0,1,1
2013-02,Zambia,0,2,2
2013-03,Zambia,0,1,1
2013-04,Zambia,4,3,7
2013-06,Zambia,0,1,1
2013-07,Zambia,0,1,1
2013-08,Zambia,1,1,2
2013-09,Zambia,1,7,8
2013-10,Zambia,3,3,6
2013-12,Zambia,0,2,2
2014-01,Zambia,0,1,1
2014-02,Zambia,0,1,1
2014-03,Zambia,0,1,1
2014-04,Zambia,4,8,12
2014-05,Zambia,0,1,1
2014-06,Zambia,2,0,2
2014-07,Zambia,0,1,1
2014-08,Zambia,2,3,5
2014-10,Zambia,2,1,3
2014-11,Zambia,1,0,1
2014-12,Zambia,2,2,4
2015-02,Zambia,1,2,3
2015-03,Zambia,0,1,1
2015-04,Zambia,0,2,2
2015-05,Zambia,6,4,10
2015-06,Zambia,2,3,5
2015-07,Zambia,0,3,3
2015-08,Zambia,0,1,1
2015-09,Zambia,6,8,14
2015-10,Zambia,2,2,4
2015-11,Zambia,0,1,1
2015-12,Zambia,0,1,1
2016-01,Zambia,1,1,2
2016-02,Zambia,1,2,3
2016-04,Zambia,2,4,6
2016-05,Zambia,1,3,4
2016-06,Zambia,1,2,3
2016-08,Zambia,0,2,2
2016-09,Zambia,0,1,1
2016-10,Zambia,1,3,4
2016-11,Zambia,1,6,7
2016-12,Zambia,0,1,1
2017-01,Zambia,2,1,3
2017-03,Zambia,1,2,3
2017-05,Zambia,5,5,10
2017-06,Zambia,1,4,5
2017-08,Zambia,1,0,1
2017-09,Zambia,1,3,4
2017-10,Zambia,2,5,7
2017-12,Zambia,1,4,5
2018-03,Zambia,3,0,3
2018-04,Zambia,1,1,2
2018-05,Zambia,1,0,1
2018-06,Zambia,0,2,2
2018-08,Zambia,0,2,2
2018-09,Zambia,1,3,4
2018-10,Zambia,1,2,3
2018-11,Zambia,0,1,1
2018-12,Zambia,0,1,1
2019-01,Zambia,0,1,1
2019-02,Zambia,0,4,4
2019-03,Zambia,1,2,3
2019-04,Zambia,0,1,1
2019-05,Zambia,2,1,3
2019-06,Zambia,0,1,1
2019-07,Zambia,2,0,2
2019-09,Zambia,1,3,4
2019-10,Zambia,0,5,5
2019-11,Zambia,1,1,2
2019-12,Zambia,1,1,2
2020-01,Zambia,1,1,2
2020-02,Zambia,2,0,2
2022-03,Zambia,1,2,3
2022-04,Zambia,1,0,1
2022-08,Zambia,1,6,7
2022-09,Zambia,0,1,1
2022-10,Zambia,1,1,2
2022-11,Zambia,29,3,32
2023-01,Zambia,0,2,2
2023-02,Zambia,1,0,1
2023-04,Zambia,0,1,1
2023-05,Zambia,3,1,4
2023-06,Zambia,2,0,2
2023-07,Zambia,3,1,4
2023-08,Zambia,1,2,3
2023-09,Zambia,1,0,1
2023-11,Zambia,1,0,1
2023-12,Zambia,4,2,6
2024-02,Zambia,0,1,1
2024-03,Zambia,3,3,6
2024-04,Zambia,3,2,5
2024-06,Zambia,1,0,1
2024-07,Zambia,1,1,2
2024-09,Zambia,2,27,29
2024-10,Zambia,13,8,21
2024-11,Zambia,14,13,27
2024-12,Zambia,1,0,1
2025-01,Zambia,0,2,2
2025-03,Zambia,2,0,2
2025-05,Zambia,5,4,9
2025-06,Zambia,2,1,3
2025-07,Zambia,3,4,7
2025-08,Zambia,5,2,7
2025-09,Zambia,4,8,12
2025-10,Zambia,6,3,9
2025-11,Zambia,11,9,20
