Fecha,País destino,Femenino,Masculino,Total
2012-02,Albania,0,2,2
2012-05,Albania,3,0,3
2012-07,Albania,1,0,1
2012-11,Albania,1,0,1
2012-12,Albania,1,0,1
2013-05,Albania,0,1,1
2013-06,Albania,2,1,3
2013-10,Albania,1,0,1
2013-11,Albania,0,1,1
2014-04,Albania,1,1,2
2014-05,Albania,1,0,1
2014-09,Albania,2,1,3
2014-10,Albania,1,0,1
2014-11,Albania,0,1,1
2014-12,Albania,0,1,1
2015-01,Albania,2,1,3
2015-04,Albania,0,2,2
2015-05,Albania,0,1,1
2015-07,Albania,2,1,3
2015-08,Albania,0,1,1
2015-10,Albania,0,1,1
2015-12,Albania,1,0,1
2016-01,Albania,0,2,2
2016-02,Albania,0,2,2
2016-05,Albania,0,1,1
2016-06,Albania,0,1,1
2016-07,Albania,1,4,5
2016-08,Albania,0,11,11
2016-09,Albania,0,2,2
2016-10,Albania,1,0,1
2016-11,Albania,1,3,4
2016-12,Albania,0,5,5
2017-01,Albania,2,14,16
2017-02,Albania,1,5,6
2017-03,Albania,0,5,5
2017-04,Albania,0,4,4
2017-05,Albania,0,7,7
2017-06,Albania,0,7,7
2017-07,Albania,1,10,11
2017-08,Albania,0,4,4
2017-09,Albania,1,3,4
2017-11,Albania,1,4,5
2017-12,Albania,0,5,5
2018-01,Albania,1,18,19
2018-02,Albania,0,2,2
2018-03,Albania,1,5,6
2018-04,Albania,1,1,2
2018-05,Albania,1,24,25
2018-06,Albania,3,11,14
2018-07,Albania,0,5,5
2018-08,Albania,2,5,7
2018-09,Albania,0,2,2
2018-10,Albania,1,3,4
2018-11,Albania,3,0,3
2018-12,Albania,3,3,6
2019-01,Albania,0,10,10
2019-02,Albania,0,2,2
2019-03,Albania,3,3,6
2019-04,Albania,1,1,2
2019-05,Albania,1,5,6
2019-06,Albania,2,3,5
2019-07,Albania,3,2,5
2019-08,Albania,2,1,3
2019-09,Albania,1,1,2
2019-10,Albania,2,1,3
2019-11,Albania,0,2,2
2019-12,Albania,0,4,4
2020-01,Albania,1,2,3
2020-02,Albania,2,1,3
2020-03,Albania,1,5,6
2020-10,Albania,2,1,3
2020-11,Albania,1,1,2
2020-12,Albania,1,0,1
2021-01,Albania,1,1,2
2021-03,Albania,3,0,3
2021-04,Albania,2,1,3
2021-05,Albania,1,2,3
2021-07,Albania,4,6,10
2021-08,Albania,3,1,4
2021-09,Albania,4,2,6
2021-10,Albania,2,0,2
2021-11,Albania,4,0,4
2021-12,Albania,2,3,5
2022-01,Albania,2,3,5
2022-02,Albania,2,5,7
2022-03,Albania,1,1,2
2022-04,Albania,4,1,5
2022-05,Albania,3,4,7
2022-06,Albania,2,2,4
2022-07,Albania,2,5,7
2022-08,Albania,5,6,11
2022-09,Albania,1,19,20
2022-10,Albania,3,1,4
2022-11,Albania,2,1,3
2022-12,Albania,2,1,3
2023-01,Albania,4,10,14
2023-02,Albania,2,2,4
2023-03,Albania,7,3,10
2023-04,Albania,3,2,5
2023-05,Albania,4,3,7
2023-06,Albania,2,1,3
2023-07,Albania,6,6,12
2023-08,Albania,3,2,5
2023-09,Albania,1,1,2
2023-10,Albania,2,1,3
2023-11,Albania,3,3,6
2023-12,Albania,4,1,5
2024-01,Albania,0,4,4
2024-02,Albania,5,0,5
2024-03,Albania,2,3,5
2024-04,Albania,2,2,4
2024-05,Albania,3,0,3
2024-06,Albania,6,0,6
2024-07,Albania,8,10,18
2024-08,Albania,3,3,6
2024-09,Albania,8,5,13
2024-10,Albania,4,6,10
2024-11,Albania,3,1,4
2024-12,Albania,3,0,3
2025-01,Albania,7,3,10
2025-02,Albania,12,1,13
2025-03,Albania,4,4,8
2025-04,Albania,2,1,3
2025-05,Albania,9,1,10
2025-06,Albania,8,1,9
2025-07,Albania,9,3,12
2025-08,Albania,3,4,7
2025-09,Albania,8,1,9
2025-10,Albania,6,3,9
2025-11,Albania,3,1,4
2025-12,Albania,4,1,5
