Fecha,País destino,Femenino,Masculino,Total
2012-06,Anguila,1,0,1
2012-11,Anguila,2,6,8
2014-10,Anguila,1,0,1
2015-02,Anguila,1,0,1
2016-08,Anguila,1,0,1
2016-09,Anguila,1,0,1
2018-05,Anguila,0,1,1
2019-09,Anguila,4,0,4
2020-11,Anguila,1,0,1
2021-12,Anguila,1,5,6
2022-01,Anguila,2,3,5
2022-02,Anguila,1,0,1
2022-03,Anguila,0,1,1
2022-04,Anguila,1,1,2
2022-05,Anguila,2,0,2
2022-06,Anguila,5,11,16
2022-07,Anguila,6,4,10
2022-08,Anguila,2,5,7
2022-09,Anguila,4,8,12
2022-10,Anguila,4,3,7
2022-11,Anguila,1,1,2
2022-12,Anguila,4,11,15
2023-01,Anguila,3,4,7
2023-02,Anguila,3,4,7
2023-03,Anguila,4,6,10
2023-05,Anguila,0,1,1
2023-06,Anguila,1,0,1
2023-07,Anguila,1,3,4
2023-08,Anguila,4,6,10
2023-09,Anguila,0,1,1
2023-10,Anguila,0,1,1
2023-11,Anguila,2,3,5
2023-12,Anguila,1,0,1
2024-02,Anguila,0,5,5
2024-04,Anguila,1,0,1
2024-08,Anguila,1,0,1
2024-09,Anguila,3,1,4
2024-10,Anguila,0,2,2
2024-11,Anguila,1,0,1
2024-12,Anguila,4,3,7
2025-02,Anguila,3,0,3
2025-03,Anguila,3,11,14
2025-04,Anguila,3,5,8
2025-06,Anguila,7,10,17
2025-07,Anguila,4,8,12
2025-08,Anguila,5,8,13
2025-10,Anguila,3,2,5
2025-11,Anguila,2,3,5
2025-12,Anguila,8,17,25
