Fecha,País destino,Femenino,Masculino,Total
2012-01,Argentina,445,418,863
2012-02,Argentina,365,344,710
2012-03,Argentina,710,773,1484
2012-04,Argentina,375,399,774
2012-05,Argentina,336,388,725
2012-06,Argentina,481,463,944
2012-07,Argentina,378,342,720
2012-08,Argentina,425,431,856
2012-09,Argentina,464,474,938
2012-10,Argentina,574,539,1113
2012-11,Argentina,516,482,998
2012-12,Argentina,514,428,943
2013-01,Argentina,473,482,956
2013-02,Argentina,256,308,565
2013-03,Argentina,426,414,841
2013-04,Argentina,231,223,454
2013-05,Argentina,265,302,567
2013-06,Argentina,403,623,1026
2013-07,Argentina,381,292,673
2013-08,Argentina,384,377,761
2013-09,Argentina,377,421,798
2013-10,Argentina,439,416,856
2013-11,Argentina,505,495,1000
2013-12,Argentina,646,462,1108
2014-01,Argentina,450,468,918
2014-02,Argentina,434,428,863
2014-03,Argentina,468,432,900
2014-04,Argentina,486,497,984
2014-05,Argentina,264,299,563
2014-06,Argentina,442,443,886
2014-07,Argentina,432,473,905
2014-08,Argentina,421,505,926
2014-09,Argentina,525,509,1034
2014-10,Argentina,638,590,1228
2014-11,Argentina,550,557,1107
2014-12,Argentina,712,750,1463
2015-01,Argentina,657,625,1283
2015-02,Argentina,511,434,946
2015-03,Argentina,592,476,1068
2015-04,Argentina,402,409,811
2015-05,Argentina,295,317,612
2015-06,Argentina,480,453,933
2015-07,Argentina,389,416,805
2015-08,Argentina,350,361,711
2015-09,Argentina,403,389,793
2015-10,Argentina,361,382,743
2015-11,Argentina,475,493,968
2015-12,Argentina,409,333,742
2016-01,Argentina,458,450,908
2016-02,Argentina,377,385,762
2016-03,Argentina,522,491,1013
2016-04,Argentina,257,344,601
2016-05,Argentina,307,360,668
2016-06,Argentina,249,262,511
2016-07,Argentina,213,235,448
2016-08,Argentina,210,263,474
2016-09,Argentina,259,261,521
2016-10,Argentina,428,419,848
2016-11,Argentina,400,485,885
2016-12,Argentina,356,298,654
2017-01,Argentina,361,397,759
2017-02,Argentina,284,262,546
2017-03,Argentina,465,479,945
2017-04,Argentina,287,319,607
2017-05,Argentina,167,239,407
2017-06,Argentina,184,181,366
2017-07,Argentina,192,208,400
2017-08,Argentina,238,257,495
2017-09,Argentina,207,256,463
2017-10,Argentina,217,287,505
2017-11,Argentina,413,475,888
2017-12,Argentina,405,359,765
2018-01,Argentina,436,538,974
2018-02,Argentina,282,365,647
2018-03,Argentina,560,545,1106
2018-04,Argentina,395,437,833
2018-05,Argentina,326,390,716
2018-06,Argentina,411,371,782
2018-07,Argentina,337,313,650
2018-08,Argentina,382,405,788
2018-09,Argentina,456,407,864
2018-10,Argentina,509,486,995
2018-11,Argentina,645,609,1254
2018-12,Argentina,658,544,1202
2019-01,Argentina,782,722,1504
2019-02,Argentina,656,518,1174
2019-03,Argentina,642,597,1239
2019-04,Argentina,512,514,1027
2019-05,Argentina,467,388,855
2019-06,Argentina,426,412,839
2019-07,Argentina,405,387,792
2019-08,Argentina,354,300,655
2019-09,Argentina,384,395,779
2019-10,Argentina,503,364,867
2019-11,Argentina,476,396,873
2019-12,Argentina,406,272,678
2020-01,Argentina,450,439,889
2020-02,Argentina,482,554,1037
2020-03,Argentina,353,365,719
2020-04,Argentina,28,54,82
2020-05,Argentina,103,158,261
2020-06,Argentina,138,141,279
2020-07,Argentina,44,62,106
2020-08,Argentina,39,51,90
2020-09,Argentina,55,77,132
2020-10,Argentina,75,115,190
2020-11,Argentina,153,220,373
2020-12,Argentina,718,488,91
2021-01,Argentina,168,112,280
2021-02,Argentina,141,1019,226
2021-03,Argentina,128,960,211
2021-04,Argentina,740,673,135
2021-05,Argentina,617,555,123
2021-06,Argentina,370,352,722
2021-07,Argentina,148,133,281
2021-08,Argentina,408,291,699
2021-09,Argentina,354,312,666
2021-10,Argentina,818,657,33
2021-11,Argentina,91,81,173
2021-12,Argentina,152,128,281
2022-01,Argentina,197,268,465
2022-02,Argentina,265,244,509
2022-03,Argentina,249,218,467
2022-04,Argentina,280,285,565
2022-05,Argentina,212,261,473
2022-06,Argentina,393,368,762
2022-07,Argentina,412,405,818
2022-08,Argentina,417,404,822
2022-09,Argentina,492,493,986
2022-10,Argentina,553,538,1092
2022-11,Argentina,619,539,1159
2022-12,Argentina,752,575,1328
2023-01,Argentina,669,576,1245
2023-02,Argentina,441,373,814
2023-03,Argentina,323,254,578
2023-04,Argentina,238,258,496
2023-05,Argentina,213,207,421
2023-06,Argentina,249,191,440
2023-07,Argentina,306,275,581
2023-08,Argentina,280,260,541
2023-09,Argentina,252,239,492
2023-10,Argentina,361,308,669
2023-11,Argentina,418,319,738
2023-12,Argentina,425,292,717
2024-01,Argentina,389,339,729
2024-02,Argentina,361,262,624
2024-03,Argentina,480,414,895
2024-04,Argentina,270,236,507
2024-05,Argentina,291,269,560
2024-06,Argentina,635,604,239
2024-07,Argentina,524,540,1064
2024-08,Argentina,706,689,285
2024-09,Argentina,840,881,349
2024-10,Argentina,201,1076,363
2024-11,Argentina,1074,1020,458
2024-12,Argentina,1066,853,478
2025-01,Argentina,775,760,460
2025-02,Argentina,841,729,1570
2025-03,Argentina,988,815,558
2025-04,Argentina,943,921,680
2025-05,Argentina,648,661,1309
2025-06,Argentina,999,950,575
2025-07,Argentina,656,637,1293
2025-08,Argentina,971,964,555
2025-09,Argentina,986,917,593
2025-10,Argentina,422,1376,825
2025-11,Argentina,1234,1190,606
2025-12,Argentina,1328,1140,728
