Fecha,País destino,Femenino,Masculino,Total
2012-03,Armenia,1,1,2
2012-05,Armenia,1,0,1
2012-08,Armenia,1,0,1
2012-10,Armenia,1,0,1
2012-11,Armenia,0,2,2
2013-03,Armenia,1,0,1
2013-04,Armenia,1,0,1
2013-10,Armenia,0,1,1
2013-11,Armenia,0,1,1
2014-06,Armenia,1,0,1
2014-07,Armenia,0,1,1
2014-10,Armenia,1,1,2
2014-12,Armenia,1,0,1
2015-04,Armenia,1,2,3
2015-05,Armenia,0,1,1
2015-07,Armenia,0,1,1
2015-08,Armenia,0,1,1
2015-10,Armenia,0,1,1
2015-11,Armenia,0,1,1
2016-02,Armenia,0,1,1
2016-04,Armenia,1,0,1
2016-05,Armenia,0,2,2
2016-06,Armenia,0,1,1
2016-08,Armenia,1,2,3
2016-09,Armenia,0,1,1
2016-12,Armenia,2,0,2
2017-01,Armenia,0,1,1
2017-03,Armenia,0,1,1
2017-04,Armenia,0,2,2
2017-07,Armenia,1,1,2
2017-08,Armenia,0,1,1
2017-09,Armenia,1,0,1
2017-12,Armenia,0,1,1
2018-04,Armenia,1,0,1
2018-06,Armenia,0,1,1
2018-07,Armenia,0,1,1
2018-08,Armenia,2,0,2
2018-09,Armenia,0,2,2
2018-10,Armenia,3,2,5
2018-11,Armenia,1,1,2
2018-12,Armenia,1,1,2
2019-01,Armenia,0,1,1
2019-04,Armenia,1,0,1
2019-07,Armenia,0,1,1
2019-08,Armenia,2,1,3
2019-09,Armenia,0,2,2
2019-10,Armenia,1,3,4
2020-01,Armenia,1,1,2
2020-02,Armenia,1,3,4
2020-08,Armenia,1,0,1
2020-09,Armenia,1,0,1
2020-10,Armenia,0,1,1
2021-01,Armenia,2,3,5
2021-02,Armenia,1,0,1
2021-04,Armenia,1,1,2
2021-05,Armenia,0,3,3
2021-06,Armenia,2,1,3
2021-08,Armenia,1,0,1
2022-01,Armenia,2,5,7
2022-02,Armenia,3,0,3
2022-03,Armenia,3,1,4
2022-04,Armenia,2,1,3
2022-05,Armenia,1,2,3
2022-06,Armenia,1,3,4
2022-07,Armenia,1,1,2
2022-09,Armenia,1,1,2
2022-10,Armenia,3,4,7
2022-11,Armenia,1,2,3
2022-12,Armenia,1,1,2
2023-01,Armenia,2,4,6
2023-02,Armenia,1,2,3
2023-03,Armenia,3,2,5
2023-04,Armenia,4,1,5
2023-06,Armenia,1,1,2
2023-07,Armenia,1,4,5
2023-08,Armenia,4,2,6
2023-10,Armenia,2,1,3
2023-11,Armenia,1,0,1
2023-12,Armenia,0,2,2
2024-01,Armenia,2,5,7
2024-02,Armenia,4,1,5
2024-03,Armenia,1,0,1
2024-04,Armenia,3,2,5
2024-05,Armenia,3,2,5
2024-06,Armenia,3,1,4
2024-07,Armenia,3,3,6
2024-08,Armenia,1,3,4
2024-09,Armenia,2,3,5
2024-10,Armenia,0,2,2
2024-11,Armenia,0,3,3
2024-12,Armenia,4,0,4
2025-01,Armenia,0,1,1
2025-02,Armenia,2,1,3
2025-03,Armenia,2,0,2
2025-04,Armenia,0,2,2
2025-05,Armenia,1,1,2
2025-06,Armenia,2,2,4
2025-07,Armenia,0,1,1
2025-08,Armenia,0,2,2
2025-09,Armenia,1,0,1
2025-10,Armenia,0,1,1
2025-11,Armenia,0,2,2
2025-12,Armenia,0,1,1
