Fecha,País destino,Femenino,Masculino,Total
2012-01,Bahrein,1,0,1
2012-02,Bahrein,3,0,3
2012-04,Bahrein,1,4,5
2012-05,Bahrein,6,4,10
2012-06,Bahrein,3,4,7
2012-07,Bahrein,1,4,5
2012-08,Bahrein,8,8,16
2012-09,Bahrein,4,0,4
2012-10,Bahrein,5,4,9
2012-11,Bahrein,3,6,9
2012-12,Bahrein,5,3,8
2013-01,Bahrein,3,5,8
2013-02,Bahrein,3,4,7
2013-03,Bahrein,1,2,3
2013-04,Bahrein,2,1,3
2013-05,Bahrein,2,4,6
2013-06,Bahrein,2,3,5
2013-07,Bahrein,4,5,9
2013-08,Bahrein,4,2,6
2013-09,Bahrein,1,5,6
2013-10,Bahrein,2,2,4
2013-11,Bahrein,4,3,7
2013-12,Bahrein,4,3,7
2014-01,Bahrein,4,6,10
2014-02,Bahrein,1,4,5
2014-03,Bahrein,1,2,3
2014-04,Bahrein,0,1,1
2014-05,Bahrein,0,1,1
2014-07,Bahrein,1,2,3
2014-08,Bahrein,6,6,12
2014-09,Bahrein,1,1,2
2014-10,Bahrein,8,2,10
2014-11,Bahrein,1,1,2
2014-12,Bahrein,4,1,5
2015-01,Bahrein,7,4,11
2015-02,Bahrein,4,3,7
2015-03,Bahrein,1,2,3
2015-04,Bahrein,2,4,6
2015-05,Bahrein,0,2,2
2015-06,Bahrein,0,5,5
2015-07,Bahrein,6,7,13
2015-08,Bahrein,3,6,9
2015-09,Bahrein,2,2,4
2015-10,Bahrein,3,4,7
2015-11,Bahrein,2,3,5
2015-12,Bahrein,1,2,3
2016-01,Bahrein,7,5,12
2016-02,Bahrein,1,2,3
2016-03,Bahrein,1,3,4
2016-04,Bahrein,1,5,6
2016-05,Bahrein,2,4,6
2016-06,Bahrein,4,3,7
2016-07,Bahrein,4,3,7
2016-08,Bahrein,2,5,7
2016-09,Bahrein,3,1,4
2016-10,Bahrein,0,2,2
2016-11,Bahrein,2,1,3
2016-12,Bahrein,5,5,10
2017-01,Bahrein,9,7,16
2017-02,Bahrein,2,2,4
2017-03,Bahrein,3,0,3
2017-04,Bahrein,4,2,6
2017-05,Bahrein,5,4,9
2017-06,Bahrein,3,4,7
2017-07,Bahrein,5,9,14
2017-08,Bahrein,2,1,3
2017-09,Bahrein,3,1,4
2017-10,Bahrein,0,1,1
2017-11,Bahrein,4,8,12
2017-12,Bahrein,6,4,10
2018-01,Bahrein,5,7,12
2018-02,Bahrein,9,4,13
2018-03,Bahrein,3,7,10
2018-04,Bahrein,4,5,9
2018-05,Bahrein,4,4,8
2018-06,Bahrein,13,7,20
2018-07,Bahrein,10,6,16
2018-08,Bahrein,5,10,15
2018-09,Bahrein,3,6,9
2018-10,Bahrein,1,2,3
2018-11,Bahrein,3,1,4
2018-12,Bahrein,3,8,11
2019-01,Bahrein,9,6,15
2019-02,Bahrein,3,2,5
2019-03,Bahrein,6,4,10
2019-04,Bahrein,3,4,7
2019-05,Bahrein,6,4,10
2019-06,Bahrein,12,4,16
2019-07,Bahrein,3,5,8
2019-08,Bahrein,3,5,8
2019-09,Bahrein,9,3,12
2019-10,Bahrein,4,3,7
2019-11,Bahrein,5,11,16
2019-12,Bahrein,2,1,3
2020-01,Bahrein,15,8,23
2020-02,Bahrein,4,5,9
2020-03,Bahrein,0,1,1
2020-09,Bahrein,0,1,1
2020-10,Bahrein,6,2,8
2020-11,Bahrein,1,3,4
2021-01,Bahrein,5,11,16
2021-02,Bahrein,5,1,6
2021-03,Bahrein,4,9,13
2021-04,Bahrein,3,10,13
2021-05,Bahrein,10,3,13
2021-06,Bahrein,1,6,7
2021-07,Bahrein,1,6,7
2021-08,Bahrein,7,15,22
2021-09,Bahrein,7,5,12
2021-10,Bahrein,8,10,18
2021-11,Bahrein,10,8,18
2021-12,Bahrein,16,24,40
2022-01,Bahrein,12,10,22
2022-02,Bahrein,8,6,14
2022-03,Bahrein,4,7,11
2022-04,Bahrein,18,4,22
2022-05,Bahrein,11,10,21
2022-06,Bahrein,10,12,22
2022-07,Bahrein,11,10,21
2022-08,Bahrein,7,9,16
2022-09,Bahrein,9,5,14
2022-10,Bahrein,2,11,13
2022-11,Bahrein,11,6,17
2022-12,Bahrein,4,7,11
2023-01,Bahrein,10,7,17
2023-02,Bahrein,9,7,16
2023-03,Bahrein,5,3,8
2023-04,Bahrein,5,4,9
2023-05,Bahrein,7,8,15
2023-06,Bahrein,5,6,11
2023-07,Bahrein,10,3,13
2023-08,Bahrein,10,6,16
2023-09,Bahrein,7,3,10
2023-10,Bahrein,3,3,6
2023-11,Bahrein,2,9,11
2023-12,Bahrein,8,4,12
2024-01,Bahrein,9,5,14
2024-02,Bahrein,1,4,5
2024-03,Bahrein,4,4,8
2024-04,Bahrein,15,8,23
2024-05,Bahrein,10,2,12
2024-06,Bahrein,4,1,5
2024-07,Bahrein,2,6,8
2024-08,Bahrein,6,5,11
2024-09,Bahrein,4,6,10
2024-10,Bahrein,1,1,2
2024-11,Bahrein,6,3,9
2024-12,Bahrein,8,2,10
2025-01,Bahrein,9,13,22
2025-02,Bahrein,4,1,5
2025-03,Bahrein,2,0,2
2025-04,Bahrein,11,5,16
2025-05,Bahrein,5,3,8
2025-06,Bahrein,1,0,1
2025-07,Bahrein,1,1,2
2025-08,Bahrein,3,3,6
2025-09,Bahrein,3,1,4
2025-10,Bahrein,5,4,9
2025-11,Bahrein,6,4,10
2025-12,Bahrein,0,1,1
