Fecha,País destino,Femenino,Masculino,Total
2012-01,Belarús,24,18,42
2012-02,Belarús,3,6,9
2012-03,Belarús,7,5,12
2012-04,Belarús,5,9,14
2012-05,Belarús,6,8,14
2012-06,Belarús,12,14,26
2012-07,Belarús,9,4,13
2012-08,Belarús,16,13,29
2012-09,Belarús,7,4,11
2012-10,Belarús,7,4,11
2012-11,Belarús,8,5,13
2012-12,Belarús,5,13,18
2013-01,Belarús,12,14,26
2013-02,Belarús,7,6,13
2013-03,Belarús,10,2,12
2013-04,Belarús,4,6,10
2013-05,Belarús,10,1,11
2013-06,Belarús,11,9,20
2013-07,Belarús,7,3,10
2013-08,Belarús,8,9,17
2013-09,Belarús,5,1,6
2013-10,Belarús,6,8,14
2013-11,Belarús,18,15,33
2014-01,Belarús,7,5,12
2014-02,Belarús,7,5,12
2014-03,Belarús,3,0,3
2014-04,Belarús,5,5,10
2014-05,Belarús,0,4,4
2014-06,Belarús,4,2,6
2014-07,Belarús,3,3,6
2014-08,Belarús,1,3,4
2014-09,Belarús,3,3,6
2014-11,Belarús,6,6,12
2014-12,Belarús,16,8,24
2015-01,Belarús,9,7,16
2015-02,Belarús,2,0,2
2015-03,Belarús,0,1,1
2015-04,Belarús,2,3,5
2015-05,Belarús,1,1,2
2015-06,Belarús,4,3,7
2015-07,Belarús,1,5,6
2015-10,Belarús,0,2,2
2015-11,Belarús,0,2,2
2016-01,Belarús,1,1,2
2016-02,Belarús,1,0,1
2016-03,Belarús,0,1,1
2016-04,Belarús,1,0,1
2016-06,Belarús,2,1,3
2016-08,Belarús,0,1,1
2016-10,Belarús,0,1,1
2016-11,Belarús,0,2,2
2016-12,Belarús,1,2,3
2017-01,Belarús,0,3,3
2017-03,Belarús,4,0,4
2017-06,Belarús,1,0,1
2017-07,Belarús,1,2,3
2017-08,Belarús,0,2,2
2017-09,Belarús,1,0,1
2017-10,Belarús,1,1,2
2017-11,Belarús,1,1,2
2017-12,Belarús,0,1,1
2018-01,Belarús,0,1,1
2018-02,Belarús,1,1,2
2018-03,Belarús,1,1,2
2018-06,Belarús,0,1,1
2018-07,Belarús,13,4,17
2018-08,Belarús,0,1,1
2018-09,Belarús,0,2,2
2018-10,Belarús,2,2,4
2018-11,Belarús,0,1,1
2018-12,Belarús,1,2,3
2019-02,Belarús,0,2,2
2019-03,Belarús,0,1,1
2019-05,Belarús,1,1,2
2019-06,Belarús,3,1,4
2019-07,Belarús,1,0,1
2019-08,Belarús,4,0,4
2019-09,Belarús,2,0,2
2019-10,Belarús,2,4,6
2019-11,Belarús,1,1,2
2019-12,Belarús,2,0,2
2020-01,Belarús,0,1,1
2020-02,Belarús,0,2,2
2020-03,Belarús,1,2,3
2020-11,Belarús,0,1,1
2020-12,Belarús,0,1,1
2021-05,Belarús,0,2,2
2021-06,Belarús,1,1,2
2021-07,Belarús,0,1,1
2021-08,Belarús,1,0,1
2021-09,Belarús,2,3,5
2021-10,Belarús,1,3,4
2021-11,Belarús,0,1,1
2021-12,Belarús,0,2,2
2022-03,Belarús,2,1,3
2022-06,Belarús,1,0,1
2022-09,Belarús,0,1,1
2022-10,Belarús,1,0,1
2022-11,Belarús,0,1,1
2022-12,Belarús,1,0,1
2023-01,Belarús,1,2,3
2023-03,Belarús,1,0,1
2023-07,Belarús,1,1,2
2023-08,Belarús,2,0,2
2023-09,Belarús,1,0,1
2023-11,Belarús,1,0,1
2023-12,Belarús,0,1,1
2024-04,Belarús,0,2,2
2024-05,Belarús,0,1,1
2024-07,Belarús,1,0,1
2024-09,Belarús,0,1,1
2025-01,Belarús,0,1,1
2025-06,Belarús,0,1,1
2025-07,Belarús,1,0,1
2025-11,Belarús,0,1,1
