Fecha,País destino,Femenino,Masculino,Total
2012-01,Bermuda,1,1,2
2012-02,Bermuda,1,0,1
2012-03,Bermuda,1,0,1
2012-04,Bermuda,2,0,2
2012-05,Bermuda,2,1,3
2012-06,Bermuda,1,1,2
2012-07,Bermuda,4,1,5
2012-08,Bermuda,2,1,3
2012-09,Bermuda,1,1,2
2012-10,Bermuda,3,2,5
2012-11,Bermuda,1,1,2
2012-12,Bermuda,6,2,8
2013-02,Bermuda,1,0,1
2013-04,Bermuda,1,1,2
2013-05,Bermuda,2,1,3
2013-06,Bermuda,2,1,3
2013-07,Bermuda,1,4,5
2013-08,Bermuda,3,0,3
2013-09,Bermuda,3,3,6
2013-10,Bermuda,4,1,5
2013-11,Bermuda,1,4,5
2014-01,Bermuda,2,2,4
2014-03,Bermuda,3,3,6
2014-04,Bermuda,4,1,5
2014-06,Bermuda,6,1,7
2014-07,Bermuda,6,2,8
2014-08,Bermuda,1,0,1
2014-09,Bermuda,1,2,3
2014-10,Bermuda,2,0,2
2014-11,Bermuda,1,1,2
2014-12,Bermuda,2,1,3
2015-01,Bermuda,2,1,3
2015-02,Bermuda,3,0,3
2015-03,Bermuda,1,1,2
2015-04,Bermuda,4,1,5
2015-05,Bermuda,1,2,3
2015-06,Bermuda,5,2,7
2015-07,Bermuda,2,1,3
2015-08,Bermuda,4,0,4
2015-09,Bermuda,2,1,3
2015-10,Bermuda,1,0,1
2015-11,Bermuda,1,0,1
2015-12,Bermuda,8,7,15
2016-01,Bermuda,4,0,4
2016-02,Bermuda,1,1,2
2016-04,Bermuda,1,1,2
2016-05,Bermuda,1,1,2
2016-06,Bermuda,1,1,2
2016-07,Bermuda,3,0,3
2016-08,Bermuda,4,0,4
2016-09,Bermuda,4,1,5
2016-10,Bermuda,1,0,1
2016-11,Bermuda,0,1,1
2016-12,Bermuda,3,4,7
2017-01,Bermuda,2,3,5
2017-02,Bermuda,3,0,3
2017-03,Bermuda,2,2,4
2017-04,Bermuda,2,0,2
2017-05,Bermuda,7,3,10
2017-06,Bermuda,4,4,8
2017-07,Bermuda,15,128,143
2017-08,Bermuda,2,5,7
2017-09,Bermuda,5,0,5
2017-12,Bermuda,2,2,4
2018-01,Bermuda,5,2,7
2018-02,Bermuda,2,4,6
2018-03,Bermuda,4,2,6
2018-04,Bermuda,4,7,11
2018-05,Bermuda,1,1,2
2018-06,Bermuda,1,1,2
2018-07,Bermuda,3,2,5
2018-08,Bermuda,2,2,4
2018-09,Bermuda,4,3,7
2018-10,Bermuda,2,0,2
2018-11,Bermuda,1,1,2
2018-12,Bermuda,1,2,3
2019-01,Bermuda,4,3,7
2019-02,Bermuda,3,1,4
2019-03,Bermuda,3,4,7
2019-04,Bermuda,1,0,1
2019-05,Bermuda,4,1,5
2019-06,Bermuda,6,12,18
2019-07,Bermuda,8,11,19
2019-08,Bermuda,3,1,4
2019-09,Bermuda,0,2,2
2019-10,Bermuda,3,0,3
2019-11,Bermuda,0,2,2
2019-12,Bermuda,1,2,3
2020-01,Bermuda,3,2,5
2020-02,Bermuda,0,4,4
2020-03,Bermuda,1,2,3
2020-04,Bermuda,1,0,1
2020-07,Bermuda,0,2,2
2020-10,Bermuda,1,0,1
2020-11,Bermuda,1,0,1
2020-12,Bermuda,4,8,12
2021-01,Bermuda,4,3,7
2021-02,Bermuda,1,0,1
2021-03,Bermuda,1,1,2
2021-04,Bermuda,0,1,1
2021-05,Bermuda,2,3,5
2021-06,Bermuda,8,6,14
2021-07,Bermuda,5,3,8
2021-08,Bermuda,3,5,8
2021-09,Bermuda,2,2,4
2021-10,Bermuda,1,4,5
2021-11,Bermuda,1,1,2
2021-12,Bermuda,3,1,4
2022-01,Bermuda,9,8,17
2022-02,Bermuda,1,1,2
2022-03,Bermuda,2,2,4
2022-04,Bermuda,0,2,2
2022-05,Bermuda,4,3,7
2022-06,Bermuda,4,2,6
2022-07,Bermuda,7,3,10
2022-08,Bermuda,2,0,2
2022-09,Bermuda,2,2,4
2022-10,Bermuda,0,4,4
2022-11,Bermuda,2,1,3
2022-12,Bermuda,0,4,4
2023-01,Bermuda,3,4,7
2023-02,Bermuda,1,1,2
2023-03,Bermuda,0,3,3
2023-04,Bermuda,2,3,5
2023-05,Bermuda,3,6,9
2023-06,Bermuda,5,0,5
2023-07,Bermuda,1,2,3
2023-09,Bermuda,0,2,2
2023-10,Bermuda,1,0,1
2023-12,Bermuda,2,0,2
2024-01,Bermuda,4,4,8
2024-02,Bermuda,2,3,5
2024-03,Bermuda,0,1,1
2024-04,Bermuda,0,2,2
2024-05,Bermuda,2,2,4
2024-06,Bermuda,1,1,2
2024-07,Bermuda,1,0,1
2024-08,Bermuda,2,2,4
2024-10,Bermuda,2,2,4
2024-11,Bermuda,7,3,10
2024-12,Bermuda,2,2,4
2025-01,Bermuda,4,2,6
2025-02,Bermuda,2,0,2
2025-03,Bermuda,0,3,3
2025-04,Bermuda,4,0,4
2025-05,Bermuda,1,4,5
2025-06,Bermuda,1,0,1
2025-07,Bermuda,6,3,9
2025-08,Bermuda,4,1,5
2025-09,Bermuda,4,2,6
2025-10,Bermuda,1,2,3
2025-11,Bermuda,1,6,7
2025-12,Bermuda,1,4,5
