Fecha,País destino,Femenino,Masculino,Total
2012-01,Bolivia (Estado Plurinacional De),249,437,686
2012-02,Bolivia (Estado Plurinacional De),218,372,590
2012-03,Bolivia (Estado Plurinacional De),272,348,620
2012-04,Bolivia (Estado Plurinacional De),192,389,581
2012-05,Bolivia (Estado Plurinacional De),173,283,456
2012-06,Bolivia (Estado Plurinacional De),202,300,502
2012-07,Bolivia (Estado Plurinacional De),220,349,569
2012-08,Bolivia (Estado Plurinacional De),204,321,525
2012-09,Bolivia (Estado Plurinacional De),240,405,645
2012-10,Bolivia (Estado Plurinacional De),268,421,689
2012-11,Bolivia (Estado Plurinacional De),214,358,572
2012-12,Bolivia (Estado Plurinacional De),310,342,652
2013-01,Bolivia (Estado Plurinacional De),346,541,887
2013-02,Bolivia (Estado Plurinacional De),256,374,630
2013-03,Bolivia (Estado Plurinacional De),278,444,722
2013-04,Bolivia (Estado Plurinacional De),226,413,639
2013-05,Bolivia (Estado Plurinacional De),258,397,655
2013-06,Bolivia (Estado Plurinacional De),293,423,716
2013-07,Bolivia (Estado Plurinacional De),329,454,783
2013-08,Bolivia (Estado Plurinacional De),280,489,769
2013-09,Bolivia (Estado Plurinacional De),278,418,696
2013-10,Bolivia (Estado Plurinacional De),361,483,844
2013-11,Bolivia (Estado Plurinacional De),327,471,798
2013-12,Bolivia (Estado Plurinacional De),369,428,797
2014-01,Bolivia (Estado Plurinacional De),415,656,1071
2014-02,Bolivia (Estado Plurinacional De),288,429,717
2014-03,Bolivia (Estado Plurinacional De),263,449,712
2014-04,Bolivia (Estado Plurinacional De),319,464,783
2014-05,Bolivia (Estado Plurinacional De),244,443,687
2014-06,Bolivia (Estado Plurinacional De),333,542,875
2014-07,Bolivia (Estado Plurinacional De),307,494,801
2014-08,Bolivia (Estado Plurinacional De),269,464,733
2014-09,Bolivia (Estado Plurinacional De),300,474,774
2014-10,Bolivia (Estado Plurinacional De),270,497,767
2014-11,Bolivia (Estado Plurinacional De),286,522,808
2014-12,Bolivia (Estado Plurinacional De),350,427,777
2015-01,Bolivia (Estado Plurinacional De),386,701,1087
2015-02,Bolivia (Estado Plurinacional De),306,529,835
2015-03,Bolivia (Estado Plurinacional De),348,538,886
2015-04,Bolivia (Estado Plurinacional De),334,630,964
2015-05,Bolivia (Estado Plurinacional De),306,548,854
2015-06,Bolivia (Estado Plurinacional De),336,517,853
2015-07,Bolivia (Estado Plurinacional De),317,550,867
2015-08,Bolivia (Estado Plurinacional De),374,581,955
2015-09,Bolivia (Estado Plurinacional De),340,604,944
2015-10,Bolivia (Estado Plurinacional De),371,664,1035
2015-11,Bolivia (Estado Plurinacional De),379,590,969
2015-12,Bolivia (Estado Plurinacional De),396,490,886
2016-01,Bolivia (Estado Plurinacional De),498,801,250
2016-02,Bolivia (Estado Plurinacional De),360,709,1069
2016-03,Bolivia (Estado Plurinacional De),393,808,198
2016-04,Bolivia (Estado Plurinacional De),285,597,882
2016-05,Bolivia (Estado Plurinacional De),308,574,882
2016-06,Bolivia (Estado Plurinacional De),338,562,900
2016-07,Bolivia (Estado Plurinacional De),357,539,896
2016-08,Bolivia (Estado Plurinacional De),364,690,1054
2016-09,Bolivia (Estado Plurinacional De),348,593,941
2016-10,Bolivia (Estado Plurinacional De),384,588,972
2016-11,Bolivia (Estado Plurinacional De),333,612,945
2016-12,Bolivia (Estado Plurinacional De),367,437,804
2017-01,Bolivia (Estado Plurinacional De),474,856,243
2017-02,Bolivia (Estado Plurinacional De),379,647,1026
2017-03,Bolivia (Estado Plurinacional De),333,683,1016
2017-04,Bolivia (Estado Plurinacional De),462,661,1123
2017-05,Bolivia (Estado Plurinacional De),314,615,929
2017-06,Bolivia (Estado Plurinacional De),329,568,897
2017-07,Bolivia (Estado Plurinacional De),341,535,876
2017-08,Bolivia (Estado Plurinacional De),355,555,910
2017-09,Bolivia (Estado Plurinacional De),285,455,740
2017-10,Bolivia (Estado Plurinacional De),176,312,488
2017-11,Bolivia (Estado Plurinacional De),351,532,883
2017-12,Bolivia (Estado Plurinacional De),509,593,1102
2018-01,Bolivia (Estado Plurinacional De),532,811,209
2018-02,Bolivia (Estado Plurinacional De),383,648,1031
2018-03,Bolivia (Estado Plurinacional De),445,698,1143
2018-04,Bolivia (Estado Plurinacional De),357,667,1024
2018-05,Bolivia (Estado Plurinacional De),524,860,187
2018-06,Bolivia (Estado Plurinacional De),389,633,1022
2018-07,Bolivia (Estado Plurinacional De),409,652,1061
2018-08,Bolivia (Estado Plurinacional De),340,573,913
2018-09,Bolivia (Estado Plurinacional De),370,566,936
2018-10,Bolivia (Estado Plurinacional De),431,619,1050
2018-11,Bolivia (Estado Plurinacional De),401,609,1010
2018-12,Bolivia (Estado Plurinacional De),615,612,87
2019-01,Bolivia (Estado Plurinacional De),691,130,198
2019-02,Bolivia (Estado Plurinacional De),511,846,143
2019-03,Bolivia (Estado Plurinacional De),440,759,149
2019-04,Bolivia (Estado Plurinacional De),491,786,168
2019-05,Bolivia (Estado Plurinacional De),443,767,191
2019-06,Bolivia (Estado Plurinacional De),435,691,1126
2019-07,Bolivia (Estado Plurinacional De),398,739,130
2019-08,Bolivia (Estado Plurinacional De),450,713,138
2019-09,Bolivia (Estado Plurinacional De),464,747,128
2019-10,Bolivia (Estado Plurinacional De),359,573,932
2019-11,Bolivia (Estado Plurinacional De),350,439,789
2019-12,Bolivia (Estado Plurinacional De),420,505,925
2020-01,Bolivia (Estado Plurinacional De),662,1017,122
2020-02,Bolivia (Estado Plurinacional De),566,942,191
2020-03,Bolivia (Estado Plurinacional De),255,400,655
2020-04,Bolivia (Estado Plurinacional De),0,11,11
2020-05,Bolivia (Estado Plurinacional De),7,28,35
2020-06,Bolivia (Estado Plurinacional De),7,29,36
2020-07,Bolivia (Estado Plurinacional De),9,12,21
2020-08,Bolivia (Estado Plurinacional De),6,24,30
2020-09,Bolivia (Estado Plurinacional De),3,13,16
2020-10,Bolivia (Estado Plurinacional De),88,223,311
2020-11,Bolivia (Estado Plurinacional De),176,336,512
2020-12,Bolivia (Estado Plurinacional De),239,276,515
2021-01,Bolivia (Estado Plurinacional De),280,537,817
2021-02,Bolivia (Estado Plurinacional De),267,541,808
2021-03,Bolivia (Estado Plurinacional De),150,271,421
2021-04,Bolivia (Estado Plurinacional De),133,343,476
2021-05,Bolivia (Estado Plurinacional De),121,271,392
2021-06,Bolivia (Estado Plurinacional De),215,376,591
2021-07,Bolivia (Estado Plurinacional De),255,362,617
2021-08,Bolivia (Estado Plurinacional De),291,515,806
2021-09,Bolivia (Estado Plurinacional De),261,440,701
2021-10,Bolivia (Estado Plurinacional De),295,512,807
2021-11,Bolivia (Estado Plurinacional De),289,493,782
2021-12,Bolivia (Estado Plurinacional De),321,378,699
2022-01,Bolivia (Estado Plurinacional De),454,764,100
2022-02,Bolivia (Estado Plurinacional De),424,710,112
2022-03,Bolivia (Estado Plurinacional De),450,709,94
2022-04,Bolivia (Estado Plurinacional De),580,878,80
2022-05,Bolivia (Estado Plurinacional De),377,647,1024
2022-06,Bolivia (Estado Plurinacional De),444,616,1060
2022-07,Bolivia (Estado Plurinacional De),416,634,1050
2022-08,Bolivia (Estado Plurinacional De),392,631,1023
2022-09,Bolivia (Estado Plurinacional De),389,623,1012
2022-10,Bolivia (Estado Plurinacional De),490,692,93
2022-11,Bolivia (Estado Plurinacional De),374,569,943
2022-12,Bolivia (Estado Plurinacional De),491,552,1043
2023-01,Bolivia (Estado Plurinacional De),567,879,118
2023-02,Bolivia (Estado Plurinacional De),560,788,125
2023-03,Bolivia (Estado Plurinacional De),646,995,110
2023-04,Bolivia (Estado Plurinacional De),511,724,44
2023-05,Bolivia (Estado Plurinacional De),436,733,71
2023-06,Bolivia (Estado Plurinacional De),447,660,65
2023-07,Bolivia (Estado Plurinacional De),373,559,932
2023-08,Bolivia (Estado Plurinacional De),548,769,43
2023-09,Bolivia (Estado Plurinacional De),483,721,63
2023-10,Bolivia (Estado Plurinacional De),491,752,42
2023-11,Bolivia (Estado Plurinacional De),535,734,41
2023-12,Bolivia (Estado Plurinacional De),563,570,39
2024-01,Bolivia (Estado Plurinacional De),699,982,84
2024-02,Bolivia (Estado Plurinacional De),732,917,101
2024-03,Bolivia (Estado Plurinacional De),29,1048,80
2024-04,Bolivia (Estado Plurinacional De),773,38,57
2024-05,Bolivia (Estado Plurinacional De),542,737,24
2024-06,Bolivia (Estado Plurinacional De),661,839,52
2024-07,Bolivia (Estado Plurinacional De),495,672,44
2024-08,Bolivia (Estado Plurinacional De),578,766,38
2024-09,Bolivia (Estado Plurinacional De),508,791,26
2024-10,Bolivia (Estado Plurinacional De),620,957,27
2024-11,Bolivia (Estado Plurinacional De),455,610,23
2024-12,Bolivia (Estado Plurinacional De),524,519,30
2025-01,Bolivia (Estado Plurinacional De),708,898,51
2025-02,Bolivia (Estado Plurinacional De),583,723,37
2025-03,Bolivia (Estado Plurinacional De),857,933,55
2025-04,Bolivia (Estado Plurinacional De),738,804,46
2025-05,Bolivia (Estado Plurinacional De),551,624,25
2025-06,Bolivia (Estado Plurinacional De),529,692,39
2025-07,Bolivia (Estado Plurinacional De),522,761,45
2025-08,Bolivia (Estado Plurinacional De),568,719,38
2025-09,Bolivia (Estado Plurinacional De),579,819,51
2025-10,Bolivia (Estado Plurinacional De),575,752,41
2025-11,Bolivia (Estado Plurinacional De),634,792,44
2025-12,Bolivia (Estado Plurinacional De),722,720,44
