Fecha,País destino,Femenino,Masculino,Total
2012-01,Brunei Darussalam,0,1,1
2012-04,Brunei Darussalam,0,1,1
2012-06,Brunei Darussalam,0,1,1
2012-08,Brunei Darussalam,0,2,2
2013-01,Brunei Darussalam,1,0,1
2013-04,Brunei Darussalam,0,1,1
2013-06,Brunei Darussalam,0,1,1
2013-08,Brunei Darussalam,3,0,3
2014-02,Brunei Darussalam,1,0,1
2014-06,Brunei Darussalam,0,3,3
2014-07,Brunei Darussalam,1,0,1
2014-08,Brunei Darussalam,1,0,1
2014-09,Brunei Darussalam,1,0,1
2014-10,Brunei Darussalam,1,1,2
2014-12,Brunei Darussalam,0,1,1
2015-07,Brunei Darussalam,0,1,1
2016-01,Brunei Darussalam,1,0,1
2017-05,Brunei Darussalam,0,1,1
2017-09,Brunei Darussalam,0,1,1
2018-01,Brunei Darussalam,1,1,2
2018-03,Brunei Darussalam,0,1,1
2018-04,Brunei Darussalam,0,1,1
2019-05,Brunei Darussalam,1,0,1
2019-06,Brunei Darussalam,1,0,1
2019-08,Brunei Darussalam,1,0,1
2020-01,Brunei Darussalam,1,1,2
2021-10,Brunei Darussalam,1,0,1
2021-12,Brunei Darussalam,0,1,1
2022-04,Brunei Darussalam,0,1,1
2022-06,Brunei Darussalam,1,0,1
2022-07,Brunei Darussalam,0,1,1
2022-10,Brunei Darussalam,0,1,1
2022-11,Brunei Darussalam,0,1,1
2023-04,Brunei Darussalam,0,1,1
2023-05,Brunei Darussalam,0,1,1
2023-08,Brunei Darussalam,0,1,1
2023-09,Brunei Darussalam,0,1,1
2024-04,Brunei Darussalam,0,2,2
2024-05,Brunei Darussalam,0,1,1
2024-08,Brunei Darussalam,1,0,1
2025-02,Brunei Darussalam,2,0,2
2025-03,Brunei Darussalam,1,1,2
2025-05,Brunei Darussalam,1,1,2
2025-07,Brunei Darussalam,1,0,1
