Fecha,País destino,Femenino,Masculino,Total
2012-01,Bulgaria,1,3,4
2012-02,Bulgaria,3,0,3
2012-04,Bulgaria,2,1,3
2012-05,Bulgaria,1,3,4
2012-06,Bulgaria,0,1,1
2012-07,Bulgaria,0,1,1
2012-08,Bulgaria,6,2,8
2012-09,Bulgaria,0,5,5
2012-10,Bulgaria,1,3,4
2012-11,Bulgaria,1,1,2
2012-12,Bulgaria,6,3,9
2013-01,Bulgaria,1,4,5
2013-02,Bulgaria,2,1,3
2013-04,Bulgaria,3,0,3
2013-05,Bulgaria,2,1,3
2013-06,Bulgaria,16,9,25
2013-07,Bulgaria,2,3,5
2013-08,Bulgaria,0,2,2
2013-09,Bulgaria,5,8,13
2013-10,Bulgaria,2,2,4
2013-11,Bulgaria,1,0,1
2013-12,Bulgaria,5,1,6
2014-01,Bulgaria,2,6,8
2014-02,Bulgaria,1,0,1
2014-03,Bulgaria,0,2,2
2014-04,Bulgaria,3,7,10
2014-05,Bulgaria,0,2,2
2014-06,Bulgaria,3,6,9
2014-07,Bulgaria,2,1,3
2014-08,Bulgaria,3,1,4
2014-09,Bulgaria,1,5,6
2014-10,Bulgaria,0,1,1
2014-11,Bulgaria,2,0,2
2014-12,Bulgaria,4,3,7
2015-01,Bulgaria,0,3,3
2015-02,Bulgaria,2,0,2
2015-03,Bulgaria,3,0,3
2015-04,Bulgaria,0,1,1
2015-05,Bulgaria,11,16,27
2015-06,Bulgaria,2,1,3
2015-07,Bulgaria,3,3,6
2015-08,Bulgaria,1,0,1
2015-09,Bulgaria,1,2,3
2015-10,Bulgaria,1,9,10
2015-12,Bulgaria,1,0,1
2016-01,Bulgaria,1,1,2
2016-02,Bulgaria,1,1,2
2016-03,Bulgaria,0,2,2
2016-04,Bulgaria,2,5,7
2016-05,Bulgaria,5,6,11
2016-06,Bulgaria,2,4,6
2016-07,Bulgaria,2,2,4
2016-08,Bulgaria,1,3,4
2016-09,Bulgaria,1,1,2
2016-10,Bulgaria,1,2,3
2016-11,Bulgaria,2,5,7
2016-12,Bulgaria,0,2,2
2017-01,Bulgaria,0,5,5
2017-02,Bulgaria,4,5,9
2017-03,Bulgaria,3,3,6
2017-04,Bulgaria,1,4,5
2017-05,Bulgaria,1,1,2
2017-06,Bulgaria,3,6,9
2017-07,Bulgaria,6,6,12
2017-08,Bulgaria,6,6,12
2017-09,Bulgaria,2,2,4
2017-11,Bulgaria,1,1,2
2017-12,Bulgaria,2,7,9
2018-01,Bulgaria,2,7,9
2018-02,Bulgaria,2,3,5
2018-03,Bulgaria,5,2,7
2018-04,Bulgaria,1,3,4
2018-05,Bulgaria,2,2,4
2018-06,Bulgaria,6,12,18
2018-07,Bulgaria,5,3,8
2018-08,Bulgaria,1,2,3
2018-09,Bulgaria,4,2,6
2018-10,Bulgaria,5,2,7
2018-11,Bulgaria,3,1,4
2018-12,Bulgaria,0,5,5
2019-01,Bulgaria,3,1,4
2019-02,Bulgaria,2,3,5
2019-03,Bulgaria,1,2,3
2019-04,Bulgaria,2,1,3
