Fecha,País destino,Femenino,Masculino,Total
2012-02,Burundi,0,1,1
2012-05,Burundi,0,1,1
2012-08,Burundi,1,0,1
2012-09,Burundi,1,1,2
2012-10,Burundi,0,1,1
2013-11,Burundi,0,1,1
2014-01,Burundi,0,1,1
2014-02,Burundi,0,1,1
2014-09,Burundi,1,0,1
2015-04,Burundi,0,1,1
2015-07,Burundi,1,0,1
2016-12,Burundi,1,0,1
2017-02,Burundi,0,1,1
2017-03,Burundi,1,0,1
2019-09,Burundi,1,0,1
2022-01,Burundi,1,0,1
2022-05,Burundi,1,1,2
2022-12,Burundi,1,0,1
2023-07,Burundi,0,1,1
2023-09,Burundi,0,1,1
2024-06,Burundi,0,1,1
2025-03,Burundi,1,0,1
