Fecha,País destino,Femenino,Masculino,Total
2012-01,Bélgica,144,98,242
2012-02,Bélgica,66,46,112
2012-03,Bélgica,73,36,109
2012-04,Bélgica,75,48,123
2012-05,Bélgica,73,40,113
2012-06,Bélgica,81,56,137
2012-07,Bélgica,129,88,217
2012-08,Bélgica,229,141,370
2012-09,Bélgica,90,67,157
2012-10,Bélgica,73,52,125
2012-11,Bélgica,53,50,103
2012-12,Bélgica,81,52,133
2013-01,Bélgica,224,129,353
2013-02,Bélgica,62,53,115
2013-03,Bélgica,84,52,136
2013-04,Bélgica,93,61,154
2013-05,Bélgica,87,50,137
2013-06,Bélgica,125,103,228
2013-07,Bélgica,141,94,235
2013-08,Bélgica,227,160,387
2013-09,Bélgica,107,96,203
2013-10,Bélgica,75,60,135
2013-11,Bélgica,67,68,135
2013-12,Bélgica,91,66,157
2014-01,Bélgica,158,103,261
2014-02,Bélgica,69,49,118
2014-03,Bélgica,92,77,169
2014-04,Bélgica,79,50,129
2014-05,Bélgica,92,60,152
2014-06,Bélgica,119,78,197
2014-07,Bélgica,136,117,253
2014-08,Bélgica,221,122,343
2014-09,Bélgica,84,87,171
2014-10,Bélgica,64,65,129
2014-11,Bélgica,69,56,125
2014-12,Bélgica,112,70,182
2015-01,Bélgica,189,126,315
2015-02,Bélgica,84,46,130
2015-03,Bélgica,96,67,163
2015-04,Bélgica,92,65,157
2015-05,Bélgica,90,68,158
2015-06,Bélgica,150,155,305
2015-07,Bélgica,191,170,361
2015-08,Bélgica,231,157,388
2015-09,Bélgica,106,89,195
2015-10,Bélgica,81,65,146
2015-11,Bélgica,51,46,97
2015-12,Bélgica,94,74,168
2016-01,Bélgica,231,138,369
2016-02,Bélgica,103,78,181
2016-03,Bélgica,98,65,163
2016-04,Bélgica,121,77,198
2016-05,Bélgica,69,72,141
2016-06,Bélgica,124,93,217
2016-07,Bélgica,178,118,296
2016-08,Bélgica,230,139,369
2016-09,Bélgica,131,90,221
2016-10,Bélgica,78,68,146
2016-11,Bélgica,78,60,138
2016-12,Bélgica,142,78,220
2017-01,Bélgica,217,139,356
2017-02,Bélgica,98,64,162
2017-03,Bélgica,136,91,227
2017-04,Bélgica,125,98,223
2017-05,Bélgica,99,78,177
2017-06,Bélgica,157,130,287
2017-07,Bélgica,193,126,319
2017-08,Bélgica,218,132,350
2017-09,Bélgica,93,58,151
2017-10,Bélgica,18,11,29
2017-11,Bélgica,77,51,128
2017-12,Bélgica,124,73,197
2018-01,Bélgica,224,154,378
2018-02,Bélgica,104,63,167
2018-03,Bélgica,107,78,185
2018-04,Bélgica,123,96,219
2018-05,Bélgica,163,101,264
2018-06,Bélgica,189,155,344
2018-07,Bélgica,204,145,349
2018-08,Bélgica,227,147,374
2018-09,Bélgica,159,139,298
2018-10,Bélgica,120,79,199
2018-11,Bélgica,123,70,193
2018-12,Bélgica,162,114,276
2019-01,Bélgica,231,170,401
2019-02,Bélgica,127,77,204
2019-03,Bélgica,123,99,222
2019-04,Bélgica,115,97,212
2019-05,Bélgica,128,77,205
2019-06,Bélgica,184,143,327
2019-07,Bélgica,292,226,518
2019-08,Bélgica,205,145,350
2019-09,Bélgica,192,143,335
2019-10,Bélgica,151,108,259
2019-11,Bélgica,110,82,192
2019-12,Bélgica,166,120,286
2020-01,Bélgica,253,159,412
2020-02,Bélgica,106,81,187
2020-03,Bélgica,76,44,120
2020-04,Bélgica,16,5,21
2020-05,Bélgica,0,27,27
2020-06,Bélgica,42,40,82
2020-07,Bélgica,6,5,11
2020-08,Bélgica,38,41,79
2020-09,Bélgica,20,19,39
2020-10,Bélgica,17,17,34
2020-11,Bélgica,22,13,35
2020-12,Bélgica,38,25,63
2021-01,Bélgica,133,92,225
2021-02,Bélgica,45,32,77
2021-03,Bélgica,44,21,65
2021-04,Bélgica,58,34,92
2021-05,Bélgica,60,36,96
2021-06,Bélgica,65,36,101
2021-07,Bélgica,108,61,169
2021-08,Bélgica,193,123,316
2021-09,Bélgica,144,127,271
2021-10,Bélgica,156,106,262
2021-11,Bélgica,184,129,313
2021-12,Bélgica,253,156,409
2022-01,Bélgica,345,238,583
2022-02,Bélgica,171,117,288
2022-03,Bélgica,197,166,363
2022-04,Bélgica,285,171,456
2022-05,Bélgica,221,197,418
2022-06,Bélgica,268,190,458
2022-07,Bélgica,374,309,683
2022-08,Bélgica,328,241,569
2022-09,Bélgica,244,182,426
2022-10,Bélgica,211,176,387
2022-11,Bélgica,167,141,308
2022-12,Bélgica,232,150,382
2023-01,Bélgica,269,208,477
2023-02,Bélgica,150,121,271
2023-03,Bélgica,204,138,342
2023-04,Bélgica,181,181,362
2023-05,Bélgica,193,133,326
2023-06,Bélgica,268,179,447
2023-07,Bélgica,244,197,441
2023-08,Bélgica,248,155,403
2023-09,Bélgica,148,119,267
2023-10,Bélgica,123,84,207
2023-11,Bélgica,145,79,224
2023-12,Bélgica,136,98,234
2024-01,Bélgica,205,145,350
2024-02,Bélgica,131,81,212
2024-03,Bélgica,156,102,258
2024-04,Bélgica,129,81,210
2024-05,Bélgica,171,100,271
2024-06,Bélgica,165,112,277
2024-07,Bélgica,163,101,264
2024-08,Bélgica,225,145,370
2024-09,Bélgica,109,80,189
2024-10,Bélgica,123,97,220
2024-11,Bélgica,101,55,156
2024-12,Bélgica,152,97,249
2025-01,Bélgica,180,117,297
2025-02,Bélgica,104,58,162
2025-03,Bélgica,116,56,172
2025-04,Bélgica,148,104,252
2025-05,Bélgica,128,66,194
2025-06,Bélgica,175,95,270
2025-07,Bélgica,193,112,305
2025-08,Bélgica,224,119,343
2025-09,Bélgica,130,80,210
2025-10,Bélgica,114,95,209
2025-11,Bélgica,98,46,144
2025-12,Bélgica,131,73,204
