Fecha,País destino,Femenino,Masculino,Total
2012-01,Chad,0,1,1
2012-02,Chad,0,1,1
2012-04,Chad,0,1,1
2012-07,Chad,1,0,1
2012-08,Chad,1,1,2
2013-01,Chad,0,1,1
2013-03,Chad,0,2,2
2013-04,Chad,0,1,1
2013-05,Chad,0,2,2
2013-07,Chad,0,2,2
2013-08,Chad,0,4,4
2013-09,Chad,0,1,1
2013-10,Chad,0,2,2
2013-11,Chad,0,1,1
2014-01,Chad,0,2,2
2014-02,Chad,0,3,3
2014-03,Chad,0,1,1
2014-04,Chad,1,5,6
2014-05,Chad,0,3,3
2014-06,Chad,0,2,2
2014-07,Chad,0,1,1
2014-08,Chad,0,1,1
2014-10,Chad,1,2,3
2014-11,Chad,0,2,2
2014-12,Chad,0,1,1
2015-01,Chad,0,5,5
2015-03,Chad,0,3,3
2015-05,Chad,0,2,2
2015-06,Chad,1,1,2
2015-07,Chad,0,2,2
2015-08,Chad,0,1,1
2015-09,Chad,2,4,6
2016-01,Chad,1,1,2
2016-02,Chad,0,2,2
2016-04,Chad,0,1,1
2016-09,Chad,1,0,1
2016-10,Chad,0,1,1
2017-01,Chad,1,0,1
2017-02,Chad,1,0,1
2017-04,Chad,1,0,1
2017-05,Chad,1,0,1
2017-11,Chad,0,1,1
2018-02,Chad,1,0,1
2018-06,Chad,1,0,1
2018-08,Chad,1,0,1
2018-09,Chad,0,2,2
2018-10,Chad,1,0,1
2019-01,Chad,2,2,4
2019-02,Chad,1,0,1
2019-03,Chad,1,0,1
2019-07,Chad,1,1,2
2019-09,Chad,0,1,1
2020-04,Chad,3,0,3
2021-08,Chad,1,0,1
2021-09,Chad,2,0,2
2021-11,Chad,1,0,1
2021-12,Chad,0,1,1
2022-01,Chad,2,1,3
2022-02,Chad,4,0,4
2022-04,Chad,1,0,1
2022-05,Chad,1,0,1
2022-06,Chad,0,1,1
2022-07,Chad,1,0,1
2022-09,Chad,1,1,2
2022-10,Chad,0,2,2
2022-11,Chad,0,1,1
2022-12,Chad,0,1,1
2023-01,Chad,0,1,1
2023-02,Chad,1,0,1
2023-05,Chad,1,2,3
2023-12,Chad,2,1,3
2024-01,Chad,2,0,2
2024-02,Chad,2,0,2
2024-07,Chad,1,0,1
2024-11,Chad,1,0,1
2025-01,Chad,1,1,2
2025-02,Chad,0,1,1
2025-05,Chad,0,1,1
2025-06,Chad,0,1,1
2025-07,Chad,1,0,1
2025-08,Chad,0,1,1
2025-09,Chad,0,1,1
2025-11,Chad,0,1,1
2025-12,Chad,1,2,3
