Fecha,País destino,Femenino,Masculino,Total
2012-01,Chile,770,580,1351
2012-02,Chile,442,316,759
2012-03,Chile,901,645,1547
2012-04,Chile,600,547,1148
2012-05,Chile,488,439,928
2012-06,Chile,563,418,982
2012-07,Chile,407,360,768
2012-08,Chile,490,439,930
2012-09,Chile,636,642,1278
2012-10,Chile,623,509,1132
2012-11,Chile,610,494,1105
2012-12,Chile,640,465,1105
2013-01,Chile,769,579,1348
2013-02,Chile,515,368,884
2013-03,Chile,868,737,1606
2013-04,Chile,622,557,1179
2013-05,Chile,627,504,1132
2013-06,Chile,588,468,1056
2013-07,Chile,507,458,965
2013-08,Chile,647,567,1214
2013-09,Chile,667,592,1259
2013-10,Chile,823,672,1496
2013-11,Chile,692,565,1258
2013-12,Chile,982,686,631
2014-01,Chile,1268,1025,883
2014-02,Chile,815,595,1410
2014-03,Chile,947,743,645
2014-04,Chile,1198,933,861
2014-05,Chile,750,652,1402
2014-06,Chile,642,507,1150
2014-07,Chile,564,498,1063
2014-08,Chile,585,514,1099
2014-09,Chile,707,623,1331
2014-10,Chile,593,585,1178
2014-11,Chile,602,536,1138
2014-12,Chile,873,655,1529
2015-01,Chile,1062,840,1902
2015-02,Chile,763,534,1297
2015-03,Chile,1034,820,1854
2015-04,Chile,591,515,1107
2015-05,Chile,518,508,1027
2015-06,Chile,1060,1733,2794
2015-07,Chile,553,465,1018
2015-08,Chile,632,524,1156
2015-09,Chile,711,634,1346
2015-10,Chile,742,687,1429
2015-11,Chile,835,756,1592
2015-12,Chile,889,571,1461
2016-01,Chile,1133,939,2072
2016-02,Chile,1313,948,2261
2016-03,Chile,1433,1088,2521
2016-04,Chile,1032,924,1956
2016-05,Chile,879,773,1652
2016-06,Chile,639,525,1164
2016-07,Chile,615,514,1130
2016-08,Chile,550,458,1009
2016-09,Chile,544,505,1049
2016-10,Chile,581,543,1124
2016-11,Chile,712,583,1295
2016-12,Chile,1031,792,1824
2017-01,Chile,1318,1108,2427
2017-02,Chile,1071,885,1956
2017-03,Chile,1327,934,2262
2017-04,Chile,1211,957,2168
2017-05,Chile,765,624,1390
2017-06,Chile,762,611,1373
2017-07,Chile,652,564,1216
2017-08,Chile,617,501,1118
2017-09,Chile,469,407,876
2017-10,Chile,518,420,938
2017-11,Chile,790,678,1468
2017-12,Chile,732,559,1292
2018-01,Chile,938,850,1789
2018-02,Chile,880,830,679
2018-03,Chile,1227,1007,2234
2018-04,Chile,1202,909,2111
2018-05,Chile,739,564,1303
2018-06,Chile,598,504,1102
2018-07,Chile,617,485,1102
2018-08,Chile,517,411,929
2018-09,Chile,570,440,1010
2018-10,Chile,643,531,1174
2018-11,Chile,836,683,1519
2018-12,Chile,1097,733,1831
2019-01,Chile,830,1646,1555
2019-02,Chile,1400,865,811
2019-03,Chile,689,1224,1195
2019-04,Chile,1501,1105,1132
2019-05,Chile,1332,1081,1129
2019-06,Chile,1202,881,1011
2019-07,Chile,869,683,1552
2019-08,Chile,1114,749,854
2019-09,Chile,854,617,1473
2019-10,Chile,752,512,1265
2019-11,Chile,701,481,1183
2019-12,Chile,1544,952,940
2020-01,Chile,727,666,1393
2020-02,Chile,627,1278,1139
2020-03,Chile,1257,886,890
2020-04,Chile,61,52,113
2020-05,Chile,73,123,196
2020-06,Chile,134,94,228
2020-07,Chile,70,68,138
2020-08,Chile,0,13,13
2020-09,Chile,6,23,29
2020-10,Chile,847,616,1463
2020-11,Chile,1422,979,917
2020-12,Chile,1117,729,498
2021-01,Chile,410,325,736
2021-02,Chile,347,1031,614
2021-03,Chile,282,1018,491
2021-04,Chile,849,676,312
2021-05,Chile,531,385,916
2021-06,Chile,908,641,216
2021-07,Chile,307,951,504
2021-08,Chile,262,204,466
2021-09,Chile,564,376,941
2021-10,Chile,1071,732,422
2021-11,Chile,205,168,373
2021-12,Chile,690,535,207
2022-01,Chile,656,529,1185
2022-02,Chile,680,527,1208
2022-03,Chile,768,700,1469
2022-04,Chile,685,549,1235
2022-05,Chile,565,488,1055
2022-06,Chile,545,421,967
2022-07,Chile,607,453,1061
2022-08,Chile,675,499,1175
2022-09,Chile,500,394,894
2022-10,Chile,427,343,771
2022-11,Chile,412,345,759
2022-12,Chile,882,579,377
2023-01,Chile,1159,896,693
2023-02,Chile,781,589,1370
2023-03,Chile,774,665,1440
2023-04,Chile,532,410,943
2023-05,Chile,478,417,895
2023-06,Chile,489,391,881
2023-07,Chile,341,329,671
2023-08,Chile,414,295,709
2023-09,Chile,354,315,670
2023-10,Chile,347,245,594
2023-11,Chile,445,328,774
2023-12,Chile,1199,829,382
2024-01,Chile,1280,986,623
2024-02,Chile,843,663,455
2024-03,Chile,1061,811,428
2024-04,Chile,740,614,323
2024-05,Chile,695,582,1278
2024-06,Chile,1095,837,389
2024-07,Chile,1181,926,447
2024-08,Chile,1134,1050,575
2024-09,Chile,1046,835,503
2024-10,Chile,310,1053,569
2024-11,Chile,1179,886,519
2024-12,Chile,304,190,495
2025-01,Chile,411,296,708
2025-02,Chile,1122,772,545
2025-03,Chile,1196,875,613
2025-04,Chile,545,415,960
2025-05,Chile,333,282,616
2025-06,Chile,647,449,1096
2025-07,Chile,498,392,891
2025-08,Chile,549,370,921
2025-09,Chile,543,418,962
2025-10,Chile,553,397,951
2025-11,Chile,484,379,864
2025-12,Chile,231,841,376
