Fecha,País destino,Femenino,Masculino,Total
2012-01,China,112,163,275
2012-02,China,222,646,868
2012-03,China,277,629,906
2012-04,China,326,921,169
2012-05,China,265,513,778
2012-06,China,280,429,709
2012-07,China,209,418,627
2012-08,China,208,385,593
2012-09,China,227,438,665
2012-10,China,296,577,873
2012-11,China,224,365,589
2012-12,China,104,199,303
2013-01,China,151,288,439
2013-02,China,208,444,652
2013-03,China,274,698,972
2013-04,China,343,901,151
2013-05,China,225,468,693
2013-06,China,345,411,756
2013-07,China,152,369,521
2013-08,China,205,474,679
2013-09,China,232,414,646
2013-10,China,323,645,968
2013-11,China,115,362,477
2013-12,China,127,143,270
2014-01,China,121,195,316
2014-02,China,224,628,852
2014-03,China,290,731,1021
2014-04,China,327,840,1167
2014-05,China,190,473,663
2014-06,China,288,400,688
2014-07,China,192,489,681
2014-08,China,236,552,788
2014-09,China,227,491,718
2014-10,China,294,720,1014
2014-11,China,120,383,503
2014-12,China,98,166,264
2015-01,China,135,388,523
2015-02,China,106,163,269
2015-03,China,336,966,202
2015-04,China,398,1041,266
2015-05,China,294,610,904
2015-06,China,261,451,712
2015-07,China,205,436,641
2015-08,China,219,446,665
2015-09,China,201,405,606
2015-10,China,202,492,694
2015-11,China,123,407,530
2015-12,China,77,129,206
2016-01,China,105,270,375
2016-02,China,160,385,545
2016-03,China,320,816,1136
2016-04,China,281,873,1154
2016-05,China,218,451,669
2016-06,China,250,404,654
2016-07,China,202,397,599
2016-08,China,237,590,827
2016-09,China,232,487,719
2016-10,China,285,696,981
2016-11,China,137,324,461
2016-12,China,88,155,243
2017-01,China,101,159,260
2017-02,China,221,681,902
2017-03,China,349,994,297
2017-04,China,328,777,1105
2017-05,China,260,575,835
2017-06,China,258,457,715
2017-07,China,168,417,585
2017-08,China,244,589,833
2017-09,China,166,413,579
2017-10,China,22,43,65
2017-11,China,78,276,354
2017-12,China,89,148,237
2018-01,China,118,311,429
2018-02,China,95,199,294
2018-03,China,339,878,1217
2018-04,China,352,1076,254
2018-05,China,252,528,780
2018-06,China,209,360,569
2018-07,China,166,413,579
2018-08,China,217,543,760
2018-09,China,203,433,636
2018-10,China,283,607,890
2018-11,China,150,363,513
2018-12,China,108,175,283
2019-01,China,106,210,316
2019-02,China,211,469,680
2019-03,China,347,1065,234
2019-04,China,288,751,1039
2019-05,China,266,519,785
2019-06,China,217,380,597
2019-07,China,239,581,820
2019-08,China,244,539,783
2019-09,China,238,447,685
2019-10,China,301,666,967
2019-11,China,160,371,531
2019-12,China,97,156,253
2020-01,China,69,107,176
2020-02,China,10,35,45
2020-03,China,32,37,69
2020-06,China,0,1,1
2020-07,China,2,7,9
2020-09,China,2,4,6
2020-10,China,10,16,26
2020-11,China,7,9,16
2020-12,China,1,6,7
2021-01,China,2,4,6
2021-02,China,6,6,12
2021-03,China,14,20,34
2021-04,China,3,7,10
2021-05,China,4,12,16
2021-06,China,4,2,6
2021-07,China,4,6,10
2021-08,China,4,4,8
2021-09,China,5,3,8
2021-10,China,5,5,10
2021-11,China,7,8,15
2021-12,China,2,6,8
2022-01,China,1,7,8
2022-02,China,3,2,5
2022-03,China,5,6,11
2022-04,China,1,2,3
2022-05,China,10,19,29
2022-06,China,3,2,5
2022-07,China,9,6,15
2022-08,China,13,17,30
2022-09,China,7,16,23
2022-10,China,8,11,19
2022-11,China,2,15,17
2022-12,China,9,6,15
2023-01,China,18,26,44
2023-02,China,43,72,115
2023-03,China,55,160,215
2023-04,China,124,359,483
2023-05,China,94,350,444
2023-06,China,128,263,391
2023-07,China,81,203,284
2023-08,China,90,229,319
2023-09,China,88,200,288
2023-10,China,120,300,420
2023-11,China,48,145,193
2023-12,China,35,63,98
2024-01,China,54,100,154
2024-02,China,113,229,342
2024-03,China,162,455,617
2024-04,China,202,576,778
2024-05,China,139,330,469
2024-06,China,176,272,448
2024-07,China,105,205,310
2024-08,China,114,190,304
2024-09,China,102,155,257
2024-10,China,101,256,357
2024-11,China,55,132,187
2024-12,China,46,54,100
2025-01,China,35,67,102
2025-02,China,88,170,258
2025-03,China,100,293,393
2025-04,China,138,338,476
2025-05,China,153,269,422
2025-06,China,141,206,347
2025-07,China,78,146,224
2025-08,China,113,190,303
2025-09,China,102,192,294
2025-10,China,144,234,378
2025-11,China,53,132,185
2025-12,China,61,49,110
