Fecha,País destino,Femenino,Masculino,Total
2012-01,Chipre,2,0,2
2012-02,Chipre,1,1,2
2012-04,Chipre,1,0,1
2012-05,Chipre,1,1,2
2012-06,Chipre,2,1,3
2012-07,Chipre,1,2,3
2012-08,Chipre,1,2,3
2012-09,Chipre,1,1,2
2012-10,Chipre,1,1,2
2012-11,Chipre,0,2,2
2012-12,Chipre,3,3,6
2013-01,Chipre,1,1,2
2013-02,Chipre,0,2,2
2013-03,Chipre,1,0,1
2013-04,Chipre,0,1,1
2013-05,Chipre,0,2,2
2013-06,Chipre,1,2,3
2013-07,Chipre,3,2,5
2013-08,Chipre,2,2,4
2013-10,Chipre,2,1,3
2013-12,Chipre,1,0,1
2014-02,Chipre,1,0,1
2014-03,Chipre,2,2,4
2014-04,Chipre,1,1,2
2014-05,Chipre,0,1,1
2014-06,Chipre,1,2,3
2014-07,Chipre,0,1,1
2014-08,Chipre,5,0,5
2014-09,Chipre,0,1,1
2014-10,Chipre,0,1,1
2014-12,Chipre,0,1,1
2015-01,Chipre,0,2,2
2015-02,Chipre,0,1,1
2015-03,Chipre,1,1,2
2015-04,Chipre,2,0,2
2015-05,Chipre,1,0,1
2015-06,Chipre,0,1,1
2015-08,Chipre,0,1,1
2015-09,Chipre,0,1,1
2015-10,Chipre,0,1,1
2015-11,Chipre,0,1,1
2015-12,Chipre,1,0,1
2016-01,Chipre,1,0,1
2016-03,Chipre,1,0,1
2016-04,Chipre,1,0,1
2016-05,Chipre,1,1,2
2016-06,Chipre,6,2,8
2016-07,Chipre,1,1,2
2016-08,Chipre,0,1,1
2016-09,Chipre,0,3,3
2016-10,Chipre,1,6,7
2016-11,Chipre,1,1,2
2016-12,Chipre,0,2,2
2017-01,Chipre,0,1,1
2017-02,Chipre,0,3,3
2017-03,Chipre,2,0,2
2017-04,Chipre,3,3,6
2017-06,Chipre,0,1,1
2017-07,Chipre,1,0,1
2017-08,Chipre,2,1,3
2017-09,Chipre,0,2,2
2017-11,Chipre,1,1,2
2017-12,Chipre,1,3,4
2018-01,Chipre,1,2,3
2018-04,Chipre,0,1,1
2018-05,Chipre,2,2,4
2018-06,Chipre,1,2,3
2018-07,Chipre,4,1,5
2018-08,Chipre,1,1,2
2018-09,Chipre,2,4,6
2018-12,Chipre,1,1,2
2019-01,Chipre,1,4,5
2019-02,Chipre,1,6,7
2019-04,Chipre,1,5,6
2019-05,Chipre,1,5,6
2019-06,Chipre,3,4,7
2019-07,Chipre,1,4,5
2019-08,Chipre,3,1,4
2019-09,Chipre,3,2,5
2019-10,Chipre,6,1,7
2019-11,Chipre,1,1,2
2019-12,Chipre,1,3,4
2020-01,Chipre,2,1,3
2020-09,Chipre,2,0,2
2020-12,Chipre,1,1,2
2021-02,Chipre,0,1,1
2021-03,Chipre,0,1,1
2021-04,Chipre,4,9,13
2021-05,Chipre,4,6,10
2021-06,Chipre,7,3,10
2021-07,Chipre,2,5,7
2021-08,Chipre,4,3,7
2021-09,Chipre,6,7,13
2021-10,Chipre,1,2,3
2021-11,Chipre,0,2,2
2021-12,Chipre,6,2,8
2022-01,Chipre,7,10,17
2022-02,Chipre,4,8,12
2022-03,Chipre,6,9,15
2022-04,Chipre,6,3,9
2022-05,Chipre,5,4,9
2022-06,Chipre,7,9,16
2022-07,Chipre,2,8,10
2022-08,Chipre,8,4,12
2022-09,Chipre,10,12,22
2022-10,Chipre,7,4,11
2022-11,Chipre,3,3,6
2022-12,Chipre,5,4,9
2023-01,Chipre,3,2,5
2023-02,Chipre,4,4,8
2023-03,Chipre,4,8,12
2023-04,Chipre,1,4,5
2023-05,Chipre,3,4,7
2023-06,Chipre,15,5,20
2023-07,Chipre,5,11,16
2023-08,Chipre,7,6,13
2023-09,Chipre,2,2,4
2023-10,Chipre,0,2,2
2023-11,Chipre,2,1,3
2023-12,Chipre,6,3,9
2024-01,Chipre,5,3,8
2024-02,Chipre,4,5,9
2024-03,Chipre,2,0,2
2024-04,Chipre,5,3,8
2024-05,Chipre,3,1,4
2024-06,Chipre,4,1,5
2024-07,Chipre,4,1,5
2024-08,Chipre,4,1,5
2024-09,Chipre,4,11,15
2024-10,Chipre,1,0,1
2024-11,Chipre,4,2,6
2024-12,Chipre,2,3,5
2025-01,Chipre,4,1,5
2025-02,Chipre,2,2,4
2025-03,Chipre,2,4,6
2025-04,Chipre,6,1,7
2025-05,Chipre,15,3,18
2025-06,Chipre,4,6,10
2025-07,Chipre,5,3,8
2025-08,Chipre,3,0,3
2025-09,Chipre,8,4,12
2025-10,Chipre,1,1,2
2025-11,Chipre,3,2,5
2025-12,Chipre,2,0,2
