Fecha,País destino,Femenino,Masculino,Total
2014-08,Colombia,113,105,218
2014-09,Colombia,319,399,718
2014-10,Colombia,568,694,1
2014-11,Colombia,541,652,1
2014-12,Colombia,617,635,1
2015-01,Colombia,550,637,1
2015-02,Colombia,467,612,2
2015-03,Colombia,499,700,2
2015-04,Colombia,415,695,1
2015-05,Colombia,430,823,1
2015-06,Colombia,315,909,1
2015-07,Colombia,382,1,1
2015-08,Colombia,84,275,359
2015-09,Colombia,43,152,195
2015-10,Colombia,39,157,196
2015-11,Colombia,40,138,178
2015-12,Colombia,52,155,207
2016-01,Colombia,28,99,127
2016-02,Colombia,35,129,164
2016-03,Colombia,62,187,249
2016-04,Colombia,56,185,241
2016-05,Colombia,58,186,244
2016-06,Colombia,73,227,300
2016-07,Colombia,76,212,288
2016-08,Colombia,54,195,249
2016-09,Colombia,89,286,375
2016-10,Colombia,93,281,374
2016-11,Colombia,82,275,357
2016-12,Colombia,102,311,413
2017-01,Colombia,103,307,410
2017-02,Colombia,99,307,406
2017-03,Colombia,128,434,562
2017-04,Colombia,177,500,677
2017-05,Colombia,176,487,663
2017-06,Colombia,200,557,757
2017-07,Colombia,173,522,695
2017-08,Colombia,354,723,1077
2017-09,Colombia,688,597,19
2017-10,Colombia,10,13,23
2017-11,Colombia,23,19,42
2017-12,Colombia,243,505,748
2018-01,Colombia,208,602,810
2018-02,Colombia,230,594,824
2018-03,Colombia,280,705,985
2018-04,Colombia,276,740,9
2018-05,Colombia,330,779,9
2018-06,Colombia,313,730,16
2018-07,Colombia,207,610,817
2018-08,Colombia,238,611,850
2018-09,Colombia,310,682,993
2018-10,Colombia,340,837,21
2018-11,Colombia,257,641,898
2018-12,Colombia,212,494,706
2019-01,Colombia,195,532,727
2019-02,Colombia,248,710,958
2019-03,Colombia,309,854,11
2019-04,Colombia,337,770,6
2019-05,Colombia,332,775,7
2019-06,Colombia,300,690,990
2019-07,Colombia,272,648,920
2019-08,Colombia,348,782,3
2019-09,Colombia,457,1,1
2019-10,Colombia,456,6,8
2019-11,Colombia,324,833,1
2019-12,Colombia,258,516,774
2020-01,Colombia,210,439,650
2020-02,Colombia,182,532,714
2020-03,Colombia,52,130,182
2020-10,Colombia,24,52,76
2020-11,Colombia,35,90,125
2020-12,Colombia,11,51,62
2021-01,Colombia,16,55,71
2021-02,Colombia,16,39,55
2021-03,Colombia,28,53,81
2021-04,Colombia,30,51,81
2021-05,Colombia,33,58,91
2021-06,Colombia,34,58,92
2021-07,Colombia,38,87,125
2021-08,Colombia,29,57,86
2021-09,Colombia,52,101,153
2021-10,Colombia,55,100,155
2021-11,Colombia,39,108,147
2021-12,Colombia,57,121,178
2022-01,Colombia,30,51,81
2022-02,Colombia,27,85,112
2022-03,Colombia,41,116,157
2022-04,Colombia,40,100,140
2022-05,Colombia,40,111,151
2022-06,Colombia,35,97,132
2022-07,Colombia,29,96,125
2022-08,Colombia,42,100,142
2022-09,Colombia,55,108,163
2022-10,Colombia,35,105,140
2022-11,Colombia,24,85,109
2022-12,Colombia,25,78,103
2023-01,Colombia,22,64,86
2023-02,Colombia,28,67,95
2023-03,Colombia,29,86,115
2023-04,Colombia,17,72,89
2023-05,Colombia,29,86,115
2023-06,Colombia,40,89,129
2023-07,Colombia,53,73,126
2023-08,Colombia,51,79,130
2023-09,Colombia,30,72,102
2023-10,Colombia,8,31,39
2024-02,Colombia,1,1,2
2024-03,Colombia,0,1,1
2024-04,Colombia,0,1,1
2024-06,Colombia,0,2,2
2025-02,Colombia,1,0,1
