Fecha,País destino,Femenino,Masculino,Total
2013-12,Comoras,1,0,1
2021-09,Comoras,3,1,4
2021-10,Comoras,0,1,1
2021-12,Comoras,1,1,2
2022-01,Comoras,0,1,1
2022-02,Comoras,2,0,2
2022-03,Comoras,2,0,2
2022-04,Comoras,0,1,1
2022-05,Comoras,2,3,5
2022-06,Comoras,1,0,1
2022-07,Comoras,1,1,2
2022-09,Comoras,2,0,2
2022-10,Comoras,3,2,5
2022-11,Comoras,1,1,2
2022-12,Comoras,1,0,1
2023-01,Comoras,1,1,2
2023-02,Comoras,1,0,1
2023-03,Comoras,0,3,3
2023-04,Comoras,0,1,1
2023-05,Comoras,1,1,2
2023-06,Comoras,1,1,2
2023-07,Comoras,1,0,1
2023-08,Comoras,0,1,1
2023-09,Comoras,1,0,1
2023-11,Comoras,0,2,2
2024-02,Comoras,1,0,1
2024-03,Comoras,1,0,1
2024-04,Comoras,1,0,1
2024-05,Comoras,1,9,10
2024-10,Comoras,0,1,1
2024-12,Comoras,1,1,2
2025-01,Comoras,1,0,1
2025-12,Comoras,2,0,2
