Fecha,País destino,Femenino,Masculino,Total
2012-01,Costa Rica,537,548,1085
2012-02,Costa Rica,754,1052,621
2012-03,Costa Rica,871,1135,537
2012-04,Costa Rica,848,980,470
2012-05,Costa Rica,773,937,496
2012-06,Costa Rica,1048,1207,479
2012-07,Costa Rica,1050,1256,666
2012-08,Costa Rica,896,1143,593
2012-09,Costa Rica,907,1208,649
2012-10,Costa Rica,940,1117,551
2012-11,Costa Rica,877,1144,581
2012-12,Costa Rica,1222,1299,708
2013-01,Costa Rica,607,558,1165
2013-02,Costa Rica,979,1164,543
2013-03,Costa Rica,995,1132,492
2013-04,Costa Rica,990,1233,525
2013-05,Costa Rica,905,1152,513
2013-06,Costa Rica,1038,260,448
2013-07,Costa Rica,1061,1208,509
2013-08,Costa Rica,1053,1246,486
2013-09,Costa Rica,814,1101,458
2013-10,Costa Rica,889,1235,472
2013-11,Costa Rica,886,1205,393
2013-12,Costa Rica,1158,1201,434
2014-01,Costa Rica,348,338,686
2014-02,Costa Rica,866,1057,422
2014-03,Costa Rica,957,1162,424
2014-04,Costa Rica,994,1108,419
2014-05,Costa Rica,841,1101,386
2014-06,Costa Rica,927,1009,359
2014-07,Costa Rica,898,1056,404
2014-08,Costa Rica,1110,264,451
2014-09,Costa Rica,915,1152,400
2014-10,Costa Rica,1093,1216,454
2014-11,Costa Rica,1009,317,536
2014-12,Costa Rica,1236,1160,471
2015-01,Costa Rica,512,493,1005
2015-02,Costa Rica,981,1154,474
2015-03,Costa Rica,1204,273,514
2015-04,Costa Rica,936,1198,472
2015-05,Costa Rica,914,1155,485
2015-06,Costa Rica,1001,1115,373
2015-07,Costa Rica,1131,268,503
2015-08,Costa Rica,1065,188,362
2015-09,Costa Rica,1859,1790,447
2015-10,Costa Rica,1097,249,494
2015-11,Costa Rica,1195,288,501
2015-12,Costa Rica,288,254,542
2016-01,Costa Rica,697,671,1368
2016-02,Costa Rica,1095,1299,592
2016-03,Costa Rica,1132,1211,501
2016-04,Costa Rica,1065,280,515
2016-05,Costa Rica,1026,295,582
2016-06,Costa Rica,235,240,475
2016-07,Costa Rica,299,360,659
2016-08,Costa Rica,192,290,482
2016-09,Costa Rica,1052,289,506
2016-10,Costa Rica,1146,249,487
2016-11,Costa Rica,1145,257,438
2016-12,Costa Rica,205,212,417
2017-01,Costa Rica,503,479,982
2017-02,Costa Rica,1134,288,508
2017-03,Costa Rica,239,339,578
2017-04,Costa Rica,227,309,536
2017-05,Costa Rica,236,307,543
2017-06,Costa Rica,157,192,349
2017-07,Costa Rica,229,271,500
2017-08,Costa Rica,182,225,407
2017-09,Costa Rica,102,131,233
2017-10,Costa Rica,1434,497,1015
2017-11,Costa Rica,276,304,580
2017-12,Costa Rica,272,246,518
2018-01,Costa Rica,645,522,1168
2018-02,Costa Rica,1221,290,584
2018-03,Costa Rica,277,243,520
2018-04,Costa Rica,256,264,520
2018-05,Costa Rica,258,249,507
2018-06,Costa Rica,201,207,408
2018-07,Costa Rica,286,284,570
2018-08,Costa Rica,201,199,400
2018-09,Costa Rica,228,238,466
2018-10,Costa Rica,210,218,428
2018-11,Costa Rica,1194,243,453
2018-12,Costa Rica,219,208,427
2019-01,Costa Rica,494,463,958
2019-02,Costa Rica,1168,274,555
2019-03,Costa Rica,1267,325,644
2019-04,Costa Rica,1208,315,613
2019-05,Costa Rica,1111,295,563
2019-06,Costa Rica,173,201,374
2019-07,Costa Rica,270,268,538
2019-08,Costa Rica,204,226,430
2019-09,Costa Rica,233,245,478
2019-10,Costa Rica,243,272,515
2019-11,Costa Rica,247,241,488
2019-12,Costa Rica,221,206,427
2020-01,Costa Rica,411,387,799
2020-02,Costa Rica,281,303,584
2020-03,Costa Rica,654,703,318
2020-04,Costa Rica,12,10,22
2020-05,Costa Rica,36,25,61
2020-06,Costa Rica,4,29,33
2020-07,Costa Rica,26,53,79
2020-08,Costa Rica,21,40,61
2020-09,Costa Rica,3,16,19
2020-10,Costa Rica,25,65,90
2020-11,Costa Rica,376,427,803
2020-12,Costa Rica,673,573,1246
2021-01,Costa Rica,928,904,449
2021-02,Costa Rica,547,619,1166
2021-03,Costa Rica,763,730,328
2021-04,Costa Rica,598,682,1280
2021-05,Costa Rica,438,578,1016
2021-06,Costa Rica,812,828,301
2021-07,Costa Rica,1050,1041,429
2021-08,Costa Rica,1048,1149,575
2021-09,Costa Rica,1044,1077,646
2021-10,Costa Rica,1315,1266,675
2021-11,Costa Rica,1165,1250,636
2021-12,Costa Rica,355,295,650
2022-01,Costa Rica,609,587,1196
2022-02,Costa Rica,1284,1216,666
2022-03,Costa Rica,1305,319,635
2022-04,Costa Rica,564,523,1087
2022-05,Costa Rica,514,482,996
2022-06,Costa Rica,390,425,815
2022-07,Costa Rica,468,416,884
2022-08,Costa Rica,442,456,898
2022-09,Costa Rica,431,446,877
2022-10,Costa Rica,442,383,825
2022-11,Costa Rica,430,380,811
2022-12,Costa Rica,494,417,912
2023-01,Costa Rica,643,558,1202
2023-02,Costa Rica,424,382,806
2023-03,Costa Rica,477,443,921
2023-04,Costa Rica,459,425,885
2023-05,Costa Rica,446,441,888
2023-06,Costa Rica,462,432,895
2023-07,Costa Rica,515,428,944
2023-08,Costa Rica,458,463,921
2023-09,Costa Rica,432,390,823
2023-10,Costa Rica,466,400,867
2023-11,Costa Rica,465,467,933
2023-12,Costa Rica,426,357,784
2024-01,Costa Rica,549,473,1023
2024-02,Costa Rica,445,394,839
2024-03,Costa Rica,460,393,854
2024-04,Costa Rica,662,615,1277
2024-05,Costa Rica,649,596,1245
2024-06,Costa Rica,622,565,1188
