Fecha,País destino,Femenino,Masculino,Total
2012-01,Curazao,813,755,313
2012-02,Curazao,453,466,919
2012-03,Curazao,627,655,154
2012-04,Curazao,516,477,993
2012-05,Curazao,455,414,869
2012-06,Curazao,697,550,1247
2012-07,Curazao,742,638,234
2012-08,Curazao,801,723,269
2012-09,Curazao,657,492,1149
2012-10,Curazao,667,659,183
2012-11,Curazao,671,634,205
2012-12,Curazao,809,702,264
2013-01,Curazao,888,853,320
2013-02,Curazao,515,555,1070
2013-03,Curazao,586,582,1168
2013-04,Curazao,479,456,935
2013-05,Curazao,604,574,1178
2013-06,Curazao,809,645,248
2013-07,Curazao,732,687,212
2013-08,Curazao,755,718,228
2013-09,Curazao,391,381,772
2013-10,Curazao,435,537,972
2013-11,Curazao,445,392,837
2013-12,Curazao,611,618,1229
2014-01,Curazao,678,685,323
2014-02,Curazao,338,452,790
2014-03,Curazao,501,455,956
2014-04,Curazao,512,412,924
2014-05,Curazao,661,520,1181
2014-06,Curazao,587,518,1105
2014-07,Curazao,613,490,1103
2014-08,Curazao,922,752,532
2014-09,Curazao,652,557,1209
2014-10,Curazao,801,656,340
2014-11,Curazao,689,543,1232
2014-12,Curazao,973,761,398
2015-01,Curazao,1056,828,523
2015-02,Curazao,449,363,812
2015-06,Curazao,0,2,2
2015-08,Curazao,7,38,45
2015-09,Curazao,2,39,41
2015-10,Curazao,7,15,22
2015-11,Curazao,7,24,31
2015-12,Curazao,0,14,14
2016-01,Curazao,6,44,50
2016-02,Curazao,9,40,49
2016-03,Curazao,8,31,39
2016-04,Curazao,8,45,53
2016-05,Curazao,22,72,94
2016-06,Curazao,7,41,48
2016-07,Curazao,6,51,57
2016-08,Curazao,18,71,89
2016-09,Curazao,23,54,77
2016-10,Curazao,7,38,45
2016-11,Curazao,8,53,61
2016-12,Curazao,9,39,48
2017-01,Curazao,14,46,60
2017-02,Curazao,17,39,56
2017-03,Curazao,10,59,69
2017-04,Curazao,12,50,62
2017-05,Curazao,16,34,50
2017-06,Curazao,12,59,71
2017-07,Curazao,18,45,63
2017-08,Curazao,9,38,47
2017-09,Curazao,12,47,59
2017-10,Curazao,5,38,43
2017-11,Curazao,20,59,79
2017-12,Curazao,11,31,42
2018-01,Curazao,19,39,58
2018-02,Curazao,18,53,71
2018-03,Curazao,257,237,494
2018-04,Curazao,300,294,594
2018-05,Curazao,459,386,845
2018-06,Curazao,742,575,22
2018-07,Curazao,585,418,1004
2018-08,Curazao,948,684,102
2018-09,Curazao,584,456,1040
2018-10,Curazao,651,542,99
2018-11,Curazao,627,545,30
2018-12,Curazao,57,928,113
2019-01,Curazao,989,804,101
2019-02,Curazao,527,399,926
2019-03,Curazao,531,461,992
2019-04,Curazao,912,777,63
2019-05,Curazao,1021,778,70
2019-06,Curazao,24,928,34
2019-07,Curazao,22,928,37
2019-08,Curazao,48,44,92
2019-09,Curazao,25,15,40
2019-10,Curazao,22,35,57
2019-11,Curazao,37,27,64
2019-12,Curazao,27,17,44
2020-01,Curazao,32,33,66
2020-02,Curazao,38,14,52
2020-03,Curazao,571,489,43
2020-04,Curazao,2,9,11
2020-05,Curazao,53,47,100
2020-06,Curazao,38,28,66
2020-07,Curazao,3,25,28
2020-08,Curazao,6,34,40
2020-09,Curazao,10,41,51
2020-10,Curazao,14,42,56
2020-11,Curazao,12,49,61
2020-12,Curazao,8,45,53
2021-01,Curazao,162,160,322
2021-02,Curazao,97,94,191
2021-03,Curazao,148,140,288
2021-04,Curazao,131,165,296
2021-05,Curazao,171,185,356
2021-06,Curazao,382,324,706
2021-07,Curazao,330,267,597
2021-08,Curazao,408,344,752
2021-09,Curazao,465,360,825
2021-10,Curazao,925,678,174
2021-11,Curazao,1041,887,202
2021-12,Curazao,158,107,265
2022-01,Curazao,248,1229,481
2022-02,Curazao,799,675,268
2022-03,Curazao,1086,918,392
2022-04,Curazao,266,173,439
2022-05,Curazao,226,1156,393
2022-06,Curazao,337,257,594
2022-07,Curazao,217,169,386
2022-08,Curazao,273,173,446
2022-09,Curazao,214,1095,349
2022-10,Curazao,251,157,408
2022-11,Curazao,186,130,316
2022-12,Curazao,272,182,454
2023-01,Curazao,269,174,443
2023-02,Curazao,1065,924,195
2023-03,Curazao,209,114,323
2023-04,Curazao,224,139,363
2023-05,Curazao,209,129,338
2023-06,Curazao,267,174,442
2023-07,Curazao,178,116,294
2023-08,Curazao,228,155,384
2023-09,Curazao,229,163,392
2023-10,Curazao,257,133,390
2023-11,Curazao,215,140,356
2023-12,Curazao,345,1186,571
2024-01,Curazao,261,177,439
2024-02,Curazao,2047,1737,398
2024-03,Curazao,274,215,489
2024-04,Curazao,555,360,915
2024-05,Curazao,299,188,487
2024-06,Curazao,315,227,542
2024-07,Curazao,255,156,411
2024-08,Curazao,361,227,589
2024-09,Curazao,246,1056,411
2024-10,Curazao,281,216,497
2024-11,Curazao,283,1078,457
2024-12,Curazao,504,363,867
2025-01,Curazao,672,526,1198
2025-02,Curazao,227,174,401
2025-03,Curazao,292,224,516
2025-04,Curazao,334,223,557
2025-05,Curazao,349,232,581
2025-06,Curazao,708,455,1164
2025-07,Curazao,704,538,1243
2025-08,Curazao,772,550,1323
2025-09,Curazao,614,434,1048
2025-10,Curazao,1521,1055,1162
2025-11,Curazao,1105,779,1884
2025-12,Curazao,1868,1412,440
