Fecha,País destino,Femenino,Masculino,Total
2012-01,Desconocido,5,26,31
2012-02,Desconocido,7,17,24
2012-03,Desconocido,8,13,21
2012-04,Desconocido,3,12,15
2012-05,Desconocido,5,12,17
2012-06,Desconocido,7,12,19
2012-07,Desconocido,6,19,25
2012-08,Desconocido,6,13,19
2012-09,Desconocido,4,12,16
2012-10,Desconocido,8,19,27
2012-11,Desconocido,5,15,20
2012-12,Desconocido,7,29,36
2013-01,Desconocido,20,36,56
2013-02,Desconocido,5,20,25
2013-03,Desconocido,5,17,22
2013-04,Desconocido,7,30,37
2013-05,Desconocido,3,19,22
2013-06,Desconocido,6,25,31
2013-07,Desconocido,7,17,24
2013-08,Desconocido,11,36,47
2013-09,Desconocido,2,8,10
2013-10,Desconocido,1,1,2
2014-01,Desconocido,13,19,32
2014-02,Desconocido,209,284,493
2014-03,Desconocido,500,492,992
2014-04,Desconocido,657,624,1281
2014-05,Desconocido,717,774,74
2014-06,Desconocido,883,940,265
2014-07,Desconocido,924,991,41
2014-08,Desconocido,819,922,35
2014-09,Desconocido,506,659,49
2014-10,Desconocido,294,354,648
2014-11,Desconocido,289,388,677
2014-12,Desconocido,210,255,465
2015-01,Desconocido,198,307,505
2015-02,Desconocido,210,402,612
2015-03,Desconocido,337,521,858
2015-04,Desconocido,277,518,795
2015-05,Desconocido,271,704,975
2015-06,Desconocido,264,739,1003
2015-07,Desconocido,326,875,18
2015-08,Desconocido,49,144,193
2015-11,Desconocido,1,5,6
2016-01,Desconocido,1,1,2
2016-02,Desconocido,0,3,3
2016-12,Desconocido,3,2,5
2017-08,Desconocido,585,440,1
2020-09,Desconocido,1,0,1
2020-10,Desconocido,3,0,3
2020-11,Desconocido,1,0,1
2021-01,Desconocido,1,0,1
2021-02,Desconocido,13,13,26
2021-03,Desconocido,3,0,3
2021-05,Desconocido,7,2,9
2021-06,Desconocido,1,1,2
2021-07,Desconocido,3,2,5
2021-08,Desconocido,1,0,1
2021-09,Desconocido,1,0,1
2021-10,Desconocido,2,0,2
2021-11,Desconocido,2,1,3
2021-12,Desconocido,1,2,3
2022-01,Desconocido,1,0,1
2022-02,Desconocido,0,1,1
2022-03,Desconocido,2,2,4
2022-04,Desconocido,4,1,5
2022-05,Desconocido,0,5,5
2022-06,Desconocido,3,1,4
2022-07,Desconocido,0,2,2
2022-08,Desconocido,3,1,4
2022-10,Desconocido,1,1,2
2022-11,Desconocido,2,1,3
2022-12,Desconocido,3,1,4
2023-01,Desconocido,3,2,5
2023-02,Desconocido,2,1,3
2023-03,Desconocido,1,2,3
2023-05,Desconocido,1,2,3
2023-06,Desconocido,1,2,3
2023-07,Desconocido,2,0,2
2023-08,Desconocido,1,1,2
2023-10,Desconocido,0,1,1
2023-12,Desconocido,2,1,3
2024-01,Desconocido,1,1,2
2024-02,Desconocido,0,1,1
2024-03,Desconocido,3,1,4
2024-05,Desconocido,1,0,1
2024-06,Desconocido,1,0,1
2024-07,Desconocido,0,1,1
2024-09,Desconocido,1,0,1
2024-10,Desconocido,0,1,1
2024-11,Desconocido,1,0,1
