Fecha,País destino,Femenino,Masculino,Total
2012-01,Dominica,17,11,28
2012-02,Dominica,2,5,7
2012-03,Dominica,1,2,3
2012-04,Dominica,9,6,15
2012-05,Dominica,1,2,3
2012-06,Dominica,1,1,2
2012-07,Dominica,5,2,7
2012-08,Dominica,0,1,1
2012-09,Dominica,5,6,11
2012-10,Dominica,1,2,3
2012-11,Dominica,3,5,8
2012-12,Dominica,5,11,16
2013-01,Dominica,9,6,15
2013-02,Dominica,1,1,2
2013-04,Dominica,0,1,1
2013-05,Dominica,5,4,9
2013-06,Dominica,0,1,1
2013-08,Dominica,0,1,1
2013-09,Dominica,2,2,4
2013-10,Dominica,1,0,1
2013-11,Dominica,0,1,1
2013-12,Dominica,1,5,6
2014-02,Dominica,0,1,1
2014-03,Dominica,0,1,1
2014-07,Dominica,2,0,2
2014-08,Dominica,1,0,1
2014-09,Dominica,1,0,1
2014-12,Dominica,0,1,1
2015-02,Dominica,0,1,1
2015-07,Dominica,3,7,10
2015-08,Dominica,1,4,5
2015-09,Dominica,2,3,5
2015-11,Dominica,0,1,1
2015-12,Dominica,8,11,19
2016-01,Dominica,32,23,55
2016-02,Dominica,2,2,4
2016-03,Dominica,0,3,3
2016-04,Dominica,2,4,6
2016-06,Dominica,1,0,1
2016-07,Dominica,4,10,14
2016-09,Dominica,10,11,21
2016-10,Dominica,3,9,12
2016-11,Dominica,0,1,1
2017-01,Dominica,0,7,7
2017-03,Dominica,0,1,1
2017-04,Dominica,1,0,1
2017-06,Dominica,0,1,1
2017-07,Dominica,0,1,1
2017-08,Dominica,1,0,1
2017-10,Dominica,0,1,1
2018-01,Dominica,0,1,1
2018-02,Dominica,0,1,1
2018-05,Dominica,2,0,2
2018-06,Dominica,1,2,3
2018-08,Dominica,2,2,4
2018-09,Dominica,0,8,8
2018-10,Dominica,2,2,4
2018-11,Dominica,0,7,7
2018-12,Dominica,1,2,3
2019-01,Dominica,1,9,10
2019-03,Dominica,2,6,8
2019-04,Dominica,2,3,5
2019-05,Dominica,7,13,20
2019-06,Dominica,0,1,1
2019-07,Dominica,2,1,3
2019-08,Dominica,1,7,8
2019-10,Dominica,0,2,2
2019-11,Dominica,1,1,2
2019-12,Dominica,0,1,1
2020-01,Dominica,1,2,3
2020-02,Dominica,0,1,1
2020-10,Dominica,1,1,2
2020-11,Dominica,1,1,2
2020-12,Dominica,3,2,5
2021-01,Dominica,1,3,4
2021-02,Dominica,2,6,8
2021-03,Dominica,3,1,4
2021-04,Dominica,4,7,11
2021-05,Dominica,5,7,12
2021-06,Dominica,1,1,2
2021-07,Dominica,16,5,21
2021-08,Dominica,5,5,10
2021-09,Dominica,8,10,18
2021-10,Dominica,5,4,9
2021-11,Dominica,6,5,11
2021-12,Dominica,11,10,21
2022-01,Dominica,4,8,12
2022-02,Dominica,1,1,2
2022-03,Dominica,6,6,12
2022-04,Dominica,9,8,17
2022-05,Dominica,16,10,26
2022-06,Dominica,9,7,16
2022-07,Dominica,3,12,15
2022-08,Dominica,6,8,14
2022-09,Dominica,11,4,15
2022-10,Dominica,17,9,26
2022-11,Dominica,13,6,19
2022-12,Dominica,23,14,37
2023-01,Dominica,5,8,13
2023-02,Dominica,4,9,13
2023-03,Dominica,15,11,26
2023-04,Dominica,9,7,16
2023-05,Dominica,11,7,18
2023-06,Dominica,4,5,9
2023-07,Dominica,1,2,3
2023-08,Dominica,2,2,4
2023-09,Dominica,1,2,3
2023-10,Dominica,5,3,8
2023-11,Dominica,9,4,13
2023-12,Dominica,6,1,7
2024-01,Dominica,1,1,2
2024-02,Dominica,0,1,1
2024-03,Dominica,0,1,1
2024-04,Dominica,1,2,3
2024-05,Dominica,3,1,4
2024-06,Dominica,8,2,10
2024-07,Dominica,1,1,2
2024-08,Dominica,3,1,4
2024-09,Dominica,2,3,5
2024-10,Dominica,4,5,9
2024-11,Dominica,1,0,1
2024-12,Dominica,4,4,8
2025-01,Dominica,4,1,5
2025-02,Dominica,1,1,2
2025-03,Dominica,0,1,1
2025-04,Dominica,1,1,2
2025-05,Dominica,2,1,3
2025-06,Dominica,2,2,4
2025-07,Dominica,4,2,6
2025-08,Dominica,0,1,1
2025-09,Dominica,1,0,1
2025-11,Dominica,1,2,3
2025-12,Dominica,2,0,2
