Fecha,País destino,Femenino,Masculino,Total
2012-01,Ecuador,1950,2077,2160
2012-02,Ecuador,1039,1314,2354
2012-03,Ecuador,1533,1733,1865
2012-04,Ecuador,1571,1798,2092
2012-05,Ecuador,1321,1545,1754
2012-06,Ecuador,1352,2554,359
2012-07,Ecuador,2142,2364,329
2012-08,Ecuador,1681,1829,2066
2012-09,Ecuador,1291,1523,1688
2012-10,Ecuador,1415,1597,1696
2012-11,Ecuador,1704,1911,2119
2012-12,Ecuador,1652,1639,440
2013-01,Ecuador,1554,2470,1486
2013-02,Ecuador,880,1164,2045
2013-03,Ecuador,1384,1406,1244
2013-04,Ecuador,1219,1427,1635
2013-05,Ecuador,1456,1582,1833
2013-06,Ecuador,2303,2160,327
2013-07,Ecuador,1922,2112,1376
2013-08,Ecuador,1708,1951,2116
2013-09,Ecuador,1495,1850,2029
2013-10,Ecuador,1742,1940,976
2013-11,Ecuador,1809,1894,1168
2013-12,Ecuador,1519,2260,377
2014-01,Ecuador,1795,1741,604
2014-02,Ecuador,1662,1826,1070
2014-03,Ecuador,1437,1622,889
2014-04,Ecuador,2341,2230,1295
2014-05,Ecuador,1645,1793,1110
2014-06,Ecuador,2317,2340,1400
2014-07,Ecuador,2217,2067,1235
2014-08,Ecuador,2051,1894,1269
2014-09,Ecuador,1880,2054,1234
2014-10,Ecuador,2061,2061,1280
2014-11,Ecuador,1791,1951,1133
2014-12,Ecuador,2843,1564,571
2015-01,Ecuador,1623,1522,1536
2015-02,Ecuador,1305,1608,1852
2015-03,Ecuador,1762,1891,1012
2015-04,Ecuador,1074,1378,1163
2015-05,Ecuador,999,1389,1182
2015-06,Ecuador,1387,1589,1362
2015-07,Ecuador,1316,1544,1466
2015-08,Ecuador,1470,786,1435
2015-09,Ecuador,948,1419,1287
2015-10,Ecuador,993,1359,1249
2015-11,Ecuador,876,1402,1239
2015-12,Ecuador,1297,1324,1379
2016-01,Ecuador,1520,947,667
2016-02,Ecuador,768,1147,1917
2016-03,Ecuador,1037,1335,1183
2016-04,Ecuador,812,1151,1965
2016-05,Ecuador,864,1175,2040
2016-06,Ecuador,1047,1388,1337
2016-07,Ecuador,1186,2120,2118
2016-08,Ecuador,1003,1398,1354
2016-09,Ecuador,953,1303,1249
2016-10,Ecuador,1050,1377,1339
2016-11,Ecuador,1008,1443,1342
2016-12,Ecuador,1451,1575,1389
2017-01,Ecuador,1639,886,642
2017-02,Ecuador,943,1386,1093
2017-03,Ecuador,1064,1770,1363
2017-04,Ecuador,1175,1527,1398
2017-05,Ecuador,963,1484,1247
2017-06,Ecuador,1339,1492,1354
2017-07,Ecuador,1189,1681,1428
2017-08,Ecuador,1005,1413,1133
2017-09,Ecuador,1542,1760,799
2017-10,Ecuador,1946,2413,1204
2017-11,Ecuador,1191,1768,1637
2017-12,Ecuador,1603,768,1576
2018-01,Ecuador,950,1063,886
2018-02,Ecuador,1069,796,1333
2018-03,Ecuador,1739,843,1686
2018-04,Ecuador,1111,1683,1335
2018-05,Ecuador,1154,1682,1424
2018-06,Ecuador,1309,1622,1407
2018-07,Ecuador,1646,907,1730
2018-08,Ecuador,1289,1763,1452
2018-09,Ecuador,1090,1520,1148
2018-10,Ecuador,1416,828,1510
2018-11,Ecuador,1244,1729,1509
2018-12,Ecuador,916,898,685
2019-01,Ecuador,872,1045,683
2019-02,Ecuador,1130,1687,1189
2019-03,Ecuador,1224,1838,1471
2019-04,Ecuador,1705,863,1673
2019-05,Ecuador,1218,1695,1359
2019-06,Ecuador,1396,1724,1459
2019-07,Ecuador,1399,1693,1384
2019-08,Ecuador,1296,1637,1249
