Fecha,País destino,Femenino,Masculino,Total
2012-01,El Salvador,591,715,106
2012-02,El Salvador,461,629,67
2012-03,El Salvador,790,885,61
2012-04,El Salvador,832,989,98
2012-05,El Salvador,995,63,93
2012-06,El Salvador,1000,54,91
2012-07,El Salvador,949,1020,183
2012-08,El Salvador,850,1033,154
2012-09,El Salvador,866,1053,214
2012-10,El Salvador,891,1010,214
2012-11,El Salvador,898,957,194
2012-12,El Salvador,933,930,193
2013-01,El Salvador,822,908,327
2013-02,El Salvador,622,739,218
2013-03,El Salvador,925,848,411
2013-04,El Salvador,712,907,422
2013-05,El Salvador,865,1001,510
2013-06,El Salvador,1155,1126,467
2013-07,El Salvador,983,1173,479
2013-08,El Salvador,978,1048,485
2013-09,El Salvador,864,1039,317
2013-10,El Salvador,1206,240,489
2013-11,El Salvador,1217,271,521
2013-12,El Salvador,222,234,456
2014-01,El Salvador,1165,298,529
2014-02,El Salvador,842,1118,431
2014-03,El Salvador,1010,262,477
2014-04,El Salvador,891,991,344
2014-05,El Salvador,1039,243,441
2014-06,El Salvador,285,293,578
2014-07,El Salvador,1171,219,491
2014-08,El Salvador,1265,308,594
2014-09,El Salvador,153,220,373
2014-10,El Salvador,1117,218,392
2014-11,El Salvador,860,1123,258
2014-12,El Salvador,222,218,440
2015-01,El Salvador,193,214,407
2015-02,El Salvador,781,927,332
2015-03,El Salvador,917,1181,399
2015-04,El Salvador,821,1064,365
2015-05,El Salvador,701,989,258
2015-06,El Salvador,974,199,370
2015-07,El Salvador,873,1115,361
2015-08,El Salvador,863,1071,321
2015-09,El Salvador,703,1078,271
2015-10,El Salvador,870,1089,294
2015-11,El Salvador,742,1157,364
2015-12,El Salvador,932,1001,452
2016-01,El Salvador,811,1091,390
2016-02,El Salvador,542,867,245
2016-03,El Salvador,745,1082,324
2016-04,El Salvador,560,977,235
2016-05,El Salvador,785,1165,354
2016-06,El Salvador,1000,245,426
2016-07,El Salvador,948,238,426
2016-08,El Salvador,945,232,432
2016-09,El Salvador,963,223,445
2016-10,El Salvador,1089,191,376
2016-11,El Salvador,929,231,383
2016-12,El Salvador,215,183,398
2017-01,El Salvador,1199,265,470
2017-02,El Salvador,754,1069,311
2017-03,El Salvador,874,193,353
2017-04,El Salvador,908,1096,320
2017-05,El Salvador,881,1140,360
2017-06,El Salvador,970,164,306
2017-07,El Salvador,1041,218,380
2017-08,El Salvador,1083,1283,713
2017-09,El Salvador,155,144,299
2017-10,El Salvador,82,125,207
2017-11,El Salvador,227,267,495
2017-12,El Salvador,1123,177,348
2018-01,El Salvador,1017,204,336
2018-02,El Salvador,719,1189,322
2018-03,El Salvador,935,1153,351
2018-04,El Salvador,933,223,380
2018-05,El Salvador,923,129,213
2018-06,El Salvador,1082,135,254
2018-07,El Salvador,995,1181,472
2018-08,El Salvador,1148,297,577
2018-09,El Salvador,1074,241,465
2018-10,El Salvador,1086,307,589
2018-11,El Salvador,946,1179,392
2018-12,El Salvador,224,228,452
2019-01,El Salvador,1146,251,483
2019-02,El Salvador,716,1001,243
2019-03,El Salvador,885,1097,317
