Fecha,País destino,Femenino,Masculino,Total
2012-01,Emiratos Árabes Unidos,85,98,183
2012-02,Emiratos Árabes Unidos,47,62,109
2012-03,Emiratos Árabes Unidos,44,60,104
2012-04,Emiratos Árabes Unidos,38,72,110
2012-05,Emiratos Árabes Unidos,35,132,167
2012-06,Emiratos Árabes Unidos,38,70,108
2012-07,Emiratos Árabes Unidos,54,121,175
2012-08,Emiratos Árabes Unidos,124,197,321
2012-09,Emiratos Árabes Unidos,88,259,347
2012-10,Emiratos Árabes Unidos,79,134,213
2012-11,Emiratos Árabes Unidos,84,263,347
2012-12,Emiratos Árabes Unidos,119,201,320
2013-01,Emiratos Árabes Unidos,104,189,293
2013-02,Emiratos Árabes Unidos,72,98,170
2013-03,Emiratos Árabes Unidos,125,208,333
2013-04,Emiratos Árabes Unidos,64,168,232
2013-05,Emiratos Árabes Unidos,124,162,286
2013-06,Emiratos Árabes Unidos,84,198,282
2013-07,Emiratos Árabes Unidos,53,208,261
2013-08,Emiratos Árabes Unidos,178,300,478
2013-09,Emiratos Árabes Unidos,115,148,263
2013-10,Emiratos Árabes Unidos,107,181,288
2013-11,Emiratos Árabes Unidos,144,213,357
2013-12,Emiratos Árabes Unidos,140,236,376
2014-01,Emiratos Árabes Unidos,139,348,487
2014-02,Emiratos Árabes Unidos,74,329,403
2014-03,Emiratos Árabes Unidos,58,149,207
2014-04,Emiratos Árabes Unidos,126,313,439
2014-05,Emiratos Árabes Unidos,85,306,391
2014-06,Emiratos Árabes Unidos,113,283,396
2014-07,Emiratos Árabes Unidos,73,200,273
2014-08,Emiratos Árabes Unidos,184,265,449
2014-09,Emiratos Árabes Unidos,121,175,296
2014-10,Emiratos Árabes Unidos,146,380,526
2014-11,Emiratos Árabes Unidos,90,265,355
2014-12,Emiratos Árabes Unidos,211,260,471
2015-01,Emiratos Árabes Unidos,133,553,686
2015-02,Emiratos Árabes Unidos,64,170,234
2015-03,Emiratos Árabes Unidos,147,374,521
2015-04,Emiratos Árabes Unidos,73,146,219
2015-05,Emiratos Árabes Unidos,117,236,353
2015-06,Emiratos Árabes Unidos,94,147,241
2015-07,Emiratos Árabes Unidos,127,333,460
2015-08,Emiratos Árabes Unidos,156,279,435
2015-09,Emiratos Árabes Unidos,131,162,293
2015-10,Emiratos Árabes Unidos,126,214,340
2015-11,Emiratos Árabes Unidos,94,356,450
2015-12,Emiratos Árabes Unidos,145,171,316
2016-01,Emiratos Árabes Unidos,135,342,477
2016-02,Emiratos Árabes Unidos,66,356,422
2016-03,Emiratos Árabes Unidos,93,311,404
2016-04,Emiratos Árabes Unidos,72,126,198
2016-05,Emiratos Árabes Unidos,64,192,256
2016-06,Emiratos Árabes Unidos,61,170,231
2016-07,Emiratos Árabes Unidos,97,281,378
2016-08,Emiratos Árabes Unidos,159,200,359
2016-09,Emiratos Árabes Unidos,101,177,278
2016-10,Emiratos Árabes Unidos,87,119,206
2016-11,Emiratos Árabes Unidos,78,195,273
2016-12,Emiratos Árabes Unidos,149,172,321
2017-01,Emiratos Árabes Unidos,164,503,667
2017-02,Emiratos Árabes Unidos,66,218,284
2017-03,Emiratos Árabes Unidos,82,178,260
2017-04,Emiratos Árabes Unidos,98,371,469
2017-05,Emiratos Árabes Unidos,77,141,218
2017-06,Emiratos Árabes Unidos,108,291,399
2017-07,Emiratos Árabes Unidos,94,162,256
2017-08,Emiratos Árabes Unidos,172,277,449
2017-09,Emiratos Árabes Unidos,64,90,154
2017-10,Emiratos Árabes Unidos,5,10,15
2017-11,Emiratos Árabes Unidos,103,222,325
2017-12,Emiratos Árabes Unidos,131,197,328
2018-01,Emiratos Árabes Unidos,157,413,570
2018-02,Emiratos Árabes Unidos,84,214,298
2018-03,Emiratos Árabes Unidos,142,245,387
2018-04,Emiratos Árabes Unidos,100,232,332
2018-05,Emiratos Árabes Unidos,82,315,397
2018-06,Emiratos Árabes Unidos,106,122,228
2018-07,Emiratos Árabes Unidos,92,267,359
2018-08,Emiratos Árabes Unidos,175,270,445
2018-09,Emiratos Árabes Unidos,130,239,369
2018-10,Emiratos Árabes Unidos,136,181,317
2018-11,Emiratos Árabes Unidos,182,376,558
2018-12,Emiratos Árabes Unidos,226,298,524
2019-01,Emiratos Árabes Unidos,172,445,617
2019-02,Emiratos Árabes Unidos,79,191,270
2019-03,Emiratos Árabes Unidos,240,381,621
2019-04,Emiratos Árabes Unidos,162,200,362
2019-05,Emiratos Árabes Unidos,110,266,376
2019-06,Emiratos Árabes Unidos,164,218,382
2019-07,Emiratos Árabes Unidos,109,311,420
2019-08,Emiratos Árabes Unidos,199,247,446
2019-09,Emiratos Árabes Unidos,184,194,378
2019-10,Emiratos Árabes Unidos,140,169,309
2019-11,Emiratos Árabes Unidos,124,286,410
2019-12,Emiratos Árabes Unidos,210,203,413
2020-01,Emiratos Árabes Unidos,150,393,543
2020-02,Emiratos Árabes Unidos,127,228,355
2020-03,Emiratos Árabes Unidos,62,183,245
2020-04,Emiratos Árabes Unidos,0,1,1
2020-06,Emiratos Árabes Unidos,1,0,1
2020-08,Emiratos Árabes Unidos,1,1,2
2020-09,Emiratos Árabes Unidos,10,23,33
2020-10,Emiratos Árabes Unidos,32,191,223
2020-11,Emiratos Árabes Unidos,86,153,239
2020-12,Emiratos Árabes Unidos,137,416,553
2021-01,Emiratos Árabes Unidos,173,623,796
2021-02,Emiratos Árabes Unidos,119,318,437
2021-03,Emiratos Árabes Unidos,124,469,593
2021-04,Emiratos Árabes Unidos,118,287,405
2021-05,Emiratos Árabes Unidos,149,334,483
2021-06,Emiratos Árabes Unidos,148,217,365
2021-07,Emiratos Árabes Unidos,192,196,388
2021-08,Emiratos Árabes Unidos,274,245,519
2021-09,Emiratos Árabes Unidos,258,458,716
2021-10,Emiratos Árabes Unidos,323,541,864
2021-11,Emiratos Árabes Unidos,607,701,69
2021-12,Emiratos Árabes Unidos,471,560,1031
2022-01,Emiratos Árabes Unidos,584,946,121
2022-02,Emiratos Árabes Unidos,291,422,713
2022-03,Emiratos Árabes Unidos,320,498,819
2022-04,Emiratos Árabes Unidos,185,249,434
2022-05,Emiratos Árabes Unidos,162,290,452
2022-06,Emiratos Árabes Unidos,226,293,519
2022-07,Emiratos Árabes Unidos,182,271,453
2022-08,Emiratos Árabes Unidos,239,321,560
2022-09,Emiratos Árabes Unidos,210,222,432
2022-10,Emiratos Árabes Unidos,328,426,754
2022-11,Emiratos Árabes Unidos,297,460,757
2022-12,Emiratos Árabes Unidos,370,420,790
