Fecha,País destino,Femenino,Masculino,Total
2012-02,Eritrea,1,1,2
2012-04,Eritrea,0,1,1
2012-06,Eritrea,0,1,1
2012-07,Eritrea,0,1,1
2012-08,Eritrea,0,1,1
2012-09,Eritrea,0,1,1
2012-11,Eritrea,0,2,2
2012-12,Eritrea,1,0,1
2013-01,Eritrea,1,0,1
2013-04,Eritrea,1,0,1
2013-05,Eritrea,1,4,5
2013-06,Eritrea,3,0,3
2013-07,Eritrea,2,1,3
2013-08,Eritrea,1,1,2
2013-09,Eritrea,0,3,3
2013-10,Eritrea,0,3,3
2013-11,Eritrea,1,0,1
2013-12,Eritrea,1,0,1
2014-02,Eritrea,2,1,3
2014-03,Eritrea,0,1,1
2014-04,Eritrea,2,0,2
2014-05,Eritrea,1,0,1
2014-06,Eritrea,0,1,1
2014-07,Eritrea,1,1,2
2014-08,Eritrea,0,2,2
2014-11,Eritrea,1,0,1
2014-12,Eritrea,1,0,1
2015-01,Eritrea,1,0,1
2015-03,Eritrea,1,0,1
2015-05,Eritrea,2,0,2
2015-06,Eritrea,1,0,1
2015-07,Eritrea,1,1,2
2015-11,Eritrea,2,0,2
2016-02,Eritrea,1,0,1
2016-05,Eritrea,1,0,1
2016-06,Eritrea,0,1,1
2016-07,Eritrea,0,1,1
2016-09,Eritrea,2,0,2
2016-10,Eritrea,1,0,1
2016-11,Eritrea,0,1,1
2016-12,Eritrea,1,0,1
2017-01,Eritrea,2,1,3
2017-02,Eritrea,2,0,2
2017-03,Eritrea,0,4,4
2017-04,Eritrea,1,0,1
2017-05,Eritrea,0,1,1
2017-07,Eritrea,0,1,1
2017-08,Eritrea,2,1,3
2017-11,Eritrea,1,1,2
2017-12,Eritrea,0,1,1
2018-01,Eritrea,1,0,1
2018-02,Eritrea,1,1,2
2018-03,Eritrea,1,1,2
2018-04,Eritrea,1,1,2
2018-05,Eritrea,0,3,3
2018-07,Eritrea,1,0,1
2018-08,Eritrea,2,0,2
2018-10,Eritrea,3,1,4
2018-11,Eritrea,1,0,1
2018-12,Eritrea,0,2,2
2019-01,Eritrea,0,1,1
2019-03,Eritrea,0,2,2
2019-04,Eritrea,0,1,1
2019-05,Eritrea,0,2,2
2019-06,Eritrea,1,2,3
2019-07,Eritrea,1,0,1
2019-08,Eritrea,2,0,2
2019-10,Eritrea,2,0,2
2019-11,Eritrea,1,1,2
2019-12,Eritrea,1,1,2
2020-02,Eritrea,1,0,1
2021-10,Eritrea,2,1,3
2021-11,Eritrea,1,0,1
2022-02,Eritrea,0,1,1
2022-03,Eritrea,1,0,1
2022-04,Eritrea,0,1,1
2022-05,Eritrea,0,1,1
2022-07,Eritrea,0,2,2
2022-08,Eritrea,1,0,1
2022-09,Eritrea,1,0,1
2022-10,Eritrea,2,0,2
2022-11,Eritrea,1,0,1
2023-02,Eritrea,1,1,2
2023-04,Eritrea,2,0,2
2023-10,Eritrea,1,0,1
2023-11,Eritrea,1,3,4
2023-12,Eritrea,1,0,1
2024-01,Eritrea,1,0,1
2024-03,Eritrea,1,0,1
2024-07,Eritrea,0,1,1
2024-10,Eritrea,2,0,2
2024-11,Eritrea,0,1,1
2025-04,Eritrea,0,1,1
2025-06,Eritrea,2,0,2
2025-09,Eritrea,1,0,1
2025-10,Eritrea,0,1,1
