Fecha,País destino,Femenino,Masculino,Total
2012-01,Eslovaquia,2,2,4
2012-02,Eslovaquia,1,1,2
2012-03,Eslovaquia,2,1,3
2012-04,Eslovaquia,1,3,4
2012-06,Eslovaquia,0,4,4
2012-08,Eslovaquia,3,1,4
2012-09,Eslovaquia,0,3,3
2012-11,Eslovaquia,1,2,3
2012-12,Eslovaquia,1,0,1
2013-01,Eslovaquia,1,1,2
2013-02,Eslovaquia,1,1,2
2013-03,Eslovaquia,0,1,1
2013-04,Eslovaquia,1,1,2
2013-05,Eslovaquia,6,2,8
2013-06,Eslovaquia,1,3,4
2013-07,Eslovaquia,2,0,2
2013-08,Eslovaquia,2,0,2
2013-09,Eslovaquia,1,1,2
2013-10,Eslovaquia,0,1,1
2013-11,Eslovaquia,1,0,1
2013-12,Eslovaquia,1,1,2
2014-01,Eslovaquia,2,2,4
2014-02,Eslovaquia,1,0,1
2014-04,Eslovaquia,1,7,8
2014-05,Eslovaquia,3,1,4
2014-06,Eslovaquia,1,1,2
2014-07,Eslovaquia,0,2,2
2014-08,Eslovaquia,2,1,3
2014-09,Eslovaquia,1,1,2
2014-10,Eslovaquia,1,3,4
2014-12,Eslovaquia,1,6,7
2015-01,Eslovaquia,2,1,3
2015-02,Eslovaquia,1,0,1
2015-03,Eslovaquia,4,3,7
2015-05,Eslovaquia,0,1,1
2015-06,Eslovaquia,1,10,11
2015-07,Eslovaquia,1,0,1
2015-08,Eslovaquia,0,1,1
2015-09,Eslovaquia,2,0,2
2015-10,Eslovaquia,1,1,2
2015-12,Eslovaquia,1,1,2
2016-01,Eslovaquia,4,2,6
2016-02,Eslovaquia,0,2,2
2016-04,Eslovaquia,2,3,5
2016-05,Eslovaquia,1,1,2
2016-06,Eslovaquia,3,0,3
2016-07,Eslovaquia,0,4,4
2016-08,Eslovaquia,3,2,5
2016-10,Eslovaquia,2,0,2
2016-11,Eslovaquia,1,3,4
2016-12,Eslovaquia,2,2,4
2017-01,Eslovaquia,2,2,4
2017-02,Eslovaquia,1,0,1
2017-03,Eslovaquia,1,1,2
2017-05,Eslovaquia,0,1,1
2017-06,Eslovaquia,1,2,3
2017-07,Eslovaquia,0,1,1
2017-08,Eslovaquia,4,4,8
2017-09,Eslovaquia,1,0,1
2017-11,Eslovaquia,1,2,3
2017-12,Eslovaquia,0,3,3
2018-01,Eslovaquia,2,3,5
2018-02,Eslovaquia,0,2,2
2018-03,Eslovaquia,2,3,5
2018-04,Eslovaquia,3,4,7
2018-05,Eslovaquia,2,0,2
2018-06,Eslovaquia,5,4,9
2018-07,Eslovaquia,2,4,6
2018-08,Eslovaquia,1,5,6
2018-09,Eslovaquia,3,1,4
2018-11,Eslovaquia,2,2,4
2018-12,Eslovaquia,3,7,10
2019-01,Eslovaquia,3,6,9
2019-02,Eslovaquia,1,1,2
2019-03,Eslovaquia,2,1,3
2019-04,Eslovaquia,2,3,5
2019-05,Eslovaquia,2,0,2
2019-06,Eslovaquia,3,2,5
2019-07,Eslovaquia,0,2,2
2019-08,Eslovaquia,7,4,11
2019-09,Eslovaquia,4,0,4
2019-10,Eslovaquia,1,1,2
2019-11,Eslovaquia,4,2,6
2019-12,Eslovaquia,2,3,5
2020-01,Eslovaquia,3,2,5
2020-02,Eslovaquia,2,3,5
