Fecha,País destino,Femenino,Masculino,Total
2012-01,Estados Unidos De América,1056,952,2012
2012-02,Estados Unidos De América,727,664,1392
2012-03,Estados Unidos De América,919,715,1637
2012-04,Estados Unidos De América,735,580,1317
2012-05,Estados Unidos De América,894,658,1552
2012-06,Estados Unidos De América,1163,884,2051
2012-07,Estados Unidos De América,1024,792,1817
2012-08,Estados Unidos De América,1146,860,2008
2012-09,Estados Unidos De América,860,658,1518
2012-10,Estados Unidos De América,1002,752,751
2012-11,Estados Unidos De América,937,702,1641
2012-12,Estados Unidos De América,1209,910,2121
2013-01,Estados Unidos De América,1271,1085,2357
2013-02,Estados Unidos De América,814,659,1473
2013-03,Estados Unidos De América,1364,1046,1388
2013-04,Estados Unidos De América,983,820,1806
2013-05,Estados Unidos De América,1211,1136,2350
2013-06,Estados Unidos De América,1550,1232,1743
2013-07,Estados Unidos De América,1559,1081,1475
2013-08,Estados Unidos De América,1542,1133,1560
2013-09,Estados Unidos De América,1268,980,2249
2013-10,Estados Unidos De América,1325,1017,1315
2013-11,Estados Unidos De América,1259,886,1147
2013-12,Estados Unidos De América,1843,1330,900
2014-01,Estados Unidos De América,1779,1477,1721
2014-02,Estados Unidos De América,979,760,1741
2014-03,Estados Unidos De América,1067,849,1919
2014-04,Estados Unidos De América,1486,1131,1597
2014-05,Estados Unidos De América,1592,1099,1662
2014-06,Estados Unidos De América,2138,1537,2314
2014-07,Estados Unidos De América,1990,1419,1732
2014-08,Estados Unidos De América,1071,1689,1855
2014-09,Estados Unidos De América,1966,1558,705
2014-10,Estados Unidos De América,2032,1533,1863
2014-11,Estados Unidos De América,1830,1365,1726
2014-12,Estados Unidos De América,1457,1994,1553
2015-01,Estados Unidos De América,1283,2064,1191
2015-02,Estados Unidos De América,1419,1141,1360
2015-03,Estados Unidos De América,2030,1603,785
2015-04,Estados Unidos De América,1713,1266,533
2015-05,Estados Unidos De América,1056,1514,681
2015-06,Estados Unidos De América,1577,2085,1712
2015-07,Estados Unidos De América,1158,1570,960
2015-08,Estados Unidos De América,1090,1467,862
2015-09,Estados Unidos De América,1854,1361,1686
2015-10,Estados Unidos De América,1802,1336,1690
2015-11,Estados Unidos De América,1658,1168,1572
2015-12,Estados Unidos De América,2189,1477,1113
2016-01,Estados Unidos De América,1079,1835,840
2016-02,Estados Unidos De América,1404,1108,1138
2016-03,Estados Unidos De América,1812,1451,561
2016-04,Estados Unidos De América,1656,1302,387
2016-05,Estados Unidos De América,1177,1606,669
2016-06,Estados Unidos De América,1512,1989,1200
2016-07,Estados Unidos De América,2123,1504,787
2016-08,Estados Unidos De América,1260,1498,675
2016-09,Estados Unidos De América,1959,1390,601
2016-10,Estados Unidos De América,1774,1370,600
2016-11,Estados Unidos De América,1682,1162,599
2016-12,Estados Unidos De América,1224,1474,912
2017-01,Estados Unidos De América,1051,1702,809
2017-02,Estados Unidos De América,1122,906,2031
2017-03,Estados Unidos De América,1497,1171,1344
2017-04,Estados Unidos De América,1671,1201,1480
2017-05,Estados Unidos De América,983,1407,682
2017-06,Estados Unidos De América,1415,1908,857
2017-07,Estados Unidos De América,1327,1668,777
2017-08,Estados Unidos De América,1406,1703,735
2017-09,Estados Unidos De América,2618,2158,441
2017-10,Estados Unidos De América,1967,1492,541
2017-11,Estados Unidos De América,1693,1125,587
2017-12,Estados Unidos De América,1127,1455,755
2018-01,Estados Unidos De América,1084,1721,764
2018-02,Estados Unidos De América,1290,1008,2300
2018-03,Estados Unidos De América,1883,1405,622
2018-04,Estados Unidos De América,1692,1288,652
2018-05,Estados Unidos De América,2136,1564,707
2018-06,Estados Unidos De América,1438,1984,961
2018-07,Estados Unidos De América,477,1962,889
2018-08,Estados Unidos De América,1397,1731,788
2018-09,Estados Unidos De América,1257,1759,573
2018-10,Estados Unidos De América,1216,1551,587
2018-11,Estados Unidos De América,2131,1452,686
2018-12,Estados Unidos De América,1566,1144,1361
2019-01,Estados Unidos De América,1540,1374,1469
2019-02,Estados Unidos De América,898,1579,1647
2019-03,Estados Unidos De América,1092,1866,838
2019-04,Estados Unidos De América,1227,1010,1018
2019-05,Estados Unidos De América,1273,1809,781
2019-06,Estados Unidos De América,1410,2061,1127
2019-07,Estados Unidos De América,1375,1951,920
2019-08,Estados Unidos De América,1380,1876,738
2019-09,Estados Unidos De América,1125,1771,560
2019-10,Estados Unidos De América,1300,1903,585
2019-11,Estados Unidos De América,1056,1536,581
2019-12,Estados Unidos De América,423,1903,748
2020-01,Estados Unidos De América,387,1120,695
2020-02,Estados Unidos De América,1976,1514,377
2020-03,Estados Unidos De América,1498,1096,304
2020-04,Estados Unidos De América,567,783,1350
2020-05,Estados Unidos De América,1145,1453,1222
2020-06,Estados Unidos De América,2419,2109,671
2020-07,Estados Unidos De América,1610,1658,1490
2020-08,Estados Unidos De América,546,618,1164
2020-09,Estados Unidos De América,895,1456,166
2020-10,Estados Unidos De América,620,1438,64
2020-11,Estados Unidos De América,1538,1172,1325
2020-12,Estados Unidos De América,2368,1682,132
2021-01,Estados Unidos De América,2450,2058,78
2021-02,Estados Unidos De América,2538,2074,1596
2021-03,Estados Unidos De América,2568,2022,87
2021-04,Estados Unidos De América,2676,2154,107
2021-05,Estados Unidos De América,108,1051,212
2021-06,Estados Unidos De América,116,105,223
2021-07,Estados Unidos De América,106,1865,191
2021-08,Estados Unidos De América,914,1510,147
2021-09,Estados Unidos De América,884,1552,115
2021-10,Estados Unidos De América,1027,1762,147
2021-11,Estados Unidos De América,1872,1491,134
2021-12,Estados Unidos De América,213,1844,389
2022-01,Estados Unidos De América,1137,1819,480
2022-02,Estados Unidos De América,1515,1285,306
2022-03,Estados Unidos De América,994,1562,438
2022-04,Estados Unidos De América,1191,1884,527
2022-05,Estados Unidos De América,361,2246,775
2022-06,Estados Unidos De América,459,1193,794
2022-07,Estados Unidos De América,490,1085,852
2022-08,Estados Unidos De América,398,1068,711
2022-09,Estados Unidos De América,1172,1884,744
2022-10,Estados Unidos De América,1311,1814,790
2022-11,Estados Unidos De América,1917,1438,674
2022-12,Estados Unidos De América,1470,1856,954
2023-01,Estados Unidos De América,462,1207,864
2023-02,Estados Unidos De América,1667,1406,1423
2023-03,Estados Unidos De América,1230,1785,677
2023-04,Estados Unidos De América,2136,1674,699
2023-05,Estados Unidos De América,262,2008,494
2023-06,Estados Unidos De América,521,1159,937
2023-07,Estados Unidos De América,1574,1205,1048
2023-08,Estados Unidos De América,550,1311,964
2023-09,Estados Unidos De América,1034,1528,395
2023-10,Estados Unidos De América,1172,1757,566
2023-11,Estados Unidos De América,1253,1699,572
2023-12,Estados Unidos De América,432,1837,764
2024-01,Estados Unidos De América,1062,720,690
2024-02,Estados Unidos De América,281,1190,643
2024-03,Estados Unidos De América,539,1206,916
2024-04,Estados Unidos De América,518,1170,878
2024-05,Estados Unidos De América,548,1262,995
2024-06,Estados Unidos De América,645,1278,1150
2024-07,Estados Unidos De América,600,1274,1050
2024-08,Estados Unidos De América,567,1122,938
2024-09,Estados Unidos De América,504,1136,858
2024-10,Estados Unidos De América,638,2043,1084
2024-11,Estados Unidos De América,2434,1590,1018
2024-12,Estados Unidos De América,409,1824,744
2025-01,Estados Unidos De América,1304,1993,638
2025-02,Estados Unidos De América,2213,1567,973
2025-03,Estados Unidos De América,1390,1771,1138
2025-04,Estados Unidos De América,1696,2239,1433
2025-05,Estados Unidos De América,1686,1279,1500
2025-06,Estados Unidos De América,1905,1439,2016
2025-07,Estados Unidos De América,1951,1330,1620
2025-08,Estados Unidos De América,1015,1583,1716
2025-09,Estados Unidos De América,1076,2586,623
2025-10,Estados Unidos De América,2282,1628,971
2025-11,Estados Unidos De América,2155,2515,712
2025-12,Estados Unidos De América,634,2063,1089
