Fecha,País destino,Femenino,Masculino,Total
2012-02,Estonia,0,1,1
2012-03,Estonia,0,1,1
2012-05,Estonia,2,2,4
2012-06,Estonia,2,4,6
2012-07,Estonia,0,3,3
2012-10,Estonia,1,0,1
2012-12,Estonia,0,3,3
2013-01,Estonia,0,1,1
2013-02,Estonia,0,1,1
2013-03,Estonia,0,2,2
2013-04,Estonia,2,1,3
2013-05,Estonia,5,0,5
2013-06,Estonia,2,0,2
2013-07,Estonia,0,1,1
2013-08,Estonia,1,2,3
2013-10,Estonia,3,0,3
2013-12,Estonia,0,1,1
2014-01,Estonia,1,1,2
2014-03,Estonia,0,3,3
2014-04,Estonia,0,1,1
2014-05,Estonia,0,2,2
2014-06,Estonia,3,3,6
2014-07,Estonia,1,0,1
2014-09,Estonia,1,6,7
2014-11,Estonia,1,2,3
2015-01,Estonia,3,3,6
2015-03,Estonia,1,0,1
2015-05,Estonia,0,2,2
2015-06,Estonia,2,0,2
2015-07,Estonia,0,3,3
2015-08,Estonia,2,3,5
2015-09,Estonia,2,1,3
2015-10,Estonia,0,1,1
2015-11,Estonia,1,0,1
2015-12,Estonia,3,1,4
2016-01,Estonia,1,2,3
2016-02,Estonia,1,0,1
2016-03,Estonia,3,2,5
2016-06,Estonia,2,2,4
2016-07,Estonia,0,2,2
2016-08,Estonia,0,2,2
2016-09,Estonia,1,1,2
2016-10,Estonia,1,2,3
2016-11,Estonia,1,1,2
2017-01,Estonia,0,2,2
2017-02,Estonia,2,1,3
2017-04,Estonia,0,1,1
2017-05,Estonia,2,2,4
2017-06,Estonia,6,1,7
2017-07,Estonia,1,5,6
2017-08,Estonia,2,2,4
2017-11,Estonia,2,1,3
2017-12,Estonia,0,1,1
2018-01,Estonia,0,3,3
2018-02,Estonia,0,1,1
2018-03,Estonia,3,1,4
2018-04,Estonia,2,2,4
2018-05,Estonia,1,2,3
2018-06,Estonia,13,8,21
2018-07,Estonia,2,1,3
2018-08,Estonia,3,2,5
2018-09,Estonia,2,4,6
2018-10,Estonia,0,2,2
2018-11,Estonia,6,7,13
2018-12,Estonia,4,2,6
2019-01,Estonia,1,6,7
2019-02,Estonia,0,3,3
2019-03,Estonia,1,0,1
2019-04,Estonia,4,6,10
2019-05,Estonia,2,1,3
2019-06,Estonia,7,3,10
2019-07,Estonia,5,4,9
2019-08,Estonia,5,1,6
2019-09,Estonia,2,1,3
2019-10,Estonia,0,2,2
2019-11,Estonia,1,8,9
2019-12,Estonia,4,0,4
2020-01,Estonia,3,4,7
2020-02,Estonia,1,1,2
2020-03,Estonia,1,2,3
2020-06,Estonia,1,0,1
2020-07,Estonia,0,1,1
2020-12,Estonia,1,2,3
2021-01,Estonia,3,3,6
2021-02,Estonia,2,0,2
2021-03,Estonia,1,1,2
2021-04,Estonia,2,0,2
2021-05,Estonia,3,0,3
2021-06,Estonia,3,2,5
2021-07,Estonia,3,2,5
2021-08,Estonia,4,5,9
2021-09,Estonia,3,7,10
2021-10,Estonia,4,3,7
2021-11,Estonia,2,2,4
2021-12,Estonia,1,2,3
2022-01,Estonia,4,3,7
2022-02,Estonia,4,11,15
2022-03,Estonia,2,2,4
2022-04,Estonia,8,7,15
2022-05,Estonia,3,7,10
2022-06,Estonia,14,15,29
2022-07,Estonia,8,7,15
2022-08,Estonia,9,11,20
2022-09,Estonia,3,7,10
2022-10,Estonia,3,7,10
2022-11,Estonia,8,5,13
2022-12,Estonia,5,2,7
2023-01,Estonia,8,4,12
2023-02,Estonia,7,2,9
2023-03,Estonia,5,3,8
2023-04,Estonia,3,5,8
2023-05,Estonia,6,4,10
2023-06,Estonia,7,6,13
2023-07,Estonia,8,6,14
2023-08,Estonia,2,2,4
2023-09,Estonia,4,7,11
2023-10,Estonia,4,4,8
2023-11,Estonia,1,1,2
2023-12,Estonia,8,4,12
2024-01,Estonia,6,3,9
2024-02,Estonia,4,0,4
2024-03,Estonia,3,3,6
2024-04,Estonia,5,7,12
2024-05,Estonia,6,4,10
2024-06,Estonia,7,4,11
2024-07,Estonia,4,2,6
2024-08,Estonia,4,7,11
2024-09,Estonia,3,4,7
2024-10,Estonia,2,8,10
2024-11,Estonia,1,2,3
2024-12,Estonia,2,5,7
2025-01,Estonia,3,1,4
2025-02,Estonia,1,3,4
2025-03,Estonia,1,7,8
2025-04,Estonia,4,3,7
2025-06,Estonia,5,12,17
2025-07,Estonia,15,10,25
2025-08,Estonia,7,9,16
2025-10,Estonia,2,0,2
2025-11,Estonia,4,4,8
2025-12,Estonia,5,4,9
