Fecha,País destino,Femenino,Masculino,Total
2012-01,Etiopía,0,4,4
2012-02,Etiopía,0,2,2
2012-03,Etiopía,2,1,3
2012-04,Etiopía,0,2,2
2012-05,Etiopía,1,1,2
2012-06,Etiopía,1,1,2
2012-07,Etiopía,1,1,2
2012-08,Etiopía,1,3,4
2012-09,Etiopía,0,2,2
2012-10,Etiopía,0,2,2
2012-11,Etiopía,0,4,4
2012-12,Etiopía,0,1,1
2013-01,Etiopía,0,2,2
2013-02,Etiopía,0,2,2
2013-03,Etiopía,1,3,4
2013-04,Etiopía,0,3,3
2013-05,Etiopía,1,1,2
2013-06,Etiopía,0,1,1
2013-07,Etiopía,0,3,3
2013-08,Etiopía,0,1,1
2013-10,Etiopía,0,6,6
2013-11,Etiopía,4,6,10
2013-12,Etiopía,0,2,2
2014-01,Etiopía,1,5,6
2014-02,Etiopía,0,5,5
2014-03,Etiopía,1,6,7
2014-04,Etiopía,0,3,3
2014-05,Etiopía,0,15,15
2014-06,Etiopía,0,8,8
2014-07,Etiopía,1,6,7
2014-08,Etiopía,4,4,8
2014-09,Etiopía,0,7,7
2014-10,Etiopía,1,12,13
2014-11,Etiopía,1,10,11
2014-12,Etiopía,0,6,6
2015-01,Etiopía,2,8,10
2015-02,Etiopía,1,5,6
2015-03,Etiopía,4,3,7
2015-04,Etiopía,2,9,11
2015-05,Etiopía,2,4,6
2015-06,Etiopía,1,1,2
2015-07,Etiopía,2,10,12
2015-08,Etiopía,1,3,4
2015-09,Etiopía,2,1,3
2015-10,Etiopía,3,5,8
2015-11,Etiopía,2,4,6
2015-12,Etiopía,2,6,8
2016-01,Etiopía,2,9,11
2016-02,Etiopía,1,2,3
2016-03,Etiopía,0,1,1
2016-04,Etiopía,0,6,6
2016-05,Etiopía,1,1,2
2016-06,Etiopía,1,3,4
2016-07,Etiopía,0,6,6
2016-08,Etiopía,0,2,2
2016-09,Etiopía,1,3,4
2016-10,Etiopía,1,2,3
2016-11,Etiopía,2,4,6
2016-12,Etiopía,0,3,3
2017-01,Etiopía,2,12,14
2017-02,Etiopía,0,2,2
2017-03,Etiopía,3,6,9
2017-04,Etiopía,1,8,9
2017-05,Etiopía,1,2,3
2017-06,Etiopía,0,3,3
2017-07,Etiopía,1,2,3
2017-08,Etiopía,3,4,7
2017-09,Etiopía,0,1,1
2017-11,Etiopía,2,2,4
2017-12,Etiopía,0,5,5
2018-01,Etiopía,1,8,9
2018-02,Etiopía,0,3,3
2018-03,Etiopía,1,3,4
2018-04,Etiopía,1,1,2
2018-05,Etiopía,0,3,3
2018-07,Etiopía,0,2,2
2018-08,Etiopía,3,4,7
2018-09,Etiopía,2,2,4
2018-10,Etiopía,2,4,6
2018-11,Etiopía,5,4,9
2019-01,Etiopía,1,8,9
2019-02,Etiopía,2,2,4
2019-03,Etiopía,1,1,2
2019-04,Etiopía,1,6,7
2019-05,Etiopía,1,2,3
2019-06,Etiopía,2,2,4
2019-07,Etiopía,2,2,4
2019-08,Etiopía,0,1,1
2019-10,Etiopía,3,4,7
2019-11,Etiopía,2,2,4
2019-12,Etiopía,1,3,4
2020-01,Etiopía,1,8,9
2020-02,Etiopía,4,5,9
2020-03,Etiopía,1,0,1
2020-10,Etiopía,0,4,4
2020-11,Etiopía,0,4,4
2020-12,Etiopía,0,2,2
2021-01,Etiopía,1,7,8
2021-02,Etiopía,1,3,4
2021-03,Etiopía,1,2,3
2021-04,Etiopía,0,5,5
2021-05,Etiopía,0,5,5
2021-06,Etiopía,0,2,2
2021-07,Etiopía,1,4,5
2021-08,Etiopía,1,4,5
2021-09,Etiopía,0,3,3
2021-10,Etiopía,3,8,11
2021-11,Etiopía,1,1,2
2021-12,Etiopía,0,6,6
2022-01,Etiopía,1,5,6
2022-02,Etiopía,3,13,16
2022-03,Etiopía,0,6,6
2022-04,Etiopía,0,4,4
2022-05,Etiopía,1,7,8
2022-06,Etiopía,1,4,5
2022-07,Etiopía,1,5,6
2022-08,Etiopía,0,4,4
2022-09,Etiopía,1,5,6
2022-10,Etiopía,0,3,3
2022-11,Etiopía,1,5,6
2022-12,Etiopía,7,8,15
2023-01,Etiopía,0,6,6
2023-02,Etiopía,2,3,5
2023-03,Etiopía,3,4,7
2023-04,Etiopía,1,3,4
2023-05,Etiopía,1,7,8
2023-06,Etiopía,2,2,4
2023-07,Etiopía,1,2,3
2023-08,Etiopía,1,5,6
2023-09,Etiopía,1,2,3
2023-10,Etiopía,3,2,5
2023-11,Etiopía,1,5,6
2023-12,Etiopía,0,1,1
2024-01,Etiopía,1,3,4
2024-02,Etiopía,1,4,5
2024-03,Etiopía,1,1,2
2024-04,Etiopía,1,4,5
2024-05,Etiopía,1,3,4
2024-06,Etiopía,2,5,7
2024-07,Etiopía,5,3,8
2024-08,Etiopía,0,4,4
2024-09,Etiopía,0,3,3
2024-10,Etiopía,1,4,5
2024-11,Etiopía,1,4,5
2024-12,Etiopía,0,3,3
2025-01,Etiopía,2,10,12
2025-02,Etiopía,1,8,9
2025-03,Etiopía,0,9,9
2025-04,Etiopía,1,7,8
2025-05,Etiopía,1,1,2
2025-06,Etiopía,0,7,7
2025-07,Etiopía,0,5,5
2025-08,Etiopía,29,26,55
2025-09,Etiopía,2,2,4
2025-10,Etiopía,0,2,2
2025-11,Etiopía,1,6,7
2025-12,Etiopía,1,3,4
