Fecha,País destino,Femenino,Masculino,Total
2012-01,Federación De Rusia,19,42,61
2012-02,Federación De Rusia,17,35,52
2012-03,Federación De Rusia,26,36,62
2012-04,Federación De Rusia,10,31,41
2012-05,Federación De Rusia,47,75,122
2012-06,Federación De Rusia,134,145,279
2012-07,Federación De Rusia,69,72,141
2012-08,Federación De Rusia,81,94,175
2012-09,Federación De Rusia,72,92,164
2012-10,Federación De Rusia,21,45,66
2012-11,Federación De Rusia,15,37,52
2012-12,Federación De Rusia,14,35,49
2013-01,Federación De Rusia,17,39,56
2013-02,Federación De Rusia,27,51,78
2013-03,Federación De Rusia,14,35,49
2013-04,Federación De Rusia,21,57,78
2013-05,Federación De Rusia,49,72,121
2013-06,Federación De Rusia,131,166,297
2013-07,Federación De Rusia,73,93,166
2013-08,Federación De Rusia,79,116,195
2013-09,Federación De Rusia,58,77,135
2013-10,Federación De Rusia,39,70,109
2013-11,Federación De Rusia,16,39,55
2013-12,Federación De Rusia,29,47,76
2014-01,Federación De Rusia,13,43,56
2014-02,Federación De Rusia,13,28,41
2014-03,Federación De Rusia,31,37,68
2014-04,Federación De Rusia,18,39,57
2014-05,Federación De Rusia,38,40,78
2014-06,Federación De Rusia,80,86,166
2014-07,Federación De Rusia,57,46,103
2014-08,Federación De Rusia,64,79,143
2014-09,Federación De Rusia,62,110,172
2014-10,Federación De Rusia,35,51,86
2014-11,Federación De Rusia,20,39,59
2014-12,Federación De Rusia,20,39,59
2015-01,Federación De Rusia,18,31,49
2015-02,Federación De Rusia,11,27,38
2015-03,Federación De Rusia,29,46,75
2015-04,Federación De Rusia,28,43,71
2015-05,Federación De Rusia,44,65,109
2015-06,Federación De Rusia,77,104,181
2015-07,Federación De Rusia,61,68,129
2015-08,Federación De Rusia,72,88,160
2015-09,Federación De Rusia,66,127,193
2015-10,Federación De Rusia,30,45,75
2015-11,Federación De Rusia,9,27,36
2015-12,Federación De Rusia,24,38,62
2016-01,Federación De Rusia,16,28,44
2016-02,Federación De Rusia,22,36,58
2016-03,Federación De Rusia,38,39,77
2016-04,Federación De Rusia,13,28,41
2016-05,Federación De Rusia,32,46,78
2016-06,Federación De Rusia,59,67,126
2016-07,Federación De Rusia,47,47,94
2016-08,Federación De Rusia,64,67,131
2016-09,Federación De Rusia,83,103,186
2016-10,Federación De Rusia,20,35,55
2016-11,Federación De Rusia,15,35,50
2016-12,Federación De Rusia,14,23,37
2017-01,Federación De Rusia,18,37,55
2017-02,Federación De Rusia,31,44,75
2017-03,Federación De Rusia,21,22,43
2017-04,Federación De Rusia,51,67,118
2017-05,Federación De Rusia,44,46,90
2017-06,Federación De Rusia,72,76,148
2017-07,Federación De Rusia,68,60,128
2017-08,Federación De Rusia,70,66,136
2017-09,Federación De Rusia,70,85,155
2017-10,Federación De Rusia,0,2,2
2017-11,Federación De Rusia,8,35,43
2017-12,Federación De Rusia,22,25,47
2018-01,Federación De Rusia,18,29,47
2018-02,Federación De Rusia,30,67,97
2018-03,Federación De Rusia,21,30,51
2018-04,Federación De Rusia,23,43,66
2018-05,Federación De Rusia,49,107,156
2018-06,Federación De Rusia,269,792,1062
2018-07,Federación De Rusia,128,187,315
2018-08,Federación De Rusia,53,56,109
2018-09,Federación De Rusia,118,142,260
2018-10,Federación De Rusia,41,69,110
2018-11,Federación De Rusia,18,28,46
2018-12,Federación De Rusia,30,49,79
2019-01,Federación De Rusia,28,63,91
2019-02,Federación De Rusia,43,51,94
2019-03,Federación De Rusia,21,32,53
2019-04,Federación De Rusia,16,41,57
2019-05,Federación De Rusia,46,57,103
2019-06,Federación De Rusia,81,72,153
2019-07,Federación De Rusia,62,64,126
2019-08,Federación De Rusia,118,121,239
2019-09,Federación De Rusia,164,206,370
2019-10,Federación De Rusia,54,68,122
2019-11,Federación De Rusia,21,34,55
2019-12,Federación De Rusia,27,36,63
2020-01,Federación De Rusia,34,36,70
2020-02,Federación De Rusia,25,36,61
2020-03,Federación De Rusia,20,36,56
2020-07,Federación De Rusia,1,0,1
2020-09,Federación De Rusia,1,4,5
2020-10,Federación De Rusia,3,5,8
2020-11,Federación De Rusia,4,8,12
2020-12,Federación De Rusia,2,5,7
2021-01,Federación De Rusia,8,12,20
2021-02,Federación De Rusia,5,12,17
2021-03,Federación De Rusia,7,10,17
2021-04,Federación De Rusia,2,19,21
2021-05,Federación De Rusia,6,16,22
2021-06,Federación De Rusia,42,44,86
2021-07,Federación De Rusia,11,34,45
2021-08,Federación De Rusia,16,14,30
2021-09,Federación De Rusia,22,25,47
2021-10,Federación De Rusia,12,19,31
2021-11,Federación De Rusia,127,114,241
2021-12,Federación De Rusia,88,108,196
2022-01,Federación De Rusia,77,83,160
2022-02,Federación De Rusia,68,97,165
2022-03,Federación De Rusia,20,25,45
2022-04,Federación De Rusia,25,35,60
2022-05,Federación De Rusia,8,18,26
2022-06,Federación De Rusia,9,10,19
2022-07,Federación De Rusia,11,17,28
2022-08,Federación De Rusia,29,31,60
2022-09,Federación De Rusia,25,42,67
2022-10,Federación De Rusia,47,36,83
2022-11,Federación De Rusia,11,15,26
2022-12,Federación De Rusia,4,9,13
2023-01,Federación De Rusia,24,30,54
2023-02,Federación De Rusia,10,7,17
2023-03,Federación De Rusia,19,13,32
2023-04,Federación De Rusia,9,7,16
2023-05,Federación De Rusia,9,12,21
2023-06,Federación De Rusia,14,23,37
2023-07,Federación De Rusia,12,6,18
2023-08,Federación De Rusia,21,21,42
2023-09,Federación De Rusia,34,35,69
2023-10,Federación De Rusia,10,27,37
2023-11,Federación De Rusia,7,9,16
2023-12,Federación De Rusia,8,9,17
2024-01,Federación De Rusia,10,17,27
2024-02,Federación De Rusia,15,33,48
2024-03,Federación De Rusia,18,17,35
2024-04,Federación De Rusia,8,18,26
2024-05,Federación De Rusia,13,7,20
2024-06,Federación De Rusia,11,10,21
2024-07,Federación De Rusia,15,16,31
2024-08,Federación De Rusia,20,44,64
2024-09,Federación De Rusia,24,23,47
2024-10,Federación De Rusia,11,24,35
2024-11,Federación De Rusia,15,12,27
2024-12,Federación De Rusia,9,12,21
2025-01,Federación De Rusia,9,16,25
2025-02,Federación De Rusia,3,8,11
2025-03,Federación De Rusia,14,24,38
2025-04,Federación De Rusia,5,16,21
2025-05,Federación De Rusia,10,15,25
2025-06,Federación De Rusia,19,22,41
2025-07,Federación De Rusia,9,13,22
2025-08,Federación De Rusia,25,28,53
2025-09,Federación De Rusia,23,25,48
2025-10,Federación De Rusia,9,28,37
2025-11,Federación De Rusia,5,14,19
2025-12,Federación De Rusia,16,14,30
