Fecha,País destino,Femenino,Masculino,Total
2012-01,Finlandia,14,9,23
2012-02,Finlandia,6,5,11
2012-03,Finlandia,10,11,21
2012-04,Finlandia,6,3,9
2012-05,Finlandia,12,12,24
2012-06,Finlandia,14,23,37
2012-07,Finlandia,7,4,11
2012-08,Finlandia,24,22,46
2012-09,Finlandia,21,16,37
2012-10,Finlandia,2,12,14
2012-11,Finlandia,7,13,20
2012-12,Finlandia,10,10,20
2013-01,Finlandia,20,21,41
2013-02,Finlandia,8,9,17
2013-03,Finlandia,9,11,20
2013-04,Finlandia,2,3,5
2013-05,Finlandia,22,19,41
2013-06,Finlandia,13,12,25
2013-07,Finlandia,10,6,16
2013-08,Finlandia,15,14,29
2013-09,Finlandia,4,3,7
2013-10,Finlandia,8,2,10
2013-11,Finlandia,7,11,18
2013-12,Finlandia,6,4,10
2014-01,Finlandia,10,15,25
2014-02,Finlandia,11,5,16
2014-03,Finlandia,8,6,14
2014-04,Finlandia,9,5,14
2014-05,Finlandia,6,4,10
2014-06,Finlandia,12,6,18
2014-07,Finlandia,14,9,23
2014-08,Finlandia,13,23,36
2014-09,Finlandia,21,7,28
2014-10,Finlandia,7,8,15
2014-11,Finlandia,7,1,8
2014-12,Finlandia,13,10,23
2015-01,Finlandia,17,13,30
2015-02,Finlandia,7,6,13
2015-03,Finlandia,11,8,19
2015-04,Finlandia,8,8,16
2015-05,Finlandia,6,4,10
2015-06,Finlandia,14,9,23
2015-07,Finlandia,11,13,24
2015-08,Finlandia,12,12,24
2015-09,Finlandia,6,2,8
2015-10,Finlandia,2,5,7
2015-11,Finlandia,9,9,18
2015-12,Finlandia,14,7,21
2016-01,Finlandia,25,11,36
2016-02,Finlandia,8,7,15
2016-03,Finlandia,8,2,10
2016-04,Finlandia,6,6,12
2016-05,Finlandia,7,11,18
2016-06,Finlandia,22,18,40
2016-07,Finlandia,15,16,31
2016-08,Finlandia,11,10,21
2016-09,Finlandia,7,7,14
2016-10,Finlandia,12,8,20
2016-11,Finlandia,4,5,9
2016-12,Finlandia,24,6,30
2017-01,Finlandia,27,18,45
2017-02,Finlandia,8,2,10
2017-03,Finlandia,12,5,17
2017-04,Finlandia,10,7,17
2017-05,Finlandia,7,8,15
2017-06,Finlandia,17,18,35
2017-07,Finlandia,15,9,24
2017-08,Finlandia,19,18,37
2017-09,Finlandia,6,4,10
2017-10,Finlandia,1,0,1
2017-11,Finlandia,7,10,17
2017-12,Finlandia,13,4,17
2018-01,Finlandia,22,14,36
2018-02,Finlandia,9,5,14
2018-03,Finlandia,15,9,24
2018-04,Finlandia,9,9,18
2018-05,Finlandia,11,7,18
2018-06,Finlandia,12,13,25
2018-07,Finlandia,26,20,46
2018-08,Finlandia,18,15,33
2018-09,Finlandia,24,21,45
2018-10,Finlandia,7,9,16
2018-11,Finlandia,2,11,13
2018-12,Finlandia,11,15,26
2019-01,Finlandia,20,16,36
2019-02,Finlandia,14,9,23
2019-03,Finlandia,13,11,24
2019-04,Finlandia,16,5,21
2019-05,Finlandia,12,19,31
2019-06,Finlandia,20,30,50
2019-07,Finlandia,22,12,34
2019-08,Finlandia,23,18,41
2019-09,Finlandia,18,21,39
2019-10,Finlandia,12,10,22
2019-11,Finlandia,8,9,17
2019-12,Finlandia,11,9,20
2020-01,Finlandia,26,24,50
2020-02,Finlandia,10,9,19
2020-03,Finlandia,7,6,13
2020-06,Finlandia,1,0,1
2020-08,Finlandia,0,1,1
2020-09,Finlandia,3,3,6
2020-10,Finlandia,5,12,17
2020-11,Finlandia,7,7,14
2020-12,Finlandia,9,8,17
2021-01,Finlandia,11,11,22
2021-02,Finlandia,10,2,12
2021-03,Finlandia,8,8,16
2021-04,Finlandia,10,10,20
2021-05,Finlandia,8,11,19
2021-06,Finlandia,11,11,22
2021-07,Finlandia,15,10,25
2021-08,Finlandia,26,19,45
2021-09,Finlandia,9,8,17
2021-10,Finlandia,11,13,24
2021-11,Finlandia,10,12,22
2021-12,Finlandia,16,14,30
2022-01,Finlandia,48,29,77
2022-02,Finlandia,30,16,46
2022-03,Finlandia,27,21,48
2022-04,Finlandia,23,25,48
2022-05,Finlandia,22,21,43
2022-06,Finlandia,44,42,86
2022-07,Finlandia,50,42,92
2022-08,Finlandia,20,21,41
2022-09,Finlandia,18,24,42
2022-10,Finlandia,22,23,45
2022-11,Finlandia,29,17,46
2022-12,Finlandia,36,23,59
2023-01,Finlandia,26,26,52
2023-02,Finlandia,26,25,51
2023-03,Finlandia,20,15,35
2023-04,Finlandia,10,17,27
2023-05,Finlandia,22,29,51
2023-06,Finlandia,18,18,36
2023-07,Finlandia,18,21,39
2023-08,Finlandia,22,19,41
2023-09,Finlandia,15,24,39
2023-10,Finlandia,10,10,20
2023-11,Finlandia,13,11,24
2023-12,Finlandia,53,19,72
2024-01,Finlandia,29,19,48
2024-02,Finlandia,12,4,16
2024-03,Finlandia,7,13,20
2024-04,Finlandia,12,12,24
2024-05,Finlandia,25,24,49
2024-06,Finlandia,22,17,39
2024-07,Finlandia,22,14,36
2024-08,Finlandia,14,9,23
2024-09,Finlandia,14,9,23
2024-10,Finlandia,12,8,20
2024-11,Finlandia,8,12,20
2024-12,Finlandia,51,30,81
2025-01,Finlandia,34,22,56
2025-02,Finlandia,6,12,18
2025-03,Finlandia,11,11,22
2025-04,Finlandia,11,15,26
2025-05,Finlandia,25,18,43
2025-06,Finlandia,19,18,37
2025-07,Finlandia,21,18,39
2025-08,Finlandia,17,7,24
2025-09,Finlandia,8,13,21
2025-10,Finlandia,8,12,20
2025-11,Finlandia,9,7,16
2025-12,Finlandia,46,30,76
