Fecha,País destino,Femenino,Masculino,Total
2012-01,Gabón,0,7,7
2012-02,Gabón,0,4,4
2012-03,Gabón,0,4,4
2012-04,Gabón,0,2,2
2012-05,Gabón,1,4,5
2012-07,Gabón,1,4,5
2012-09,Gabón,0,2,2
2012-10,Gabón,0,5,5
2012-11,Gabón,0,3,3
2012-12,Gabón,0,1,1
2013-01,Gabón,2,3,5
2013-02,Gabón,0,4,4
2013-03,Gabón,0,1,1
2013-04,Gabón,0,4,4
2013-05,Gabón,1,4,5
2013-06,Gabón,0,2,2
2013-07,Gabón,1,7,8
2013-08,Gabón,0,8,8
2013-09,Gabón,0,3,3
2013-10,Gabón,0,7,7
2013-11,Gabón,0,6,6
2013-12,Gabón,0,4,4
2014-01,Gabón,0,5,5
2014-02,Gabón,1,8,9
2014-03,Gabón,0,6,6
2014-04,Gabón,1,9,10
2014-05,Gabón,0,5,5
2014-06,Gabón,0,7,7
2014-07,Gabón,1,3,4
2014-08,Gabón,1,5,6
2014-09,Gabón,0,7,7
2014-10,Gabón,0,8,8
2014-11,Gabón,0,5,5
2014-12,Gabón,0,4,4
2015-01,Gabón,1,4,5
2015-02,Gabón,1,2,3
2015-03,Gabón,0,4,4
2015-04,Gabón,0,3,3
2015-05,Gabón,0,6,6
2015-08,Gabón,1,3,4
2015-09,Gabón,1,1,2
2015-11,Gabón,0,1,1
2015-12,Gabón,0,2,2
2016-01,Gabón,1,0,1
2016-02,Gabón,0,1,1
2016-06,Gabón,1,0,1
2016-08,Gabón,2,2,4
2016-09,Gabón,1,0,1
2016-10,Gabón,0,1,1
2017-01,Gabón,2,0,2
2017-03,Gabón,0,1,1
2017-05,Gabón,1,1,2
2017-07,Gabón,0,1,1
2017-08,Gabón,1,1,2
2018-04,Gabón,1,0,1
2018-05,Gabón,0,5,5
2018-06,Gabón,0,2,2
2018-07,Gabón,0,4,4
2018-08,Gabón,1,2,3
2018-09,Gabón,0,2,2
2018-10,Gabón,0,3,3
2018-11,Gabón,0,3,3
2019-01,Gabón,1,1,2
2019-02,Gabón,0,2,2
2019-03,Gabón,0,1,1
2019-04,Gabón,0,1,1
2019-05,Gabón,0,1,1
2019-06,Gabón,1,2,3
2019-08,Gabón,5,4,9
2019-09,Gabón,0,1,1
2020-01,Gabón,1,0,1
2020-02,Gabón,0,2,2
2020-12,Gabón,3,2,5
2021-01,Gabón,1,1,2
2021-02,Gabón,0,1,1
2021-04,Gabón,0,1,1
2021-05,Gabón,0,1,1
2021-08,Gabón,0,1,1
2021-09,Gabón,3,4,7
2021-10,Gabón,0,1,1
2021-11,Gabón,0,2,2
2021-12,Gabón,0,1,1
2022-01,Gabón,0,1,1
2022-03,Gabón,0,3,3
2022-04,Gabón,0,4,4
2022-05,Gabón,1,2,3
2022-06,Gabón,0,5,5
2022-07,Gabón,2,4,6
2022-08,Gabón,0,3,3
2022-09,Gabón,1,0,1
2022-10,Gabón,0,4,4
2022-11,Gabón,0,1,1
2022-12,Gabón,0,2,2
2023-01,Gabón,1,4,5
2023-02,Gabón,1,1,2
2023-03,Gabón,0,6,6
2023-04,Gabón,0,1,1
2023-05,Gabón,0,2,2
2023-06,Gabón,0,1,1
2023-08,Gabón,1,2,3
2023-09,Gabón,2,3,5
2023-10,Gabón,0,2,2
2023-11,Gabón,0,1,1
2024-01,Gabón,0,3,3
2024-03,Gabón,2,2,4
2024-04,Gabón,0,1,1
2024-06,Gabón,0,1,1
2024-07,Gabón,1,1,2
2024-08,Gabón,5,7,12
2024-09,Gabón,1,0,1
2024-10,Gabón,0,1,1
2025-01,Gabón,1,1,2
2025-03,Gabón,0,2,2
2025-07,Gabón,0,1,1
2025-08,Gabón,3,4,7
2025-10,Gabón,1,0,1
2025-12,Gabón,0,1,1
