Fecha,País destino,Femenino,Masculino,Total
2012-01,Gibraltar,1,0,1
2012-05,Gibraltar,0,2,2
2012-10,Gibraltar,0,1,1
2012-12,Gibraltar,0,1,1
2013-07,Gibraltar,3,0,3
2013-09,Gibraltar,0,1,1
2013-10,Gibraltar,1,1,2
2013-11,Gibraltar,1,0,1
2013-12,Gibraltar,1,0,1
2014-01,Gibraltar,1,1,2
2014-02,Gibraltar,1,0,1
2014-04,Gibraltar,1,0,1
2015-03,Gibraltar,3,2,5
2015-04,Gibraltar,0,1,1
2015-05,Gibraltar,1,0,1
2015-07,Gibraltar,1,0,1
2015-08,Gibraltar,2,1,3
2015-09,Gibraltar,2,1,3
2015-10,Gibraltar,1,0,1
2015-12,Gibraltar,2,1,3
2016-01,Gibraltar,7,4,11
2016-02,Gibraltar,0,1,1
2016-03,Gibraltar,3,4,7
2016-04,Gibraltar,0,3,3
2016-05,Gibraltar,1,2,3
2016-06,Gibraltar,4,8,12
2016-07,Gibraltar,4,4,8
2016-11,Gibraltar,3,4,7
2016-12,Gibraltar,5,6,11
2017-01,Gibraltar,3,5,8
2017-02,Gibraltar,2,2,4
2017-03,Gibraltar,1,0,1
2017-04,Gibraltar,0,3,3
2017-05,Gibraltar,2,1,3
2017-06,Gibraltar,0,1,1
2017-07,Gibraltar,2,3,5
2017-08,Gibraltar,0,1,1
2017-09,Gibraltar,2,0,2
2017-10,Gibraltar,1,7,8
2017-11,Gibraltar,1,0,1
2017-12,Gibraltar,3,0,3
2018-01,Gibraltar,1,1,2
2018-03,Gibraltar,1,2,3
2018-04,Gibraltar,0,1,1
2018-05,Gibraltar,1,1,2
2018-07,Gibraltar,0,1,1
2018-09,Gibraltar,0,1,1
2019-02,Gibraltar,1,0,1
2019-08,Gibraltar,1,0,1
2019-11,Gibraltar,0,1,1
2020-10,Gibraltar,0,1,1
2020-11,Gibraltar,1,0,1
2021-01,Gibraltar,2,0,2
2021-06,Gibraltar,0,1,1
2021-10,Gibraltar,1,0,1
2021-12,Gibraltar,0,1,1
2022-01,Gibraltar,2,0,2
2022-02,Gibraltar,1,0,1
2022-07,Gibraltar,1,0,1
2022-08,Gibraltar,0,1,1
2022-10,Gibraltar,1,1,2
2022-12,Gibraltar,3,1,4
2023-01,Gibraltar,2,0,2
2023-02,Gibraltar,1,0,1
2023-05,Gibraltar,1,0,1
2023-06,Gibraltar,1,0,1
2023-12,Gibraltar,1,0,1
2024-08,Gibraltar,0,1,1
2024-09,Gibraltar,1,0,1
2024-11,Gibraltar,1,1,2
2024-12,Gibraltar,1,1,2
2025-04,Gibraltar,1,0,1
2025-07,Gibraltar,1,0,1
