Fecha,País destino,Femenino,Masculino,Total
2012-01,Granada,0,2,2
2012-03,Granada,1,0,1
2012-04,Granada,1,0,1
2012-05,Granada,0,1,1
2012-07,Granada,0,1,1
2012-08,Granada,1,0,1
2012-09,Granada,1,1,2
2012-10,Granada,1,0,1
2013-01,Granada,1,0,1
2013-06,Granada,2,2,4
2013-07,Granada,2,0,2
2013-08,Granada,2,0,2
2013-09,Granada,2,0,2
2013-12,Granada,0,1,1
2014-11,Granada,1,0,1
2015-03,Granada,1,0,1
2015-07,Granada,1,1,2
2015-09,Granada,0,1,1
2015-10,Granada,1,0,1
2016-04,Granada,0,1,1
2016-05,Granada,0,2,2
2016-07,Granada,0,1,1
2017-01,Granada,0,1,1
2017-04,Granada,0,2,2
2017-05,Granada,2,0,2
2017-06,Granada,0,1,1
2017-08,Granada,0,1,1
2017-10,Granada,0,1,1
2018-01,Granada,0,2,2
2018-07,Granada,0,1,1
2018-08,Granada,2,1,3
2018-09,Granada,0,1,1
2018-10,Granada,2,1,3
2018-11,Granada,1,0,1
2019-01,Granada,0,1,1
2019-02,Granada,0,1,1
2019-03,Granada,2,0,2
2019-04,Granada,0,1,1
2019-05,Granada,0,1,1
2019-07,Granada,3,0,3
2019-08,Granada,2,5,7
2019-10,Granada,1,0,1
2019-11,Granada,1,6,7
2019-12,Granada,1,0,1
2020-01,Granada,1,0,1
2020-03,Granada,0,1,1
2020-11,Granada,0,1,1
2021-01,Granada,1,1,2
2021-02,Granada,1,27,28
2021-04,Granada,0,5,5
2021-05,Granada,1,14,15
2021-06,Granada,0,3,3
2021-07,Granada,0,10,10
2021-10,Granada,1,7,8
2021-11,Granada,1,1,2
2021-12,Granada,0,1,1
2022-01,Granada,2,0,2
2022-02,Granada,0,3,3
2022-03,Granada,0,1,1
2022-04,Granada,1,1,2
2022-07,Granada,1,0,1
2022-08,Granada,1,0,1
2022-09,Granada,0,2,2
2022-10,Granada,2,1,3
2022-11,Granada,1,1,2
2022-12,Granada,1,1,2
2023-01,Granada,2,7,9
2023-02,Granada,2,1,3
2023-03,Granada,2,6,8
2023-05,Granada,3,3,6
2023-06,Granada,1,23,24
2023-07,Granada,3,7,10
2023-08,Granada,1,1,2
2023-09,Granada,1,12,13
2023-10,Granada,0,1,1
2023-11,Granada,1,1,2
2023-12,Granada,2,2,4
2024-01,Granada,1,48,49
2024-02,Granada,2,5,7
2024-03,Granada,0,2,2
2024-04,Granada,1,0,1
2024-07,Granada,0,2,2
2024-09,Granada,1,9,10
2024-10,Granada,1,2,3
2024-11,Granada,2,4,6
2024-12,Granada,1,0,1
2025-01,Granada,4,13,17
2025-03,Granada,1,0,1
2025-05,Granada,1,0,1
2025-07,Granada,1,6,7
2025-08,Granada,0,2,2
2025-09,Granada,2,3,5
