Fecha,País destino,Femenino,Masculino,Total
2013-05,Groenlandia,1,0,1
2016-02,Groenlandia,1,2,3
2017-03,Groenlandia,1,0,1
2018-03,Groenlandia,0,1,1
2018-04,Groenlandia,1,0,1
2018-05,Groenlandia,0,1,1
2018-06,Groenlandia,1,5,6
2018-07,Groenlandia,0,1,1
2018-10,Groenlandia,1,0,1
2019-08,Groenlandia,0,1,1
2019-10,Groenlandia,0,1,1
2020-02,Groenlandia,0,1,1
2020-11,Groenlandia,0,1,1
2021-08,Groenlandia,1,0,1
2022-02,Groenlandia,1,0,1
2022-07,Groenlandia,0,1,1
2024-01,Groenlandia,0,1,1
2024-05,Groenlandia,1,0,1
2024-07,Groenlandia,1,0,1
