Fecha,País destino,Femenino,Masculino,Total
2012-03,Guayana Francesa,0,1,1
2012-08,Guayana Francesa,1,1,2
2012-11,Guayana Francesa,1,6,7
2012-12,Guayana Francesa,1,0,1
2013-02,Guayana Francesa,1,0,1
2013-03,Guayana Francesa,3,1,4
2013-04,Guayana Francesa,2,0,2
2013-06,Guayana Francesa,1,0,1
2013-07,Guayana Francesa,3,7,10
2013-08,Guayana Francesa,1,0,1
2013-10,Guayana Francesa,2,0,2
2014-01,Guayana Francesa,4,2,6
2014-03,Guayana Francesa,2,1,3
2014-04,Guayana Francesa,0,1,1
2014-05,Guayana Francesa,1,0,1
2014-06,Guayana Francesa,0,1,1
2014-07,Guayana Francesa,0,1,1
2014-08,Guayana Francesa,1,8,9
2014-10,Guayana Francesa,2,1,3
2014-11,Guayana Francesa,1,1,2
2014-12,Guayana Francesa,0,1,1
2015-01,Guayana Francesa,6,3,9
2015-02,Guayana Francesa,0,1,1
2015-05,Guayana Francesa,1,1,2
2015-06,Guayana Francesa,2,1,3
2015-07,Guayana Francesa,2,5,7
2015-08,Guayana Francesa,4,2,6
2015-09,Guayana Francesa,2,3,5
2015-10,Guayana Francesa,2,0,2
2015-11,Guayana Francesa,1,3,4
2015-12,Guayana Francesa,1,3,4
2016-01,Guayana Francesa,1,5,6
2016-02,Guayana Francesa,0,1,1
2016-03,Guayana Francesa,2,1,3
2016-04,Guayana Francesa,0,9,9
2016-05,Guayana Francesa,0,3,3
2016-06,Guayana Francesa,5,8,13
2016-07,Guayana Francesa,2,1,3
2016-08,Guayana Francesa,3,5,8
2016-09,Guayana Francesa,1,2,3
2016-11,Guayana Francesa,1,11,12
2016-12,Guayana Francesa,1,2,3
2017-01,Guayana Francesa,1,2,3
2017-02,Guayana Francesa,0,2,2
2017-04,Guayana Francesa,0,3,3
2017-05,Guayana Francesa,1,1,2
2017-06,Guayana Francesa,1,1,2
2017-07,Guayana Francesa,1,1,2
2017-08,Guayana Francesa,2,2,4
2017-09,Guayana Francesa,2,0,2
2017-12,Guayana Francesa,2,2,4
2018-01,Guayana Francesa,4,3,7
2018-02,Guayana Francesa,2,0,2
2018-03,Guayana Francesa,1,1,2
2018-05,Guayana Francesa,1,1,2
2018-07,Guayana Francesa,1,1,2
2018-08,Guayana Francesa,2,2,4
2018-09,Guayana Francesa,2,5,7
2018-10,Guayana Francesa,1,1,2
2018-11,Guayana Francesa,6,5,11
2018-12,Guayana Francesa,1,2,3
2019-01,Guayana Francesa,3,3,6
2019-02,Guayana Francesa,1,0,1
2019-03,Guayana Francesa,0,2,2
2019-04,Guayana Francesa,1,3,4
2019-05,Guayana Francesa,2,1,3
2019-06,Guayana Francesa,1,2,3
2019-07,Guayana Francesa,1,2,3
2019-08,Guayana Francesa,4,4,8
2019-09,Guayana Francesa,2,0,2
2019-10,Guayana Francesa,0,1,1
2019-11,Guayana Francesa,1,6,7
2019-12,Guayana Francesa,1,1,2
2020-01,Guayana Francesa,5,6,11
2020-02,Guayana Francesa,4,0,4
2020-03,Guayana Francesa,0,2,2
2020-05,Guayana Francesa,0,6,6
2020-11,Guayana Francesa,0,2,2
2021-01,Guayana Francesa,0,2,2
2021-03,Guayana Francesa,0,1,1
2021-04,Guayana Francesa,1,1,2
2021-06,Guayana Francesa,0,3,3
2021-07,Guayana Francesa,0,3,3
2021-08,Guayana Francesa,3,8,11
2021-09,Guayana Francesa,2,4,6
2021-10,Guayana Francesa,2,7,9
2021-11,Guayana Francesa,3,2,5
2021-12,Guayana Francesa,2,1,3
2022-01,Guayana Francesa,0,5,5
2022-02,Guayana Francesa,0,7,7
2022-03,Guayana Francesa,0,2,2
2022-04,Guayana Francesa,2,1,3
2022-05,Guayana Francesa,0,3,3
2022-06,Guayana Francesa,2,5,7
2022-07,Guayana Francesa,3,3,6
2022-08,Guayana Francesa,6,7,13
2022-09,Guayana Francesa,0,1,1
2022-10,Guayana Francesa,3,3,6
2022-11,Guayana Francesa,0,3,3
2022-12,Guayana Francesa,1,3,4
2023-01,Guayana Francesa,1,5,6
2023-02,Guayana Francesa,4,4,8
2023-03,Guayana Francesa,1,5,6
2023-04,Guayana Francesa,1,0,1
2023-05,Guayana Francesa,3,1,4
2023-06,Guayana Francesa,2,2,4
2023-08,Guayana Francesa,7,1,8
2023-09,Guayana Francesa,0,1,1
2023-10,Guayana Francesa,1,4,5
2023-11,Guayana Francesa,1,1,2
2023-12,Guayana Francesa,0,3,3
2024-01,Guayana Francesa,0,5,5
2024-02,Guayana Francesa,0,3,3
2024-03,Guayana Francesa,0,1,1
2024-04,Guayana Francesa,0,2,2
2024-05,Guayana Francesa,2,2,4
2024-06,Guayana Francesa,1,5,6
2024-07,Guayana Francesa,0,3,3
2024-08,Guayana Francesa,1,4,5
2024-09,Guayana Francesa,1,2,3
2024-10,Guayana Francesa,3,1,4
2024-11,Guayana Francesa,0,1,1
2024-12,Guayana Francesa,0,2,2
2025-01,Guayana Francesa,8,5,13
2025-02,Guayana Francesa,2,4,6
2025-03,Guayana Francesa,3,1,4
2025-04,Guayana Francesa,1,1,2
2025-05,Guayana Francesa,2,1,3
2025-06,Guayana Francesa,0,2,2
2025-07,Guayana Francesa,3,8,11
2025-08,Guayana Francesa,3,2,5
2025-09,Guayana Francesa,1,1,2
2025-10,Guayana Francesa,5,7,12
2025-11,Guayana Francesa,2,3,5
2025-12,Guayana Francesa,2,2,4
