Fecha,País destino,Femenino,Masculino,Total
2012-01,Guinea Ecuatorial,5,16,21
2012-02,Guinea Ecuatorial,2,18,20
2012-03,Guinea Ecuatorial,0,9,9
2012-04,Guinea Ecuatorial,1,9,10
2012-05,Guinea Ecuatorial,3,10,13
2012-06,Guinea Ecuatorial,2,5,7
2012-07,Guinea Ecuatorial,4,11,15
2012-08,Guinea Ecuatorial,1,4,5
2012-09,Guinea Ecuatorial,2,5,7
2012-10,Guinea Ecuatorial,2,16,18
2012-11,Guinea Ecuatorial,0,8,8
2012-12,Guinea Ecuatorial,0,1,1
2013-01,Guinea Ecuatorial,3,28,31
2013-02,Guinea Ecuatorial,2,7,9
2013-03,Guinea Ecuatorial,2,9,11
2013-04,Guinea Ecuatorial,0,7,7
2013-05,Guinea Ecuatorial,0,6,6
2013-06,Guinea Ecuatorial,3,9,12
2013-07,Guinea Ecuatorial,4,17,21
2013-08,Guinea Ecuatorial,3,7,10
2013-09,Guinea Ecuatorial,1,6,7
2013-10,Guinea Ecuatorial,0,8,8
2013-11,Guinea Ecuatorial,2,11,13
2013-12,Guinea Ecuatorial,0,9,9
2014-01,Guinea Ecuatorial,12,34,46
2014-02,Guinea Ecuatorial,1,12,13
2014-03,Guinea Ecuatorial,2,7,9
2014-04,Guinea Ecuatorial,2,15,17
2014-05,Guinea Ecuatorial,0,17,17
2014-06,Guinea Ecuatorial,0,6,6
2014-07,Guinea Ecuatorial,6,8,14
2014-08,Guinea Ecuatorial,5,18,23
2014-09,Guinea Ecuatorial,3,14,17
2014-10,Guinea Ecuatorial,4,8,12
2014-11,Guinea Ecuatorial,4,9,13
2014-12,Guinea Ecuatorial,0,4,4
2015-01,Guinea Ecuatorial,7,29,36
2015-02,Guinea Ecuatorial,3,5,8
2015-03,Guinea Ecuatorial,3,8,11
2015-04,Guinea Ecuatorial,5,8,13
2015-05,Guinea Ecuatorial,5,12,17
2015-06,Guinea Ecuatorial,4,5,9
2015-07,Guinea Ecuatorial,3,8,11
2015-08,Guinea Ecuatorial,5,8,13
2015-09,Guinea Ecuatorial,4,6,10
2015-10,Guinea Ecuatorial,5,11,16
2015-11,Guinea Ecuatorial,3,12,15
2015-12,Guinea Ecuatorial,1,1,2
