Fecha,País destino,Femenino,Masculino,Total
2012-01,Guyana,3,19,22
2012-02,Guyana,0,1,1
2012-03,Guyana,2,6,8
2012-04,Guyana,0,8,8
2012-05,Guyana,4,2,6
2012-06,Guyana,2,0,2
2012-07,Guyana,4,12,16
2012-08,Guyana,2,3,5
2012-09,Guyana,1,7,8
2012-10,Guyana,1,5,6
2012-11,Guyana,4,4,8
2012-12,Guyana,1,1,2
2013-01,Guyana,7,7,14
2013-02,Guyana,1,4,5
2013-03,Guyana,3,4,7
2013-04,Guyana,3,4,7
2013-05,Guyana,5,9,14
2013-06,Guyana,5,6,11
2013-07,Guyana,4,1,5
2013-08,Guyana,10,11,21
2013-09,Guyana,1,4,5
2013-10,Guyana,2,7,9
2013-11,Guyana,3,0,3
2013-12,Guyana,2,6,8
2014-01,Guyana,3,9,12
2014-02,Guyana,2,0,2
2014-03,Guyana,1,1,2
2014-04,Guyana,3,9,12
2014-05,Guyana,2,2,4
2014-06,Guyana,0,2,2
2014-07,Guyana,3,2,5
2014-08,Guyana,8,8,16
2014-09,Guyana,4,3,7
2014-10,Guyana,2,4,6
2014-11,Guyana,5,20,25
2014-12,Guyana,2,1,3
2015-01,Guyana,6,7,13
2015-02,Guyana,2,10,12
2015-03,Guyana,3,3,6
2015-04,Guyana,0,1,1
2015-05,Guyana,3,3,6
2015-06,Guyana,2,4,6
2015-07,Guyana,3,8,11
2015-08,Guyana,8,11,19
2015-09,Guyana,9,8,17
2015-10,Guyana,1,7,8
2015-11,Guyana,3,3,6
2015-12,Guyana,0,1,1
2016-01,Guyana,10,14,24
2016-02,Guyana,3,4,7
2016-03,Guyana,4,12,16
2016-04,Guyana,1,2,3
2016-05,Guyana,3,6,9
2016-06,Guyana,1,1,2
2016-07,Guyana,4,8,12
2016-08,Guyana,4,11,15
2016-09,Guyana,4,11,15
2016-10,Guyana,0,7,7
2016-11,Guyana,3,3,6
2016-12,Guyana,4,6,10
2017-01,Guyana,5,9,14
2017-02,Guyana,2,5,7
2017-03,Guyana,1,8,9
2017-04,Guyana,3,7,10
2017-05,Guyana,4,11,15
2017-06,Guyana,9,14,23
2017-07,Guyana,2,8,10
2017-08,Guyana,7,8,15
2017-09,Guyana,4,7,11
2017-10,Guyana,0,2,2
2017-11,Guyana,3,4,7
2017-12,Guyana,3,5,8
2018-01,Guyana,5,17,22
2018-02,Guyana,2,4,6
2018-03,Guyana,4,12,16
2018-04,Guyana,0,7,7
2018-05,Guyana,2,5,7
2018-06,Guyana,6,11,17
2018-07,Guyana,8,6,14
2018-08,Guyana,4,14,18
2018-09,Guyana,5,10,15
2018-10,Guyana,6,13,19
2018-11,Guyana,17,29,46
2018-12,Guyana,3,4,7
2019-01,Guyana,11,20,31
2019-02,Guyana,6,17,23
2019-03,Guyana,3,12,15
2019-04,Guyana,8,24,32
2019-05,Guyana,3,14,17
2019-06,Guyana,4,15,19
2019-07,Guyana,14,20,34
2019-08,Guyana,9,28,37
2019-09,Guyana,7,10,17
2019-10,Guyana,6,22,28
2019-11,Guyana,11,8,19
2019-12,Guyana,11,14,25
2020-01,Guyana,10,24,34
2020-02,Guyana,4,19,23
2020-03,Guyana,2,7,9
2020-07,Guyana,0,3,3
2020-09,Guyana,1,5,6
2020-10,Guyana,1,9,10
2020-11,Guyana,2,6,8
2020-12,Guyana,4,3,7
2021-01,Guyana,9,22,31
2021-02,Guyana,5,11,16
2021-03,Guyana,7,34,41
2021-04,Guyana,11,14,25
2021-05,Guyana,8,11,19
2021-06,Guyana,7,19,26
2021-07,Guyana,7,22,29
2021-08,Guyana,13,30,43
2021-09,Guyana,10,27,37
2021-10,Guyana,7,37,44
2021-11,Guyana,14,40,54
2021-12,Guyana,11,32,43
2022-01,Guyana,20,51,71
2022-02,Guyana,11,29,40
2022-03,Guyana,10,35,45
2022-04,Guyana,7,30,37
2022-05,Guyana,10,46,56
2022-06,Guyana,14,30,44
2022-07,Guyana,17,37,54
2022-08,Guyana,18,48,66
2022-09,Guyana,8,32,40
2022-10,Guyana,7,40,47
2022-11,Guyana,4,26,30
2022-12,Guyana,1,21,22
2023-01,Guyana,10,50,60
2023-02,Guyana,9,35,44
2023-03,Guyana,11,38,49
2023-04,Guyana,11,44,55
2023-05,Guyana,15,42,57
2023-06,Guyana,13,37,50
2023-07,Guyana,12,42,54
2023-08,Guyana,12,38,50
2023-09,Guyana,5,33,38
2023-10,Guyana,3,33,36
2023-11,Guyana,9,63,72
2023-12,Guyana,16,42,58
2024-01,Guyana,9,42,51
2024-02,Guyana,9,56,65
2024-03,Guyana,11,39,50
2024-04,Guyana,13,51,64
2024-05,Guyana,6,37,43
2024-06,Guyana,12,50,62
2024-07,Guyana,6,65,71
2024-08,Guyana,17,33,50
2024-09,Guyana,15,58,73
2024-10,Guyana,5,41,46
2024-11,Guyana,8,23,31
2024-12,Guyana,40,47,87
2025-01,Guyana,53,142,195
2025-02,Guyana,33,123,156
2025-03,Guyana,53,125,178
2025-04,Guyana,54,118,172
2025-05,Guyana,52,141,193
2025-06,Guyana,63,136,199
2025-07,Guyana,74,165,239
2025-08,Guyana,69,195,264
2025-09,Guyana,54,166,220
2025-10,Guyana,69,189,259
2025-11,Guyana,67,207,274
2025-12,Guyana,76,145,221
