Fecha,País destino,Femenino,Masculino,Total
2012-01,Irán (República Islámica Del),3,4,7
2012-02,Irán (República Islámica Del),3,4,7
2012-03,Irán (República Islámica Del),0,4,4
2012-04,Irán (República Islámica Del),2,2,4
2012-05,Irán (República Islámica Del),0,7,7
2012-06,Irán (República Islámica Del),0,1,1
2012-07,Irán (República Islámica Del),4,7,11
2012-08,Irán (República Islámica Del),3,4,7
2012-09,Irán (República Islámica Del),2,3,5
2012-10,Irán (República Islámica Del),4,6,10
2012-11,Irán (República Islámica Del),1,1,2
2012-12,Irán (República Islámica Del),2,0,2
2013-01,Irán (República Islámica Del),1,6,7
2013-02,Irán (República Islámica Del),2,0,2
2013-03,Irán (República Islámica Del),3,4,7
2013-04,Irán (República Islámica Del),4,6,10
2013-05,Irán (República Islámica Del),2,1,3
2013-06,Irán (República Islámica Del),1,4,5
2013-07,Irán (República Islámica Del),0,3,3
2013-08,Irán (República Islámica Del),1,1,2
2013-09,Irán (República Islámica Del),6,5,11
2013-10,Irán (República Islámica Del),2,6,8
2013-11,Irán (República Islámica Del),4,2,6
2013-12,Irán (República Islámica Del),7,7,14
2014-01,Irán (República Islámica Del),0,1,1
2014-02,Irán (República Islámica Del),3,0,3
2014-03,Irán (República Islámica Del),0,5,5
2014-04,Irán (República Islámica Del),2,7,9
2014-05,Irán (República Islámica Del),3,3,6
2014-06,Irán (República Islámica Del),3,5,8
2014-07,Irán (República Islámica Del),2,3,5
2014-08,Irán (República Islámica Del),3,7,10
2014-09,Irán (República Islámica Del),4,1,5
2014-10,Irán (República Islámica Del),4,2,6
2014-11,Irán (República Islámica Del),3,3,6
2014-12,Irán (República Islámica Del),8,14,22
2015-01,Irán (República Islámica Del),1,2,3
2015-02,Irán (República Islámica Del),2,2,4
2015-03,Irán (República Islámica Del),6,3,9
2015-04,Irán (República Islámica Del),2,1,3
2015-05,Irán (República Islámica Del),4,3,7
2015-06,Irán (República Islámica Del),6,2,8
2015-07,Irán (República Islámica Del),1,4,5
2015-08,Irán (República Islámica Del),2,5,7
2015-09,Irán (República Islámica Del),10,8,18
2015-10,Irán (República Islámica Del),1,3,4
2015-11,Irán (República Islámica Del),4,3,7
2015-12,Irán (República Islámica Del),1,1,2
2016-01,Irán (República Islámica Del),0,3,3
2016-02,Irán (República Islámica Del),3,8,11
2016-03,Irán (República Islámica Del),1,1,2
2016-04,Irán (República Islámica Del),2,2,4
2016-05,Irán (República Islámica Del),0,3,3
2016-06,Irán (República Islámica Del),4,0,4
2016-07,Irán (República Islámica Del),0,4,4
2016-08,Irán (República Islámica Del),4,1,5
2016-09,Irán (República Islámica Del),12,7,19
2016-10,Irán (República Islámica Del),1,3,4
2016-11,Irán (República Islámica Del),2,4,6
2016-12,Irán (República Islámica Del),6,5,11
2017-01,Irán (República Islámica Del),3,7,10
2017-02,Irán (República Islámica Del),4,6,10
2017-03,Irán (República Islámica Del),1,2,3
2017-04,Irán (República Islámica Del),2,1,3
2017-05,Irán (República Islámica Del),1,0,1
2017-06,Irán (República Islámica Del),5,0,5
2017-07,Irán (República Islámica Del),2,2,4
2017-08,Irán (República Islámica Del),3,0,3
2017-09,Irán (República Islámica Del),4,5,9
2017-11,Irán (República Islámica Del),3,2,5
2017-12,Irán (República Islámica Del),1,3,4
2018-01,Irán (República Islámica Del),2,1,3
2018-02,Irán (República Islámica Del),2,2,4
2018-03,Irán (República Islámica Del),4,3,7
2018-04,Irán (República Islámica Del),2,2,4
2018-05,Irán (República Islámica Del),0,1,1
2018-06,Irán (República Islámica Del),1,2,3
2018-07,Irán (República Islámica Del),4,0,4
2018-08,Irán (República Islámica Del),0,1,1
2018-09,Irán (República Islámica Del),4,1,5
2018-10,Irán (República Islámica Del),1,2,3
2018-12,Irán (República Islámica Del),0,3,3
2019-01,Irán (República Islámica Del),1,0,1
2019-02,Irán (República Islámica Del),1,1,2
2019-03,Irán (República Islámica Del),0,2,2
2019-04,Irán (República Islámica Del),3,0,3
2019-05,Irán (República Islámica Del),2,1,3
2019-06,Irán (República Islámica Del),4,3,7
2019-07,Irán (República Islámica Del),0,1,1
2019-09,Irán (República Islámica Del),3,1,4
2019-10,Irán (República Islámica Del),4,1,5
