Fecha,País destino,Femenino,Masculino,Total
2012-01,Islas Caimán,32,32,64
2012-02,Islas Caimán,4,5,9
2012-03,Islas Caimán,5,10,15
2012-04,Islas Caimán,8,5,13
2012-05,Islas Caimán,2,2,4
2012-06,Islas Caimán,23,10,33
2012-07,Islas Caimán,28,15,43
2012-08,Islas Caimán,30,6,36
2012-09,Islas Caimán,12,6,18
2012-10,Islas Caimán,6,1,7
2012-11,Islas Caimán,4,1,5
2012-12,Islas Caimán,119,74,193
2013-01,Islas Caimán,39,36,75
2013-02,Islas Caimán,5,5,10
2013-03,Islas Caimán,32,11,43
2013-04,Islas Caimán,33,16,49
2013-05,Islas Caimán,1,2,3
2013-06,Islas Caimán,30,21,51
2013-07,Islas Caimán,10,9,19
2013-08,Islas Caimán,21,6,27
2013-09,Islas Caimán,6,3,9
2013-10,Islas Caimán,6,4,10
2013-11,Islas Caimán,8,2,10
2013-12,Islas Caimán,86,52,138
2014-01,Islas Caimán,26,24,50
2014-02,Islas Caimán,8,4,12
2014-03,Islas Caimán,4,2,6
2014-04,Islas Caimán,66,44,110
2014-05,Islas Caimán,7,3,10
2014-06,Islas Caimán,8,7,15
2014-07,Islas Caimán,10,5,15
2014-08,Islas Caimán,4,4,8
2014-09,Islas Caimán,10,3,13
2014-10,Islas Caimán,10,5,15
2014-11,Islas Caimán,5,2,7
2014-12,Islas Caimán,36,27,63
2015-01,Islas Caimán,27,23,50
2015-02,Islas Caimán,4,3,7
2015-03,Islas Caimán,8,10,18
2015-04,Islas Caimán,6,4,10
2015-05,Islas Caimán,0,3,3
2015-06,Islas Caimán,6,2,8
2015-07,Islas Caimán,12,3,15
2015-08,Islas Caimán,12,2,14
2015-09,Islas Caimán,8,9,17
2015-10,Islas Caimán,10,4,14
2015-11,Islas Caimán,6,2,8
2015-12,Islas Caimán,12,6,18
2016-01,Islas Caimán,14,18,32
2016-02,Islas Caimán,4,3,7
2016-03,Islas Caimán,5,5,10
2016-04,Islas Caimán,10,5,15
2016-05,Islas Caimán,8,1,9
2016-06,Islas Caimán,7,7,14
2016-07,Islas Caimán,8,4,12
2016-08,Islas Caimán,15,8,23
2016-09,Islas Caimán,8,4,12
2016-10,Islas Caimán,8,6,14
2016-11,Islas Caimán,4,2,6
2016-12,Islas Caimán,96,78,174
2017-01,Islas Caimán,24,22,46
2017-02,Islas Caimán,10,3,13
2017-03,Islas Caimán,2,1,3
2017-04,Islas Caimán,40,19,59
2017-05,Islas Caimán,3,6,9
2017-06,Islas Caimán,10,5,15
2017-07,Islas Caimán,11,10,21
2017-08,Islas Caimán,6,2,8
2017-09,Islas Caimán,2,1,3
2017-10,Islas Caimán,3,1,4
2017-11,Islas Caimán,9,7,16
2017-12,Islas Caimán,83,49,132
2018-01,Islas Caimán,34,37,71
2018-02,Islas Caimán,7,6,13
2018-03,Islas Caimán,4,2,6
2018-04,Islas Caimán,14,9,23
2018-05,Islas Caimán,8,7,15
2018-06,Islas Caimán,7,3,10
2018-07,Islas Caimán,13,7,20
2018-08,Islas Caimán,32,9,41
2018-09,Islas Caimán,6,6,12
2018-10,Islas Caimán,5,10,15
2018-11,Islas Caimán,7,4,11
2018-12,Islas Caimán,16,7,23
2019-01,Islas Caimán,17,27,44
2019-02,Islas Caimán,9,2,11
2019-03,Islas Caimán,4,6,10
2019-04,Islas Caimán,11,7,18
2019-05,Islas Caimán,12,11,23
2019-06,Islas Caimán,16,7,23
2019-07,Islas Caimán,7,7,14
2019-08,Islas Caimán,21,8,29
2019-09,Islas Caimán,7,5,12
2019-10,Islas Caimán,10,8,18
2019-11,Islas Caimán,14,9,23
2019-12,Islas Caimán,62,27,89
2020-01,Islas Caimán,35,30,65
2020-02,Islas Caimán,9,5,14
2020-03,Islas Caimán,5,4,9
2020-07,Islas Caimán,2,2,4
2020-10,Islas Caimán,1,0,1
2020-12,Islas Caimán,3,0,3
2021-01,Islas Caimán,0,2,2
2021-03,Islas Caimán,3,2,5
2021-04,Islas Caimán,0,1,1
2021-05,Islas Caimán,2,1,3
2021-06,Islas Caimán,2,3,5
2021-07,Islas Caimán,1,3,4
2021-08,Islas Caimán,3,1,4
2021-09,Islas Caimán,6,1,7
2021-10,Islas Caimán,1,6,7
2021-11,Islas Caimán,5,1,6
2021-12,Islas Caimán,5,5,10
2022-01,Islas Caimán,15,15,30
2022-02,Islas Caimán,11,8,19
2022-03,Islas Caimán,9,7,16
2022-04,Islas Caimán,13,8,21
2022-05,Islas Caimán,12,9,21
2022-06,Islas Caimán,6,11,17
2022-07,Islas Caimán,14,13,27
2022-08,Islas Caimán,14,12,26
2022-09,Islas Caimán,6,8,14
2022-10,Islas Caimán,12,6,18
2022-11,Islas Caimán,16,5,21
2022-12,Islas Caimán,17,11,28
2023-01,Islas Caimán,18,27,45
2023-02,Islas Caimán,8,20,28
2023-03,Islas Caimán,9,5,14
2023-04,Islas Caimán,12,10,22
2023-05,Islas Caimán,8,12,20
2023-06,Islas Caimán,12,10,22
2023-07,Islas Caimán,20,17,37
2023-08,Islas Caimán,24,7,31
2023-09,Islas Caimán,11,8,19
2023-10,Islas Caimán,18,9,27
2023-11,Islas Caimán,14,8,22
2023-12,Islas Caimán,19,15,34
2024-01,Islas Caimán,20,26,46
2024-02,Islas Caimán,13,11,24
2024-03,Islas Caimán,10,9,19
2024-04,Islas Caimán,12,6,18
2024-05,Islas Caimán,10,5,15
2024-06,Islas Caimán,7,7,14
2024-07,Islas Caimán,16,8,24
2024-08,Islas Caimán,10,5,15
2024-09,Islas Caimán,9,7,16
2024-10,Islas Caimán,12,7,19
2024-11,Islas Caimán,15,9,24
2024-12,Islas Caimán,18,11,29
2025-01,Islas Caimán,10,15,25
2025-02,Islas Caimán,3,2,5
2025-03,Islas Caimán,5,10,15
2025-04,Islas Caimán,10,6,16
2025-05,Islas Caimán,13,9,22
2025-06,Islas Caimán,10,8,18
2025-07,Islas Caimán,16,11,27
2025-08,Islas Caimán,18,13,31
2025-09,Islas Caimán,5,6,11
2025-10,Islas Caimán,17,7,24
2025-11,Islas Caimán,11,6,17
2025-12,Islas Caimán,25,12,37
