Fecha,País destino,Femenino,Masculino,Total
2012-02,Islas Turcas Y Caicos,0,2,2
2014-06,Islas Turcas Y Caicos,0,1,1
2014-11,Islas Turcas Y Caicos,1,0,1
2014-12,Islas Turcas Y Caicos,10,12,22
2015-03,Islas Turcas Y Caicos,0,1,1
2015-04,Islas Turcas Y Caicos,2,3,5
2015-05,Islas Turcas Y Caicos,1,0,1
2015-12,Islas Turcas Y Caicos,4,3,7
2016-08,Islas Turcas Y Caicos,3,6,9
2016-09,Islas Turcas Y Caicos,1,0,1
2016-10,Islas Turcas Y Caicos,0,1,1
2017-04,Islas Turcas Y Caicos,4,4,8
2017-06,Islas Turcas Y Caicos,0,6,6
2017-08,Islas Turcas Y Caicos,4,3,7
2018-01,Islas Turcas Y Caicos,1,0,1
2018-03,Islas Turcas Y Caicos,0,1,1
2018-10,Islas Turcas Y Caicos,1,1,2
2019-01,Islas Turcas Y Caicos,1,4,5
2019-04,Islas Turcas Y Caicos,3,1,4
2019-05,Islas Turcas Y Caicos,2,0,2
2019-12,Islas Turcas Y Caicos,2,9,11
2020-06,Islas Turcas Y Caicos,0,3,3
2020-10,Islas Turcas Y Caicos,3,4,7
2020-11,Islas Turcas Y Caicos,1,1,2
2020-12,Islas Turcas Y Caicos,2,4,6
2021-01,Islas Turcas Y Caicos,2,2,4
2021-02,Islas Turcas Y Caicos,5,1,6
2021-03,Islas Turcas Y Caicos,11,11,22
2021-04,Islas Turcas Y Caicos,6,7,13
2021-05,Islas Turcas Y Caicos,8,14,22
2021-06,Islas Turcas Y Caicos,3,0,3
2021-07,Islas Turcas Y Caicos,11,6,17
2021-08,Islas Turcas Y Caicos,3,6,9
2021-09,Islas Turcas Y Caicos,2,2,4
2021-10,Islas Turcas Y Caicos,1,3,4
2021-11,Islas Turcas Y Caicos,2,6,8
2021-12,Islas Turcas Y Caicos,3,2,5
2022-01,Islas Turcas Y Caicos,10,16,26
2022-02,Islas Turcas Y Caicos,3,1,4
2022-03,Islas Turcas Y Caicos,4,0,4
2022-04,Islas Turcas Y Caicos,5,6,11
2022-05,Islas Turcas Y Caicos,3,5,8
2022-06,Islas Turcas Y Caicos,5,5,10
2022-07,Islas Turcas Y Caicos,2,2,4
2022-08,Islas Turcas Y Caicos,7,11,18
2022-09,Islas Turcas Y Caicos,4,1,5
2022-10,Islas Turcas Y Caicos,0,7,7
2022-11,Islas Turcas Y Caicos,13,18,31
2022-12,Islas Turcas Y Caicos,14,13,27
2023-01,Islas Turcas Y Caicos,7,10,17
2023-02,Islas Turcas Y Caicos,2,6,8
2023-03,Islas Turcas Y Caicos,9,6,15
2023-04,Islas Turcas Y Caicos,3,1,4
2023-05,Islas Turcas Y Caicos,5,8,13
2023-06,Islas Turcas Y Caicos,2,5,7
2023-07,Islas Turcas Y Caicos,2,2,4
2023-08,Islas Turcas Y Caicos,3,4,7
2023-09,Islas Turcas Y Caicos,0,1,1
2023-10,Islas Turcas Y Caicos,16,24,40
2023-11,Islas Turcas Y Caicos,1,1,2
2023-12,Islas Turcas Y Caicos,2,2,4
2024-01,Islas Turcas Y Caicos,12,12,24
2024-02,Islas Turcas Y Caicos,5,4,9
2024-03,Islas Turcas Y Caicos,3,3,6
2024-04,Islas Turcas Y Caicos,8,10,18
2024-05,Islas Turcas Y Caicos,4,7,11
2024-06,Islas Turcas Y Caicos,15,13,28
2024-07,Islas Turcas Y Caicos,5,9,14
2024-08,Islas Turcas Y Caicos,8,16,24
2024-09,Islas Turcas Y Caicos,4,9,13
2024-10,Islas Turcas Y Caicos,3,13,16
2024-11,Islas Turcas Y Caicos,8,24,32
2024-12,Islas Turcas Y Caicos,14,6,20
2025-01,Islas Turcas Y Caicos,14,55,69
2025-02,Islas Turcas Y Caicos,6,7,13
2025-03,Islas Turcas Y Caicos,1,16,17
2025-04,Islas Turcas Y Caicos,7,13,20
2025-05,Islas Turcas Y Caicos,6,10,16
2025-06,Islas Turcas Y Caicos,1,10,11
2025-07,Islas Turcas Y Caicos,7,24,31
2025-08,Islas Turcas Y Caicos,10,29,39
2025-09,Islas Turcas Y Caicos,11,36,47
2025-10,Islas Turcas Y Caicos,3,4,7
2025-11,Islas Turcas Y Caicos,4,5,9
2025-12,Islas Turcas Y Caicos,8,5,13
