Fecha,País destino,Femenino,Masculino,Total
2012-03,Islas Åland,1,0,1
2012-11,Islas Åland,1,0,1
2012-12,Islas Åland,0,1,1
2013-01,Islas Åland,1,0,1
2013-09,Islas Åland,0,1,1
2013-10,Islas Åland,1,0,1
2014-08,Islas Åland,0,1,1
2015-01,Islas Åland,1,0,1
2015-03,Islas Åland,0,1,1
2016-09,Islas Åland,1,0,1
2021-09,Islas Åland,0,1,1
2022-02,Islas Åland,1,0,1
2022-12,Islas Åland,1,0,1
2023-06,Islas Åland,2,3,5
2023-07,Islas Åland,1,3,4
2023-08,Islas Åland,6,1,7
2023-09,Islas Åland,2,0,2
2023-10,Islas Åland,2,4,6
2023-11,Islas Åland,3,2,5
2023-12,Islas Åland,1,4,5
2024-01,Islas Åland,5,3,8
2024-02,Islas Åland,1,2,3
2024-03,Islas Åland,3,3,6
2024-04,Islas Åland,5,0,5
2024-05,Islas Åland,3,1,4
2024-06,Islas Åland,2,1,3
2024-07,Islas Åland,2,1,3
2024-08,Islas Åland,0,1,1
2024-09,Islas Åland,2,0,2
2024-10,Islas Åland,1,4,5
2024-12,Islas Åland,0,1,1
2025-01,Islas Åland,1,0,1
2025-02,Islas Åland,2,0,2
2025-03,Islas Åland,1,1,2
2025-05,Islas Åland,0,1,1
2025-06,Islas Åland,4,0,4
2025-07,Islas Åland,1,4,5
2025-08,Islas Åland,2,0,2
2025-09,Islas Åland,2,1,3
2025-10,Islas Åland,0,1,1
2025-11,Islas Åland,2,1,3
2025-12,Islas Åland,3,1,4
