Fecha,País destino,Femenino,Masculino,Total
2012-01,Jamaica,148,124,272
2012-02,Jamaica,51,46,97
2012-03,Jamaica,110,119,229
2012-04,Jamaica,228,166,394
2012-05,Jamaica,46,45,91
2012-06,Jamaica,219,150,369
2012-07,Jamaica,66,71,137
2012-08,Jamaica,84,74,158
2012-09,Jamaica,75,65,140
2012-10,Jamaica,88,83,171
2012-11,Jamaica,109,92,201
2012-12,Jamaica,130,134,264
2013-01,Jamaica,104,123,227
2013-02,Jamaica,48,63,111
2013-03,Jamaica,100,94,194
2013-04,Jamaica,31,55,86
2013-05,Jamaica,156,170,326
2013-06,Jamaica,92,74,166
2013-07,Jamaica,97,99,196
2013-08,Jamaica,192,194,386
2013-09,Jamaica,43,60,103
2013-10,Jamaica,60,76,136
2013-11,Jamaica,79,75,154
2013-12,Jamaica,113,128,241
2014-01,Jamaica,110,117,227
2014-02,Jamaica,25,29,54
2014-03,Jamaica,54,50,104
2014-04,Jamaica,87,100,187
2014-05,Jamaica,134,128,262
2014-06,Jamaica,96,100,196
2014-07,Jamaica,129,134,263
2014-08,Jamaica,143,117,260
2014-09,Jamaica,84,79,163
2014-10,Jamaica,123,117,240
2014-11,Jamaica,84,77,161
2014-12,Jamaica,98,75,173
2015-01,Jamaica,66,70,136
2015-02,Jamaica,30,37,67
2015-03,Jamaica,58,66,124
2015-04,Jamaica,52,55,107
2015-05,Jamaica,52,58,110
2015-06,Jamaica,63,73,136
2015-07,Jamaica,39,43,82
2015-08,Jamaica,75,88,163
2015-09,Jamaica,53,74,127
2015-10,Jamaica,55,70,125
2015-11,Jamaica,48,41,89
2015-12,Jamaica,66,58,124
2016-01,Jamaica,46,56,102
2016-02,Jamaica,18,44,62
2016-03,Jamaica,30,31,61
2016-04,Jamaica,34,45,79
2016-05,Jamaica,71,39,110
2016-06,Jamaica,61,64,125
2016-07,Jamaica,52,68,120
2016-08,Jamaica,59,87,146
2016-09,Jamaica,37,49,86
2016-10,Jamaica,382,319,701
2016-11,Jamaica,49,59,109
2016-12,Jamaica,56,65,122
2017-01,Jamaica,67,71,138
2017-02,Jamaica,30,36,66
2017-03,Jamaica,28,42,71
2017-04,Jamaica,62,53,115
2017-05,Jamaica,567,397,964
2017-06,Jamaica,57,65,122
2017-07,Jamaica,62,103,165
2017-08,Jamaica,52,63,115
2017-09,Jamaica,49,56,105
2017-10,Jamaica,634,462,27
2017-11,Jamaica,36,46,82
2017-12,Jamaica,112,1074,214
2018-01,Jamaica,96,99,195
2018-02,Jamaica,725,556,81
2018-03,Jamaica,578,434,1012
2018-04,Jamaica,58,41,99
2018-05,Jamaica,39,60,99
2018-06,Jamaica,68,96,164
2018-07,Jamaica,66,82,148
2018-08,Jamaica,72,67,139
2018-09,Jamaica,53,82,135
2018-10,Jamaica,84,96,180
2018-11,Jamaica,41,56,97
2018-12,Jamaica,78,79,157
2019-01,Jamaica,136,125,261
2019-02,Jamaica,687,515,76
2019-03,Jamaica,557,414,971
2019-04,Jamaica,76,911,161
2019-05,Jamaica,121,89,210
2019-06,Jamaica,80,86,166
2019-07,Jamaica,90,112,202
2019-08,Jamaica,119,91,210
2019-09,Jamaica,85,79,164
2019-10,Jamaica,85,94,179
2019-11,Jamaica,77,83,160
2019-12,Jamaica,143,133,276
2020-01,Jamaica,119,142,261
2020-02,Jamaica,69,65,134
2020-03,Jamaica,94,77,171
2020-05,Jamaica,5,7,12
2020-06,Jamaica,0,1,1
2020-08,Jamaica,5,11,16
2020-09,Jamaica,9,20,29
2020-10,Jamaica,18,18,36
2020-11,Jamaica,17,31,48
2020-12,Jamaica,19,19,38
2021-01,Jamaica,34,52,86
2021-02,Jamaica,30,41,71
2021-03,Jamaica,33,33,66
2021-04,Jamaica,6,18,24
2021-05,Jamaica,2,7,9
2021-06,Jamaica,5,9,14
2021-07,Jamaica,3,10,13
2021-08,Jamaica,2,8,10
2021-09,Jamaica,4,7,11
2021-10,Jamaica,8,15,23
2021-11,Jamaica,47,40,87
2021-12,Jamaica,71,77,148
2022-01,Jamaica,68,92,160
2022-02,Jamaica,66,76,142
2022-03,Jamaica,70,84,154
2022-04,Jamaica,91,88,179
2022-05,Jamaica,64,63,127
2022-06,Jamaica,125,112,237
2022-07,Jamaica,62,82,144
2022-08,Jamaica,48,70,118
2022-09,Jamaica,76,70,146
2022-10,Jamaica,84,74,158
2022-11,Jamaica,41,76,117
2022-12,Jamaica,102,93,195
2023-01,Jamaica,99,112,211
2023-02,Jamaica,75,74,149
2023-03,Jamaica,95,108,203
2023-04,Jamaica,86,177,263
2023-05,Jamaica,78,136,214
2023-06,Jamaica,99,97,196
2023-07,Jamaica,94,83,177
2023-08,Jamaica,86,84,170
2023-09,Jamaica,109,125,234
2023-10,Jamaica,88,88,176
2023-11,Jamaica,96,113,209
2023-12,Jamaica,138,111,249
2024-01,Jamaica,90,91,181
2024-02,Jamaica,54,63,117
2024-03,Jamaica,123,92,215
2024-04,Jamaica,78,80,158
2024-05,Jamaica,133,102,235
2024-06,Jamaica,147,127,274
2024-07,Jamaica,85,103,188
2024-08,Jamaica,123,142,265
2024-09,Jamaica,131,123,254
2024-10,Jamaica,170,152,322
2024-11,Jamaica,100,81,181
2024-12,Jamaica,116,99,215
2025-01,Jamaica,97,105,202
2025-02,Jamaica,58,55,113
2025-03,Jamaica,74,73,147
2025-04,Jamaica,92,82,174
2025-05,Jamaica,98,91,189
2025-06,Jamaica,155,132,287
2025-07,Jamaica,142,122,264
2025-08,Jamaica,126,106,232
2025-09,Jamaica,124,114,238
2025-10,Jamaica,362,335,697
2025-11,Jamaica,40,58,98
2025-12,Jamaica,356,317,673
