Fecha,País destino,Femenino,Masculino,Total
2012-01,Jordania,3,1,4
2012-02,Jordania,2,3,5
2012-03,Jordania,4,2,6
2012-04,Jordania,5,4,9
2012-05,Jordania,3,4,7
2012-06,Jordania,5,6,11
2012-07,Jordania,5,6,11
2012-08,Jordania,5,6,11
2012-09,Jordania,2,4,6
2012-10,Jordania,1,6,7
2012-11,Jordania,12,10,22
2012-12,Jordania,5,3,8
2013-01,Jordania,0,3,3
2013-02,Jordania,3,5,8
2013-03,Jordania,0,3,3
2013-04,Jordania,7,5,12
2013-05,Jordania,16,10,26
2013-06,Jordania,9,12,21
2013-07,Jordania,5,5,10
2013-08,Jordania,1,5,6
2013-09,Jordania,9,6,15
2013-10,Jordania,39,31,70
2013-11,Jordania,7,8,15
2013-12,Jordania,6,7,13
2014-01,Jordania,3,6,9
2014-02,Jordania,5,10,15
2014-03,Jordania,2,2,4
2014-04,Jordania,9,5,14
2014-05,Jordania,2,3,5
2014-06,Jordania,1,10,11
2014-07,Jordania,5,12,17
2014-08,Jordania,6,4,10
2014-09,Jordania,2,3,5
2014-10,Jordania,10,1,11
2014-11,Jordania,7,9,16
2014-12,Jordania,4,7,11
2015-01,Jordania,0,1,1
2015-02,Jordania,4,1,5
2015-03,Jordania,1,5,6
2015-04,Jordania,2,9,11
2015-05,Jordania,1,1,2
2015-06,Jordania,2,10,12
2015-07,Jordania,11,13,24
2015-08,Jordania,2,4,6
2015-09,Jordania,5,6,11
2015-10,Jordania,2,5,7
2015-11,Jordania,0,3,3
2015-12,Jordania,4,7,11
2016-01,Jordania,3,5,8
2016-02,Jordania,1,1,2
2016-03,Jordania,3,2,5
2016-04,Jordania,3,2,5
2016-05,Jordania,1,6,7
2016-06,Jordania,2,4,6
2016-07,Jordania,1,3,4
2016-08,Jordania,1,5,6
2016-09,Jordania,3,3,6
2016-10,Jordania,1,2,3
2016-11,Jordania,0,2,2
2016-12,Jordania,3,2,5
2017-01,Jordania,2,1,3
2017-02,Jordania,0,1,1
2017-03,Jordania,5,2,7
2017-04,Jordania,4,2,6
2017-05,Jordania,3,3,6
2017-06,Jordania,2,7,9
2017-07,Jordania,2,1,3
2017-08,Jordania,3,6,9
2017-11,Jordania,0,2,2
2017-12,Jordania,4,3,7
2018-01,Jordania,2,0,2
2018-02,Jordania,1,3,4
2018-03,Jordania,3,3,6
2018-04,Jordania,2,5,7
2018-05,Jordania,2,3,5
2018-06,Jordania,5,7,12
2018-07,Jordania,1,2,3
2018-08,Jordania,5,0,5
2018-09,Jordania,1,4,5
2018-10,Jordania,0,1,1
2018-11,Jordania,3,0,3
2018-12,Jordania,1,1,2
2019-01,Jordania,1,2,3
2019-02,Jordania,2,3,5
2019-03,Jordania,4,0,4
2019-04,Jordania,2,1,3
2019-05,Jordania,1,3,4
2019-06,Jordania,2,1,3
2019-07,Jordania,5,4,9
2019-08,Jordania,2,0,2
2019-09,Jordania,2,3,5
2019-10,Jordania,3,3,6
2019-11,Jordania,0,1,1
2019-12,Jordania,3,0,3
2020-01,Jordania,5,2,7
2020-02,Jordania,2,2,4
2021-01,Jordania,6,5,11
2021-02,Jordania,2,2,4
2021-03,Jordania,0,1,1
2021-04,Jordania,2,1,3
2021-05,Jordania,0,4,4
2021-06,Jordania,4,3,7
2021-07,Jordania,8,5,13
2021-08,Jordania,5,5,10
2021-09,Jordania,5,2,7
2021-10,Jordania,8,3,11
2021-11,Jordania,1,5,6
2021-12,Jordania,9,7,16
2022-01,Jordania,9,7,16
2022-02,Jordania,2,1,3
2022-03,Jordania,4,4,8
2022-04,Jordania,4,6,10
2022-05,Jordania,4,5,9
2022-06,Jordania,7,3,10
2022-07,Jordania,8,6,14
2022-08,Jordania,4,6,10
2022-09,Jordania,4,3,7
2022-10,Jordania,6,6,12
2022-11,Jordania,5,7,12
2022-12,Jordania,7,5,12
2023-01,Jordania,6,10,16
2023-02,Jordania,0,6,6
2023-03,Jordania,5,8,13
2023-04,Jordania,5,2,7
2023-05,Jordania,6,7,13
2023-06,Jordania,6,4,10
2023-07,Jordania,10,6,16
2023-08,Jordania,10,5,15
2023-09,Jordania,7,5,12
2023-10,Jordania,3,2,5
2023-11,Jordania,1,1,2
2023-12,Jordania,8,3,11
2024-01,Jordania,3,9,12
2024-02,Jordania,3,1,4
2024-03,Jordania,2,2,4
2024-04,Jordania,13,12,25
2024-05,Jordania,2,5,7
2024-06,Jordania,5,4,9
2024-07,Jordania,3,1,4
2024-08,Jordania,6,7,13
2024-09,Jordania,4,9,13
2024-10,Jordania,2,8,10
2024-11,Jordania,2,1,3
2024-12,Jordania,4,5,9
2025-01,Jordania,5,5,10
2025-02,Jordania,7,6,13
2025-03,Jordania,6,5,11
2025-04,Jordania,3,5,8
2025-05,Jordania,18,13,31
2025-06,Jordania,1,2,3
2025-07,Jordania,2,6,8
2025-08,Jordania,2,2,4
2025-09,Jordania,1,2,3
2025-10,Jordania,2,1,3
2025-11,Jordania,6,4,10
2025-12,Jordania,13,4,17
