Fecha,País destino,Femenino,Masculino,Total
2012-01,Kuwait,1,3,4
2012-02,Kuwait,3,3,6
2012-03,Kuwait,1,4,5
2012-04,Kuwait,0,4,4
2012-05,Kuwait,2,3,5
2012-06,Kuwait,1,1,2
2012-07,Kuwait,2,3,5
2012-08,Kuwait,11,4,15
2012-09,Kuwait,2,2,4
2012-10,Kuwait,0,4,4
2012-11,Kuwait,1,1,2
2013-01,Kuwait,6,10,16
2013-02,Kuwait,1,1,2
2013-03,Kuwait,2,1,3
2013-04,Kuwait,0,2,2
2013-05,Kuwait,3,6,9
2013-07,Kuwait,1,9,10
2013-08,Kuwait,4,4,8
2013-09,Kuwait,0,2,2
2013-10,Kuwait,0,5,5
2013-11,Kuwait,1,3,4
2013-12,Kuwait,1,4,5
2014-01,Kuwait,4,2,6
2014-02,Kuwait,0,1,1
2014-03,Kuwait,0,3,3
2014-04,Kuwait,4,2,6
2014-05,Kuwait,1,1,2
2014-06,Kuwait,0,6,6
2014-07,Kuwait,2,2,4
2014-08,Kuwait,1,4,5
2014-09,Kuwait,1,1,2
2014-10,Kuwait,3,6,9
2014-11,Kuwait,0,2,2
2015-01,Kuwait,5,11,16
2015-02,Kuwait,2,1,3
2015-03,Kuwait,1,3,4
2015-04,Kuwait,0,2,2
2015-05,Kuwait,4,3,7
2015-06,Kuwait,1,3,4
2015-07,Kuwait,5,1,6
2015-08,Kuwait,4,5,9
2015-09,Kuwait,7,2,9
2015-10,Kuwait,2,2,4
2015-11,Kuwait,3,9,12
2015-12,Kuwait,3,1,4
2016-01,Kuwait,6,6,12
2016-02,Kuwait,0,2,2
2016-03,Kuwait,4,6,10
2016-04,Kuwait,1,4,5
2016-05,Kuwait,1,0,1
2016-06,Kuwait,0,2,2
2016-07,Kuwait,2,2,4
2016-08,Kuwait,5,3,8
2016-09,Kuwait,1,1,2
2016-10,Kuwait,1,0,1
2016-11,Kuwait,1,4,5
2016-12,Kuwait,0,3,3
2017-01,Kuwait,7,8,15
2017-02,Kuwait,1,0,1
2017-03,Kuwait,0,4,4
2017-04,Kuwait,0,1,1
2017-05,Kuwait,0,1,1
2017-06,Kuwait,2,4,6
2017-07,Kuwait,3,9,12
2017-08,Kuwait,4,5,9
2017-09,Kuwait,1,2,3
2017-10,Kuwait,0,1,1
2017-11,Kuwait,0,1,1
2017-12,Kuwait,1,10,11
2018-01,Kuwait,5,9,14
2018-02,Kuwait,1,3,4
2018-03,Kuwait,0,2,2
2018-04,Kuwait,1,9,10
2018-05,Kuwait,0,3,3
2018-06,Kuwait,6,2,8
2018-07,Kuwait,3,6,9
2018-08,Kuwait,13,7,20
2018-09,Kuwait,5,6,11
2018-10,Kuwait,3,4,7
2018-11,Kuwait,0,5,5
2018-12,Kuwait,10,9,19
2019-01,Kuwait,6,9,15
2019-02,Kuwait,2,4,6
2019-03,Kuwait,3,4,7
2019-04,Kuwait,2,5,7
2019-05,Kuwait,1,6,7
2019-06,Kuwait,5,8,13
2019-07,Kuwait,5,7,12
2019-08,Kuwait,9,10,19
2019-09,Kuwait,1,4,5
2019-10,Kuwait,2,1,3
2019-11,Kuwait,4,4,8
2019-12,Kuwait,2,8,10
2020-01,Kuwait,10,5,15
2020-02,Kuwait,0,4,4
2020-03,Kuwait,0,1,1
2020-07,Kuwait,1,2,3
2020-10,Kuwait,0,1,1
2020-11,Kuwait,1,0,1
2021-01,Kuwait,0,1,1
2021-02,Kuwait,0,2,2
2021-05,Kuwait,1,1,2
2021-07,Kuwait,1,0,1
2021-08,Kuwait,11,7,18
2021-09,Kuwait,5,6,11
2021-10,Kuwait,1,3,4
2021-11,Kuwait,0,5,5
2021-12,Kuwait,1,1,2
2022-01,Kuwait,10,11,21
2022-02,Kuwait,0,5,5
2022-03,Kuwait,4,3,7
2022-04,Kuwait,3,9,12
2022-05,Kuwait,0,7,7
2022-06,Kuwait,0,6,6
2022-07,Kuwait,1,6,7
2022-08,Kuwait,11,6,17
2022-09,Kuwait,2,6,8
2022-10,Kuwait,3,8,11
2022-11,Kuwait,12,7,19
2022-12,Kuwait,0,4,4
2023-01,Kuwait,4,12,16
2023-02,Kuwait,4,8,12
2023-03,Kuwait,0,9,9
2023-04,Kuwait,3,3,6
2023-05,Kuwait,0,6,6
2023-06,Kuwait,1,5,6
2023-07,Kuwait,2,8,10
2023-08,Kuwait,10,5,15
2023-09,Kuwait,3,9,12
2023-10,Kuwait,1,2,3
2023-11,Kuwait,0,1,1
2023-12,Kuwait,1,2,3
2024-01,Kuwait,2,6,8
2024-02,Kuwait,0,3,3
2024-04,Kuwait,1,4,5
2024-05,Kuwait,0,2,2
2024-06,Kuwait,0,1,1
2024-07,Kuwait,0,2,2
2024-08,Kuwait,4,5,9
2024-09,Kuwait,0,1,1
2024-10,Kuwait,0,4,4
2025-01,Kuwait,1,2,3
2025-02,Kuwait,1,4,5
2025-03,Kuwait,1,4,5
2025-04,Kuwait,0,3,3
2025-05,Kuwait,0,2,2
2025-06,Kuwait,0,1,1
2025-07,Kuwait,1,3,4
2025-08,Kuwait,2,2,4
2025-09,Kuwait,5,6,11
2025-10,Kuwait,1,2,3
2025-11,Kuwait,0,2,2
2025-12,Kuwait,0,2,2
