Fecha,País destino,Femenino,Masculino,Total
2012-01,Letonia,0,5,5
2012-02,Letonia,0,1,1
2012-11,Letonia,1,0,1
2013-02,Letonia,0,1,1
2013-03,Letonia,1,1,2
2013-04,Letonia,1,0,1
2013-06,Letonia,0,2,2
2013-07,Letonia,1,0,1
2013-10,Letonia,0,1,1
2014-01,Letonia,0,1,1
2014-05,Letonia,0,1,1
2014-06,Letonia,0,1,1
2014-07,Letonia,24,6,30
2014-09,Letonia,0,1,1
2015-02,Letonia,0,1,1
2015-05,Letonia,0,2,2
2015-06,Letonia,0,1,1
2015-08,Letonia,1,0,1
2015-10,Letonia,1,2,3
2016-01,Letonia,1,0,1
2016-03,Letonia,1,0,1
2016-04,Letonia,0,3,3
2016-05,Letonia,0,1,1
2016-06,Letonia,1,2,3
2016-08,Letonia,1,1,2
2016-11,Letonia,1,1,2
2017-01,Letonia,0,1,1
2017-04,Letonia,0,1,1
2017-05,Letonia,0,1,1
2017-07,Letonia,0,1,1
2017-08,Letonia,0,1,1
2017-09,Letonia,1,0,1
2018-02,Letonia,0,1,1
2018-03,Letonia,0,1,1
2018-06,Letonia,1,2,3
2018-08,Letonia,4,3,7
2018-09,Letonia,1,0,1
2018-10,Letonia,0,2,2
2018-12,Letonia,1,0,1
2019-01,Letonia,1,0,1
2019-02,Letonia,1,1,2
2019-03,Letonia,2,1,3
2019-06,Letonia,2,2,4
2019-07,Letonia,1,3,4
2019-09,Letonia,1,0,1
2019-10,Letonia,0,1,1
2020-01,Letonia,0,1,1
2020-02,Letonia,1,1,2
2020-03,Letonia,0,1,1
2021-03,Letonia,1,0,1
2021-06,Letonia,1,3,4
2021-07,Letonia,0,3,3
2021-08,Letonia,1,0,1
2021-10,Letonia,0,1,1
2021-12,Letonia,1,1,2
2022-02,Letonia,0,5,5
2022-03,Letonia,2,0,2
2022-04,Letonia,0,7,7
2022-05,Letonia,1,3,4
2022-06,Letonia,3,8,11
2022-07,Letonia,1,6,7
2022-08,Letonia,1,3,4
2022-09,Letonia,1,2,3
2022-10,Letonia,0,1,1
2023-01,Letonia,1,0,1
2023-03,Letonia,1,2,3
2023-04,Letonia,2,1,3
2023-05,Letonia,1,6,7
2023-06,Letonia,3,7,10
2023-07,Letonia,0,4,4
2023-09,Letonia,0,5,5
2023-10,Letonia,5,6,11
2023-11,Letonia,2,2,4
2023-12,Letonia,1,0,1
2024-01,Letonia,2,0,2
2024-02,Letonia,0,2,2
2024-05,Letonia,1,0,1
2024-06,Letonia,1,2,3
2024-07,Letonia,3,3,6
2024-08,Letonia,1,1,2
2024-09,Letonia,0,3,3
2024-10,Letonia,1,1,2
2024-11,Letonia,1,0,1
2024-12,Letonia,1,0,1
2025-01,Letonia,1,1,2
2025-02,Letonia,2,0,2
2025-03,Letonia,1,0,1
2025-04,Letonia,1,0,1
2025-06,Letonia,2,2,4
2025-07,Letonia,0,2,2
2025-08,Letonia,0,2,2
2025-09,Letonia,1,0,1
2025-10,Letonia,2,0,2
2025-12,Letonia,0,1,1
