Fecha,País destino,Femenino,Masculino,Total
2012-08,Libia,0,1,1
2012-09,Libia,0,1,1
2012-11,Libia,0,1,1
2013-03,Libia,1,1,2
2013-05,Libia,0,1,1
2013-09,Libia,1,0,1
2013-12,Libia,0,1,1
2014-02,Libia,1,2,3
2014-04,Libia,0,1,1
2015-06,Libia,0,1,1
2016-01,Libia,1,0,1
2018-01,Libia,0,1,1
2018-04,Libia,0,3,3
2018-08,Libia,0,1,1
2018-12,Libia,0,1,1
2021-08,Libia,0,1,1
2021-11,Libia,0,1,1
2022-01,Libia,0,1,1
2022-05,Libia,0,1,1
2023-01,Libia,0,1,1
2023-03,Libia,2,1,3
2023-04,Libia,0,1,1
2023-07,Libia,1,0,1
2024-02,Libia,0,4,4
2024-04,Libia,0,1,1
2024-05,Libia,0,1,1
2024-07,Libia,0,1,1
2024-08,Libia,0,1,1
2025-02,Libia,1,0,1
2025-03,Libia,0,1,1
2025-04,Libia,1,0,1
2025-08,Libia,0,1,1
2025-11,Libia,0,1,1
2025-12,Libia,0,1,1
