Fecha,País destino,Femenino,Masculino,Total
2012-01,Lituania,2,3,5
2012-03,Lituania,1,1,2
2012-05,Lituania,0,16,16
2012-06,Lituania,0,20,20
2012-07,Lituania,2,18,20
2012-08,Lituania,1,15,16
2012-09,Lituania,0,13,13
2012-10,Lituania,1,15,16
2012-11,Lituania,0,8,8
2012-12,Lituania,2,0,2
2013-01,Lituania,1,1,2
2013-02,Lituania,0,15,15
2013-03,Lituania,0,20,20
2013-04,Lituania,0,10,10
2013-05,Lituania,1,15,16
2013-06,Lituania,1,19,20
2013-07,Lituania,2,8,10
2013-08,Lituania,3,1,4
2013-09,Lituania,1,0,1
2013-10,Lituania,0,1,1
2013-11,Lituania,1,3,4
2013-12,Lituania,0,1,1
2014-01,Lituania,0,1,1
2014-02,Lituania,0,15,15
2014-03,Lituania,0,16,16
2014-04,Lituania,0,3,3
2014-05,Lituania,5,6,11
2014-06,Lituania,2,1,3
2014-07,Lituania,0,4,4
2014-08,Lituania,1,3,4
2014-10,Lituania,3,2,5
2014-11,Lituania,1,0,1
2015-02,Lituania,1,1,2
2015-05,Lituania,0,5,5
2015-06,Lituania,1,3,4
2015-07,Lituania,0,1,1
2015-08,Lituania,0,1,1
2015-09,Lituania,0,9,9
2015-10,Lituania,1,34,35
2015-11,Lituania,2,11,13
2015-12,Lituania,2,0,2
2016-03,Lituania,0,4,4
2016-04,Lituania,1,8,9
2016-05,Lituania,0,2,2
2016-06,Lituania,1,0,1
2016-08,Lituania,1,2,3
2016-10,Lituania,1,8,9
2016-11,Lituania,1,2,3
2016-12,Lituania,1,4,5
2017-01,Lituania,0,7,7
2017-02,Lituania,0,9,9
2017-03,Lituania,0,8,8
2017-04,Lituania,1,0,1
2017-05,Lituania,1,2,3
2017-06,Lituania,0,3,3
2017-07,Lituania,2,3,5
2017-08,Lituania,0,2,2
2017-09,Lituania,0,4,4
2017-11,Lituania,0,1,1
2017-12,Lituania,0,1,1
2018-01,Lituania,2,1,3
2018-03,Lituania,0,1,1
2018-04,Lituania,0,3,3
2018-05,Lituania,9,3,12
2018-06,Lituania,0,3,3
2018-07,Lituania,3,1,4
2018-08,Lituania,1,0,1
2018-10,Lituania,1,2,3
2018-11,Lituania,0,1,1
2018-12,Lituania,1,0,1
2019-01,Lituania,0,1,1
2019-02,Lituania,0,1,1
2019-03,Lituania,0,1,1
2019-04,Lituania,0,1,1
2019-05,Lituania,1,1,2
2019-06,Lituania,0,1,1
2019-07,Lituania,1,0,1
2019-08,Lituania,0,3,3
2019-09,Lituania,0,1,1
2019-10,Lituania,0,2,2
2019-12,Lituania,2,0,2
2020-01,Lituania,1,3,4
2020-02,Lituania,3,3,6
2020-03,Lituania,1,1,2
2020-08,Lituania,1,1,2
2020-10,Lituania,0,1,1
2020-11,Lituania,2,0,2
2020-12,Lituania,0,1,1
2021-01,Lituania,0,1,1
2021-02,Lituania,1,4,5
2021-03,Lituania,0,3,3
2021-04,Lituania,1,1,2
2021-06,Lituania,1,3,4
2021-07,Lituania,6,4,10
2021-08,Lituania,4,2,6
2021-09,Lituania,3,2,5
2021-11,Lituania,0,3,3
2021-12,Lituania,1,2,3
2022-01,Lituania,9,4,13
2022-02,Lituania,2,2,4
2022-03,Lituania,1,1,2
2022-04,Lituania,3,4,7
2022-05,Lituania,1,7,8
2022-06,Lituania,3,4,7
2022-07,Lituania,7,6,13
2022-08,Lituania,5,4,9
2022-10,Lituania,5,7,12
2022-12,Lituania,3,2,5
2023-01,Lituania,3,1,4
2023-02,Lituania,1,1,2
2023-03,Lituania,5,5,10
2023-04,Lituania,0,11,11
2023-05,Lituania,4,6,10
2023-06,Lituania,3,12,15
2023-07,Lituania,0,1,1
2023-08,Lituania,0,1,1
2023-10,Lituania,2,1,3
2023-11,Lituania,3,3,6
2024-01,Lituania,2,5,7
2024-02,Lituania,4,1,5
2024-04,Lituania,2,0,2
2024-05,Lituania,2,4,6
2024-06,Lituania,0,7,7
2024-07,Lituania,3,4,7
2024-08,Lituania,1,2,3
2024-09,Lituania,2,3,5
2024-10,Lituania,1,0,1
2024-11,Lituania,2,2,4
2024-12,Lituania,0,3,3
2025-01,Lituania,4,4,8
2025-02,Lituania,0,3,3
2025-03,Lituania,1,1,2
2025-05,Lituania,1,0,1
2025-06,Lituania,5,4,9
2025-07,Lituania,1,2,3
2025-08,Lituania,3,1,4
2025-09,Lituania,3,3,6
2025-10,Lituania,0,3,3
2025-11,Lituania,0,1,1
2025-12,Lituania,1,2,3
