Fecha,País destino,Femenino,Masculino,Total
2012-01,Luxemburgo,4,5,9
2012-02,Luxemburgo,2,2,4
2012-03,Luxemburgo,2,0,2
2012-04,Luxemburgo,7,2,9
2012-05,Luxemburgo,3,1,4
2012-06,Luxemburgo,6,2,8
2012-07,Luxemburgo,2,4,6
2012-08,Luxemburgo,8,3,11
2012-09,Luxemburgo,3,2,5
2012-10,Luxemburgo,3,3,6
2012-11,Luxemburgo,3,2,5
2012-12,Luxemburgo,4,2,6
2013-01,Luxemburgo,5,8,13
2013-02,Luxemburgo,1,1,2
2013-03,Luxemburgo,3,2,5
2013-04,Luxemburgo,5,5,10
2013-05,Luxemburgo,2,3,5
2013-06,Luxemburgo,5,5,10
2013-07,Luxemburgo,5,4,9
2013-08,Luxemburgo,2,2,4
2013-09,Luxemburgo,4,6,10
2013-10,Luxemburgo,3,0,3
2013-11,Luxemburgo,5,8,13
2013-12,Luxemburgo,1,2,3
2014-01,Luxemburgo,4,11,15
2014-02,Luxemburgo,1,2,3
2014-03,Luxemburgo,2,5,7
2014-04,Luxemburgo,2,4,6
2014-05,Luxemburgo,2,5,7
2014-06,Luxemburgo,5,2,7
2014-07,Luxemburgo,1,2,3
2014-08,Luxemburgo,8,0,8
2014-09,Luxemburgo,2,12,14
2014-10,Luxemburgo,1,6,7
2014-11,Luxemburgo,5,2,7
2014-12,Luxemburgo,4,3,7
2015-01,Luxemburgo,7,8,15
2015-02,Luxemburgo,2,3,5
2015-03,Luxemburgo,4,3,7
2015-04,Luxemburgo,2,3,5
2015-05,Luxemburgo,3,1,4
2015-06,Luxemburgo,3,3,6
2015-07,Luxemburgo,3,3,6
2015-08,Luxemburgo,10,3,13
2015-09,Luxemburgo,6,11,17
2015-10,Luxemburgo,8,4,12
2015-11,Luxemburgo,2,4,6
2015-12,Luxemburgo,7,6,13
2016-01,Luxemburgo,3,8,11
2016-02,Luxemburgo,7,2,9
2016-03,Luxemburgo,7,8,15
2016-04,Luxemburgo,11,7,18
2016-05,Luxemburgo,6,1,7
2016-06,Luxemburgo,2,5,7
2016-07,Luxemburgo,5,2,7
2016-08,Luxemburgo,5,3,8
2016-09,Luxemburgo,8,10,18
2016-10,Luxemburgo,5,3,8
2016-11,Luxemburgo,6,5,11
2016-12,Luxemburgo,12,3,15
2017-01,Luxemburgo,13,8,21
2017-02,Luxemburgo,6,9,15
2017-03,Luxemburgo,10,8,18
2017-04,Luxemburgo,7,2,9
2017-05,Luxemburgo,8,1,9
2017-06,Luxemburgo,6,8,14
2017-07,Luxemburgo,9,6,15
2017-08,Luxemburgo,11,10,21
2017-09,Luxemburgo,5,5,10
2017-10,Luxemburgo,2,5,7
2017-11,Luxemburgo,1,1,2
2017-12,Luxemburgo,7,1,8
2018-01,Luxemburgo,15,7,22
2018-02,Luxemburgo,6,6,12
2018-03,Luxemburgo,7,7,14
2018-04,Luxemburgo,15,6,21
2018-05,Luxemburgo,12,7,19
2018-06,Luxemburgo,18,8,26
2018-07,Luxemburgo,7,5,12
2018-08,Luxemburgo,18,10,28
2018-09,Luxemburgo,19,10,29
2018-10,Luxemburgo,5,6,11
2018-11,Luxemburgo,4,8,12
2018-12,Luxemburgo,15,12,27
2019-01,Luxemburgo,32,25,57
2019-02,Luxemburgo,4,7,11
2019-03,Luxemburgo,7,7,14
2019-04,Luxemburgo,11,3,14
2019-05,Luxemburgo,10,10,20
2019-06,Luxemburgo,13,10,23
2019-07,Luxemburgo,15,10,25
2019-08,Luxemburgo,19,13,32
2019-09,Luxemburgo,25,15,40
2019-10,Luxemburgo,15,8,23
2019-11,Luxemburgo,5,2,7
2019-12,Luxemburgo,16,4,20
2020-01,Luxemburgo,22,19,41
2020-02,Luxemburgo,7,6,13
2020-03,Luxemburgo,6,3,9
2020-07,Luxemburgo,1,0,1
2020-08,Luxemburgo,1,1,2
2020-09,Luxemburgo,2,1,3
2020-10,Luxemburgo,1,0,1
2020-11,Luxemburgo,2,5,7
2020-12,Luxemburgo,3,3,6
2021-01,Luxemburgo,26,11,37
2021-02,Luxemburgo,6,3,9
2021-03,Luxemburgo,6,2,8
2021-04,Luxemburgo,8,3,11
2021-05,Luxemburgo,10,2,12
2021-06,Luxemburgo,8,2,10
2021-07,Luxemburgo,17,9,26
2021-08,Luxemburgo,29,21,50
2021-09,Luxemburgo,22,14,36
2021-10,Luxemburgo,10,7,17
2021-11,Luxemburgo,12,6,18
2021-12,Luxemburgo,18,10,28
2022-01,Luxemburgo,32,14,46
2022-02,Luxemburgo,29,41,70
2022-03,Luxemburgo,17,8,25
2022-04,Luxemburgo,25,17,42
2022-05,Luxemburgo,32,17,49
2022-06,Luxemburgo,32,19,51
2022-07,Luxemburgo,26,23,49
2022-08,Luxemburgo,33,11,44
2022-09,Luxemburgo,23,22,45
2022-10,Luxemburgo,20,10,30
2022-11,Luxemburgo,14,8,22
2022-12,Luxemburgo,24,15,39
2023-01,Luxemburgo,26,19,45
2023-02,Luxemburgo,16,11,27
2023-03,Luxemburgo,17,4,21
2023-04,Luxemburgo,22,10,32
2023-05,Luxemburgo,15,16,31
2023-06,Luxemburgo,25,10,35
2023-07,Luxemburgo,20,15,35
2023-08,Luxemburgo,21,13,34
2023-09,Luxemburgo,26,18,44
2023-10,Luxemburgo,11,6,17
2023-11,Luxemburgo,15,6,21
2023-12,Luxemburgo,16,6,22
2024-01,Luxemburgo,14,20,34
2024-02,Luxemburgo,8,6,14
2024-03,Luxemburgo,21,10,31
2024-04,Luxemburgo,21,16,37
2024-05,Luxemburgo,16,8,24
2024-06,Luxemburgo,12,19,31
2024-07,Luxemburgo,14,8,22
2024-08,Luxemburgo,17,10,27
2024-09,Luxemburgo,21,10,31
2024-10,Luxemburgo,10,4,14
2024-11,Luxemburgo,11,7,18
2024-12,Luxemburgo,14,15,29
2025-01,Luxemburgo,24,17,41
2025-02,Luxemburgo,6,8,14
2025-03,Luxemburgo,10,6,16
2025-04,Luxemburgo,10,7,17
2025-05,Luxemburgo,7,1,8
2025-06,Luxemburgo,10,5,15
2025-07,Luxemburgo,6,4,10
2025-08,Luxemburgo,20,10,30
2025-09,Luxemburgo,14,4,18
2025-10,Luxemburgo,8,2,10
2025-11,Luxemburgo,10,3,13
2025-12,Luxemburgo,17,8,25
